Q2	error	mu*G_Ep/G_Mp
0.49	0.02459674775249769	0.966
0.79	0.022671568097509268	0.95
1.18	0.030413812651491103	0.8690000000000001
1.48	0.048104053883222773	0.7979999999999999
1.77	0.053712196007983146	0.728
1.88	0.06753517601961218	0.72
2.47	0.06762396025078685	0.726
2.97	0.0644980619863884	0.612
3.47	0.06506919393998976	0.609
0.49	0.017088007490635063	0.9790000000000001
0.79	0.015620499351813309	0.951
1.18	0.022203603311174522	0.883
1.48	0.03894868418830089	0.7979999999999999
1.77	0.04243819034784589	0.789
1.88	0.040804411526206334	0.777
2.13	0.04669047011971501	0.747
2.47	0.040224370722237536	0.703
2.97	0.03580502757993631	0.615
3.47	0.04427188724235731	0.606
3.5	0.0723394774656273	0.5710000000000001
3.97	0.05261178575186363	0.48200000000000004
4.75	0.05412947441089743	0.382
5.54	0.09139474820797965	0.273
3.5	0.0723394774656273	0.5710000000000001
3.98	0.05573149917237109	0.517
4.76	0.05336665625650534	0.45
5.56	0.08709764635166671	0.354
5.17	0.06841052550594828	0.44299999999999995
6.7	0.10728000745712128	0.327
8.49	0.1840923681199196	0.138
2.4930000000000003	0.0158113883008419	0.696
2.49	0.014212670403551897	0.688
2.49	0.014212670403551897	0.6920000000000001
0.0389	0.018192798657131748	0.9803060746521975
0.0778	0.02119280203214491	0.9803060746521975
0.11599999999999999	0.03117044548260417	0.99498743710662
0.13	0.019862419061731362	0.9969954864491615
0.19	0.014903848951551946	0.9989994994993742
0.27	0.022921415098242304	0.9919677414109797
0.33	0.016196070725827405	0.9797958971132712
0.39	0.020369194371642196	1.0207840124139875
0.45	0.03331782484900847	1.0188228501560024
0.53	0.04823733521399198	1.0124228365658292
0.58	0.019412979822074017	0.9690201236300514
0.65	0.050031296133965175	0.9643650760992956
0.72	0.07993206729435642	1.0922453936730518
0.78	0.03612270804643092	0.9370165420097982
0.94	0.050980235545404984	1.0435516278555652
1.1	0.03554878923443694	0.8683317338436964
1.35	0.04696330138331184	0.9027735042633894
1.75	0.07567742577534498	0.8012490249604052
1.169	0.07272038809651116	0.99498743710662
1.75	0.13094184457225821	0.7745966692414834
2.0	0.13185737713483092	0.806225774829855
2.33	0.18028434814563088	0.714142842854285
3.0	0.23356987175076271	0.6324555320336759
0.3893793656233565	0.060204199189093116	0.971
0.5840690484350347	0.04786262007036388	0.988
0.778758731246713	0.05528277851193806	0.9540000000000001
0.9734484140583912	0.06577903617414899	0.9740000000000001
1.1681380968700694	0.07822663485028614	0.873
1.3628277796817478	0.08792491342048624	0.912
1.557517462493426	0.09683973564606628	0.828
1.7522071453051042	0.1296908570408878	0.768
1.9468968281167824	0.2087217707858957	0.981
0.67	0.07337739167319057	1.0535653752852738
1.0	0.09614477420808298	1.044030650891055
1.169	0.07272038809651116	0.99498743710662
1.5	0.1269427669584644	1.0
1.75	0.12540333075851662	0.7745966692414834
2.0	0.12113607471971533	0.806225774829855
2.33	0.17467659887727394	0.714142842854285
3.0	0.21607260539018114	0.6324555320336759
1.75	0.06	0.91
2.5	0.07	0.8240000000000001
3.25	0.118	0.846
4.0	0.1305	0.8909999999999999
5.0	0.177	0.9309999999999999
6.0	0.22050000000000003	0.965
7.0	0.261	1.51
8.83	0.757	0.948
0.65	0.085	1.069
0.91	0.067	0.9279999999999999
2.2	0.125	0.878
2.75	0.109	0.841
3.75	0.22	0.8370000000000001
4.2	0.163	1.24
5.2	0.552	1.176
2.64	0.038	0.902
3.2	0.051	0.961
4.1	0.077	1.097
0.38	0.05385164807134505	0.95
0.5	0.05385164807134505	1.02
0.215	0.050944381437014234	0.825
0.235	0.04383286438278931	0.9433
0.251	0.04402544718682594	0.9882
0.265	0.03703741351660507	0.9833
0.308	0.01711432148815722	0.932
0.34600000000000003	0.014583552379307313	0.9318
0.4	0.015134728276384747	0.9172
0.474	0.02042767730311011	0.9225
0.162	0.019849433241279208	1.0190000000000001
0.191	0.018439088914585774	1.006
0.23199999999999998	0.01697056274847714	0.9990000000000001
0.282	0.016278820596099707	0.973
0.345	0.017204650534085254	0.973
0.419	0.018357559750685818	0.98
0.5	0.0206155281280883	0.993
0.591	0.02596150997149434	0.961
1.51	0.0396232255123179	0.884
0.298	0.013430189872075525	0.9272
0.34600000000000003	0.012803515142334935	0.9433
0.402	0.010065783625729295	0.9318
0.449	0.009449338601193208	0.9314
0.494	0.009323089616645332	0.9286
0.547	0.008981091247727082	0.9274
0.599	0.011672617529928752	0.9084
0.695	0.011607756027760058	0.9122
