G_Mn/mu/G_D	Q2	error
1.39	0.039	0.3
1.05	0.057999999999999996	0.055999999999999994
1.1	0.09699999999999999	0.032
1.12	0.113	0.08
1.04	0.16	0.07
1.03	0.17800000000000002	0.035
0.94	0.292	0.026000000000000002
0.97	0.389	0.09
1.01	0.389	0.027999999999999997
1.01	0.565	0.08
1.12	0.6	0.036000000000000004
1.0	0.78	0.054000000000000006
1.047	1.0	0.08199999999999999
0.975	1.0	0.055
1.04	1.17	0.094
1.055	1.53	0.055
1.21	1.8	0.11
0.84	2.7	0.26
0.9953	0.9848	0.022472205054244233
1.0073	1.1364	0.02621850491542186
1.0319	1.2879	0.02314821807396846
1.0228	1.4394	0.021092415698539608
1.0127	1.5909	0.0200810856280232
1.0136	1.7424	0.020113676938839403
1.0167	1.8939	0.020048940121612412
1.0	2.0455	0.02198294793698061
0.9919	2.197	0.02216776939613005
1.0016	2.3485	0.022617692189964917
1.0212	2.5	0.025040167731067618
1.0344	2.6515	0.02450795789126463
1.0012	2.803	0.023847222060441337
0.9954	2.9546	0.024337008854828486
1.0019	3.1061	0.02535034516530298
0.9779	3.2576	0.025242028444639707
0.9967	3.4091	0.026378779350076077
0.9918	3.5606	0.025740240869113872
0.9742	3.7121	0.027130978603802702
0.9791	3.8636	0.029206163733020468
1.0285	4.0152	0.030968370961353457
0.9193	4.1667	0.03148412298286233
0.9079	4.3182	0.033961154279558876
0.9903	4.4697	0.04217771923658272
1.1074	4.6212	0.09988598500290219
1.0921	4.7727	0.1309505250084932
0.9570000000000001	0.2095	0.016
0.9620000000000001	0.235	0.009000000000000001
1.032	0.504	0.012
1.037	0.652	0.012
1.043	0.784	0.012
1.02	0.125	0.023430749027719962
1.0759999999999998	0.255	0.02302172886644268
1.135	0.41700000000000004	0.037121422386541175
1.104	0.605	0.03492849839314596
0.9989994994993742	0.19	0.06356077956360562
0.9481	0.1	0.02657387476481366
0.9511	0.193	0.026596980507796367
0.9577	0.3	0.055324978721016244
0.9694	0.4	0.030641168383604436
0.9689	0.5	0.027051229920190316
0.9939	0.6	0.02864588089018908
0.99	0.071	0.013000000000000001
0.9670000000000001	0.125	0.013000000000000001
0.9890000000000001	0.359	0.013999999999999999
1.062	0.894	0.017
0.9047755286649474	0.48200000000000004	0.08680522612827274
1.009190785558421	0.545	0.09182345334526061
1.2646786510612973	0.608	0.10688181646014501
1.1343917794088474	0.6459999999999999	0.09780734628403283
1.095684832374529	0.6920000000000001	0.09593625179418253
1.0565743622297166	0.8320000000000001	0.09458741200377686
1.052	1.75	0.05197114584074514
1.014	2.5	0.04438468204234429
0.9670000000000001	3.25	0.06053924347066125
0.9229999999999999	4.0	0.08080222769206305
1.136	0.109	0.03612478373637689
1.0390000000000001	0.17600000000000002	0.03163858403911275
1.028	0.255	0.03882009788756335
0.9830068199876425	2.5	0.042739426955984455
0.9431576892427397	4.0	0.04600769215818243
0.9104126645600862	6.0	0.0466878289517993
0.7080068478756881	8.0	0.1180011413126147
0.6303960017992903	10.0	0.1546254344035995
