Q2	Q^4*F_1p	error
2.862	0.597	0.011704699910719625
3.6210000000000004	0.688	0.014764823060233401
5.027	0.8	0.015132745950421555
4.9910000000000005	0.8009999999999999	0.01655294535724685
5.0169999999999995	0.795	0.016155494421403512
7.3	0.878	0.017888543819998316
9.629	0.902	0.02024845673131659
11.99	0.935	0.0214009345590327
15.72	0.9309999999999999	0.028600699292150183
19.47	0.866	0.033999999999999996
23.24	0.885	0.039395431207184424
26.99	0.878	0.055362442142665634
31.2	0.91	0.08246211251235322
1.75	0.4114877852551391	0.02725279981929469
2.5	0.5292778481381198	0.031858137708957616
3.25	0.6315474584863787	0.04734244425014375
4.0	0.7133355511379771	0.04595069810448916
5.0	0.7912292472419113	0.055954977807671155
6.0	0.842000981696469	0.056014964231956836
7.0	0.9415945299869959	0.04677408065340265
8.83	0.8969698633111602	0.1482200018546443
