Q2	Q^4*F_1p	error
2.862	0.597	0.011704699910719625
3.6210000000000004	0.688	0.014764823060233401
5.027	0.8	0.015132745950421555
4.9910000000000005	0.8009999999999999	0.01655294535724685
5.0169999999999995	0.795	0.016155494421403512
7.3	0.878	0.017888543819998316
9.629	0.902	0.02024845673131659
11.99	0.935	0.0214009345590327
15.72	0.9309999999999999	0.028600699292150183
19.47	0.866	0.033999999999999996
23.24	0.885	0.039395431207184424
26.99	0.878	0.055362442142665634
31.2	0.91	0.08246211251235322
