CT14nlo	10.00 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  xdb-ub  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb  Exdb-ub
1.000000E-04  1.188063E-02  6.934738E-03  9.739940E-01  8.783941E-01  7.325056E-01  4.311233E-01  0.000000E+00  1.346459E+01  9.621133E-01  8.714594E-01  7.325056E-01  4.311233E-01  0.000000E+00  -9.065399E-02  5.308844E-03  3.034834E-03  1.334856E-01  1.671192E-01  5.474443E-01  1.093668E-01  0.000000E+00  6.111473E+00  1.343157E-01  1.672130E-01  5.474443E-01  1.093668E-01  0.000000E+00  1.174974E-01
1.009253E-04  1.195129E-02  6.976009E-03  9.722266E-01  8.764988E-01  7.311425E-01  4.302744E-01  0.000000E+00  1.343951E+01  9.602754E-01  8.695228E-01  7.311425E-01  4.302744E-01  0.000000E+00  -9.075259E-02  5.329553E-03  3.046474E-03  1.328233E-01  1.666151E-01  5.451309E-01  1.084367E-01  0.000000E+00  6.056998E+00  1.336610E-01  1.667096E-01  5.451309E-01  1.084367E-01  0.000000E+00  1.175638E-01
1.018591E-04  1.202238E-02  7.017518E-03  9.704624E-01  8.746071E-01  7.297815E-01  4.294267E-01  0.000000E+00  1.341447E+01  9.584401E-01  8.675896E-01  7.297815E-01  4.294267E-01  0.000000E+00  -9.085050E-02  5.350325E-03  3.058162E-03  1.321683E-01  1.661168E-01  5.428277E-01  1.075153E-01  0.000000E+00  6.002995E+00  1.330138E-01  1.662120E-01  5.428277E-01  1.075153E-01  0.000000E+00  1.176294E-01
1.028016E-04  1.209383E-02  7.059233E-03  9.687014E-01  8.727190E-01  7.284226E-01  4.285803E-01  0.000000E+00  1.338948E+01  9.566076E-01  8.656597E-01  7.284226E-01  4.285803E-01  0.000000E+00  -9.094788E-02  5.371154E-03  3.069890E-03  1.315214E-01  1.656248E-01  5.405356E-01  1.066041E-01  0.000000E+00  5.949556E+00  1.323748E-01  1.657206E-01  5.405356E-01  1.066041E-01  0.000000E+00  1.176946E-01
1.037528E-04  1.216566E-02  7.101158E-03  9.669436E-01  8.708344E-01  7.270660E-01  4.277352E-01  0.000000E+00  1.336454E+01  9.547779E-01  8.637332E-01  7.270660E-01  4.277352E-01  0.000000E+00  -9.104471E-02  5.392040E-03  3.081657E-03  1.308826E-01  1.651387E-01  5.382545E-01  1.057030E-01  0.000000E+00  5.896672E+00  1.317438E-01  1.652351E-01  5.382545E-01  1.057030E-01  0.000000E+00  1.177592E-01
1.047129E-04  1.223788E-02  7.143299E-03  9.651889E-01  8.689534E-01  7.257115E-01  4.268913E-01  0.000000E+00  1.333964E+01  9.529510E-01  8.618101E-01  7.257115E-01  4.268913E-01  0.000000E+00  -9.114097E-02  5.412982E-03  3.093463E-03  1.302517E-01  1.646586E-01  5.359842E-01  1.048118E-01  0.000000E+00  5.844331E+00  1.311207E-01  1.647556E-01  5.359842E-01  1.048118E-01  0.000000E+00  1.178233E-01
1.056818E-04  1.231047E-02  7.185659E-03  9.634374E-01  8.670759E-01  7.243591E-01  4.260487E-01  0.000000E+00  1.331479E+01  9.511269E-01  8.598903E-01  7.243591E-01  4.260487E-01  0.000000E+00  -9.123665E-02  5.433980E-03  3.105306E-03  1.296284E-01  1.641842E-01  5.337247E-01  1.039302E-01  0.000000E+00  5.792522E+00  1.305053E-01  1.642818E-01  5.337247E-01  1.039302E-01  0.000000E+00  1.178868E-01
1.066596E-04  1.238347E-02  7.228244E-03  9.616890E-01  8.652021E-01  7.230088E-01  4.252074E-01  0.000000E+00  1.328998E+01  9.493056E-01  8.579738E-01  7.230088E-01  4.252074E-01  0.000000E+00  -9.133173E-02  5.455035E-03  3.117186E-03  1.290126E-01  1.637154E-01  5.314758E-01  1.030581E-01  0.000000E+00  5.741234E+00  1.298974E-01  1.638135E-01  5.314758E-01  1.030581E-01  0.000000E+00  1.179498E-01
1.076465E-04  1.245686E-02  7.271058E-03  9.599438E-01  8.633318E-01  7.216607E-01  4.243673E-01  0.000000E+00  1.326522E+01  9.474869E-01  8.560607E-01  7.216607E-01  4.243673E-01  0.000000E+00  -9.142619E-02  5.476145E-03  3.129102E-03  1.284042E-01  1.632520E-01  5.292373E-01  1.021952E-01  0.000000E+00  5.690456E+00  1.292969E-01  1.633507E-01  5.292373E-01  1.021952E-01  0.000000E+00  1.180121E-01
1.086426E-04  1.253066E-02  7.314107E-03  9.582016E-01  8.614651E-01  7.203146E-01  4.235284E-01  0.000000E+00  1.324050E+01  9.456710E-01  8.541509E-01  7.203146E-01  4.235284E-01  0.000000E+00  -9.152002E-02  5.497311E-03  3.141054E-03  1.278029E-01  1.627938E-01  5.270091E-01  1.013415E-01  0.000000E+00  5.640176E+00  1.287036E-01  1.628931E-01  5.270091E-01  1.013415E-01  0.000000E+00  1.180738E-01
1.096478E-04  1.260488E-02  7.357395E-03  9.564626E-01  8.596019E-01  7.189706E-01  4.226908E-01  0.000000E+00  1.321582E+01  9.438577E-01  8.522445E-01  7.189706E-01  4.226908E-01  0.000000E+00  -9.161320E-02  5.518532E-03  3.153041E-03  1.272087E-01  1.623409E-01  5.247912E-01  1.004965E-01  0.000000E+00  5.590385E+00  1.281173E-01  1.624406E-01  5.247912E-01  1.004965E-01  0.000000E+00  1.181348E-01
1.106624E-04  1.267952E-02  7.400926E-03  9.547267E-01  8.577424E-01  7.176287E-01  4.218544E-01  0.000000E+00  1.319119E+01  9.420472E-01  8.503414E-01  7.176287E-01  4.218544E-01  0.000000E+00  -9.170571E-02  5.539808E-03  3.165061E-03  1.266213E-01  1.618929E-01  5.225832E-01  9.966031E-02  0.000000E+00  5.541069E+00  1.275379E-01  1.619932E-01  5.225832E-01  9.966031E-02  0.000000E+00  1.181952E-01
1.116863E-04  1.275459E-02  7.444706E-03  9.529938E-01  8.558864E-01  7.162888E-01  4.210192E-01  0.000000E+00  1.316660E+01  9.402392E-01  8.484417E-01  7.162888E-01  4.210192E-01  0.000000E+00  -9.179754E-02  5.561140E-03  3.177116E-03  1.260406E-01  1.614497E-01  5.203852E-01  9.883254E-02  0.000000E+00  5.492219E+00  1.269652E-01  1.615505E-01  5.203852E-01  9.883254E-02  0.000000E+00  1.182549E-01
1.127197E-04  1.283010E-02  7.488739E-03  9.512640E-01  8.540340E-01  7.149510E-01  4.201851E-01  0.000000E+00  1.314205E+01  9.384339E-01  8.465453E-01  7.149510E-01  4.201851E-01  0.000000E+00  -9.188866E-02  5.582527E-03  3.189203E-03  1.254665E-01  1.610113E-01  5.181970E-01  9.801306E-02  0.000000E+00  5.443824E+00  1.263991E-01  1.611126E-01  5.181970E-01  9.801306E-02  0.000000E+00  1.183139E-01
1.137627E-04  1.290605E-02  7.533031E-03  9.495373E-01  8.521852E-01  7.136151E-01  4.193523E-01  0.000000E+00  1.311755E+01  9.366313E-01  8.446522E-01  7.136151E-01  4.193523E-01  0.000000E+00  -9.197907E-02  5.603968E-03  3.201321E-03  1.248988E-01  1.605775E-01  5.160185E-01  9.720166E-02  0.000000E+00  5.395872E+00  1.258394E-01  1.606793E-01  5.160185E-01  9.720166E-02  0.000000E+00  1.183721E-01
1.148154E-04  1.298245E-02  7.577585E-03  9.478137E-01  8.503401E-01  7.122813E-01  4.185206E-01  0.000000E+00  1.309309E+01  9.348312E-01  8.427625E-01  7.122813E-01  4.185206E-01  0.000000E+00  -9.206874E-02  5.625464E-03  3.213472E-03  1.243373E-01  1.601481E-01  5.138494E-01  9.639815E-02  0.000000E+00  5.348352E+00  1.252860E-01  1.602504E-01  5.138494E-01  9.639815E-02  0.000000E+00  1.184296E-01
1.158777E-04  1.305931E-02  7.622407E-03  9.460930E-01  8.484985E-01  7.109494E-01  4.176902E-01  0.000000E+00  1.306867E+01  9.330337E-01  8.408761E-01  7.109494E-01  4.176902E-01  0.000000E+00  -9.215766E-02  5.647014E-03  3.225653E-03  1.237819E-01  1.597231E-01  5.116898E-01  9.560234E-02  0.000000E+00  5.301254E+00  1.247387E-01  1.598258E-01  5.116898E-01  9.560234E-02  0.000000E+00  1.184864E-01
1.169499E-04  1.313663E-02  7.667502E-03  9.443754E-01  8.466605E-01  7.096195E-01  4.168608E-01  0.000000E+00  1.304429E+01  9.312388E-01  8.389930E-01  7.096195E-01  4.168608E-01  0.000000E+00  -9.224581E-02  5.668618E-03  3.237864E-03  1.232325E-01  1.593023E-01  5.095394E-01  9.481404E-02  0.000000E+00  5.254567E+00  1.241974E-01  1.594054E-01  5.095394E-01  9.481404E-02  0.000000E+00  1.185423E-01
1.180321E-04  1.321443E-02  7.712873E-03  9.426608E-01  8.448261E-01  7.082916E-01  4.160327E-01  0.000000E+00  1.301995E+01  9.294464E-01  8.371132E-01  7.082916E-01  4.160327E-01  0.000000E+00  -9.233317E-02  5.690276E-03  3.250104E-03  1.226890E-01  1.588855E-01  5.073982E-01  9.403306E-02  0.000000E+00  5.208279E+00  1.236620E-01  1.589891E-01  5.073982E-01  9.403306E-02  0.000000E+00  1.185975E-01
1.191242E-04  1.329270E-02  7.758527E-03  9.409493E-01  8.429954E-01  7.069656E-01  4.152056E-01  0.000000E+00  1.299566E+01  9.276566E-01  8.352368E-01  7.069656E-01  4.152056E-01  0.000000E+00  -9.241973E-02  5.711988E-03  3.262373E-03  1.221511E-01  1.584728E-01  5.052661E-01  9.325921E-02  0.000000E+00  5.162379E+00  1.231322E-01  1.585768E-01  5.052661E-01  9.325921E-02  0.000000E+00  1.186518E-01
