MMHT2014lo68cl	1.00 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb
1.000000E-04  3.096900E-02  1.483800E-02  5.204700E-01  5.052700E-01  2.822800E-01  0.000000E+00  0.000000E+00  1.828300E+00  4.895010E-01  4.904320E-01  2.823931E-01  0.000000E+00  0.000000E+00  4.675348E-03  4.669243E-03  3.688763E-02  3.694019E-02  7.817880E-02  0.000000E+00  0.000000E+00  1.692216E+00  3.693787E-02  3.708759E-02  7.818435E-02  0.000000E+00  0.000000E+00
1.009253E-04  3.107444E-02  1.488790E-02  5.199726E-01  5.047229E-01  2.819798E-01  0.000000E+00  0.000000E+00  1.819648E+00  4.888982E-01  4.898350E-01  2.820939E-01  0.000000E+00  0.000000E+00  4.679689E-03  4.675082E-03  3.681146E-02  3.686618E-02  7.809202E-02  0.000000E+00  0.000000E+00  1.681515E+00  3.686487E-02  3.701471E-02  7.809763E-02  0.000000E+00  0.000000E+00
1.018591E-04  3.117994E-02  1.493781E-02  5.194752E-01  5.041759E-01  2.816796E-01  0.000000E+00  0.000000E+00  1.811006E+00  4.882953E-01  4.892381E-01  2.817948E-01  0.000000E+00  0.000000E+00  4.684043E-03  4.680938E-03  3.673555E-02  3.679243E-02  7.800530E-02  0.000000E+00  0.000000E+00  1.670845E+00  3.679214E-02  3.694209E-02  7.801098E-02  0.000000E+00  0.000000E+00
1.028016E-04  3.128551E-02  1.498775E-02  5.189779E-01  5.036288E-01  2.813794E-01  0.000000E+00  0.000000E+00  1.802376E+00  4.876924E-01  4.886411E-01  2.814957E-01  0.000000E+00  0.000000E+00  4.688406E-03  4.686810E-03  3.665989E-02  3.671893E-02  7.791865E-02  0.000000E+00  0.000000E+00  1.660205E+00  3.671966E-02  3.686971E-02  7.792440E-02  0.000000E+00  0.000000E+00
1.037528E-04  3.139115E-02  1.503772E-02  5.184806E-01  5.030817E-01  2.810792E-01  0.000000E+00  0.000000E+00  1.793757E+00  4.870894E-01  4.880440E-01  2.811966E-01  0.000000E+00  0.000000E+00  4.692780E-03  4.692697E-03  3.658450E-02  3.664570E-02  7.783207E-02  0.000000E+00  0.000000E+00  1.649596E+00  3.664746E-02  3.679758E-02  7.783788E-02  0.000000E+00  0.000000E+00
1.047129E-04  3.149689E-02  1.508772E-02  5.179833E-01  5.025346E-01  2.807790E-01  0.000000E+00  0.000000E+00  1.785149E+00  4.864864E-01  4.874469E-01  2.808975E-01  0.000000E+00  0.000000E+00  4.697163E-03  4.698598E-03  3.650937E-02  3.657272E-02  7.774556E-02  0.000000E+00  0.000000E+00  1.639019E+00  3.657552E-02  3.672571E-02  7.775144E-02  0.000000E+00  0.000000E+00
1.056818E-04  3.160271E-02  1.513776E-02  5.174861E-01  5.019876E-01  2.804788E-01  0.000000E+00  0.000000E+00  1.776553E+00  4.858834E-01  4.868498E-01  2.805984E-01  0.000000E+00  0.000000E+00  4.701554E-03  4.704513E-03  3.643450E-02  3.650001E-02  7.765912E-02  0.000000E+00  0.000000E+00  1.628473E+00  3.650385E-02  3.665409E-02  7.766506E-02  0.000000E+00  0.000000E+00
1.066596E-04  3.170864E-02  1.518785E-02  5.169889E-01  5.014405E-01  2.801787E-01  0.000000E+00  0.000000E+00  1.767970E+00  4.852802E-01  4.862526E-01  2.802994E-01  0.000000E+00  0.000000E+00  4.705951E-03  4.710440E-03  3.635989E-02  3.642756E-02  7.757274E-02  0.000000E+00  0.000000E+00  1.617960E+00  3.643245E-02  3.658273E-02  7.757875E-02  0.000000E+00  0.000000E+00
1.076465E-04  3.181467E-02  1.523798E-02  5.164917E-01  5.008934E-01  2.798786E-01  0.000000E+00  0.000000E+00  1.759399E+00  4.846771E-01  4.856554E-01  2.800003E-01  0.000000E+00  0.000000E+00  4.710356E-03  4.716379E-03  3.628556E-02  3.635538E-02  7.748643E-02  0.000000E+00  0.000000E+00  1.607479E+00  3.636133E-02  3.651162E-02  7.749251E-02  0.000000E+00  0.000000E+00
1.086426E-04  3.192082E-02  1.528818E-02  5.159946E-01  5.003463E-01  2.795784E-01  0.000000E+00  0.000000E+00  1.750841E+00  4.840738E-01  4.850581E-01  2.797012E-01  0.000000E+00  0.000000E+00  4.714765E-03  4.722329E-03  3.621149E-02  3.628346E-02  7.740020E-02  0.000000E+00  0.000000E+00  1.597032E+00  3.629047E-02  3.644078E-02  7.740635E-02  0.000000E+00  0.000000E+00
1.096478E-04  3.202709E-02  1.533843E-02  5.154976E-01  4.997992E-01  2.792783E-01  0.000000E+00  0.000000E+00  1.742296E+00  4.834705E-01  4.844608E-01  2.794022E-01  0.000000E+00  0.000000E+00  4.719180E-03  4.728290E-03  3.613769E-02  3.621182E-02  7.731403E-02  0.000000E+00  0.000000E+00  1.586618E+00  3.621989E-02  3.637019E-02  7.732025E-02  0.000000E+00  0.000000E+00
1.106624E-04  3.213349E-02  1.538874E-02  5.150006E-01  4.992522E-01  2.789781E-01  0.000000E+00  0.000000E+00  1.733765E+00  4.828671E-01  4.838634E-01  2.791031E-01  0.000000E+00  0.000000E+00  4.723598E-03  4.734260E-03  3.606416E-02  3.614044E-02  7.722793E-02  0.000000E+00  0.000000E+00  1.576238E+00  3.614959E-02  3.629987E-02  7.723422E-02  0.000000E+00  0.000000E+00
