MMHT2014nlo68cl	1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  xdb-ub  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb  Exdb-ub
1.000000E-04  6.982481E-03  2.914966E-03  4.707450E-01  4.666959E-01  2.748476E-01  0.000000E+00  0.000000E+00  2.368432E-02  4.637625E-01  4.637809E-01  2.769383E-01  0.000000E+00  0.000000E+00  1.837041E-05  2.135101E-03  1.484163E-03  6.172938E-02  6.108085E-02  2.500752E-01  0.000000E+00  0.000000E+00  2.059797E+00  6.117914E-02  6.117958E-02  2.504712E-01  0.000000E+00  0.000000E+00  3.359682E-05
1.009253E-04  7.033270E-03  2.940715E-03  4.699963E-01  4.659224E-01  2.744119E-01  0.000000E+00  0.000000E+00  9.416188E-03  4.629631E-01  4.629816E-01  2.765069E-01  0.000000E+00  0.000000E+00  1.856363E-05  2.145595E-03  1.493326E-03  6.158746E-02  6.093534E-02  2.496845E-01  0.000000E+00  0.000000E+00  2.042995E+00  6.103498E-02  6.103551E-02  2.500813E-01  0.000000E+00  0.000000E+00  3.413939E-05
1.018591E-04  7.084063E-03  2.966448E-03  4.692479E-01  4.651491E-01  2.739764E-01  0.000000E+00  0.000000E+00  -4.787544E-03  4.621639E-01  4.621826E-01  2.760756E-01  0.000000E+00  0.000000E+00  1.874977E-05  2.156106E-03  1.502506E-03  6.144579E-02  6.079009E-02  2.492939E-01  0.000000E+00  0.000000E+00  2.026267E+00  6.089109E-02  6.089170E-02  2.496915E-01  0.000000E+00  0.000000E+00  3.464940E-05
1.028016E-04  7.134867E-03  2.992172E-03  4.684998E-01  4.643761E-01  2.735412E-01  0.000000E+00  0.000000E+00  -1.892630E-02  4.613650E-01  4.613839E-01  2.756447E-01  0.000000E+00  0.000000E+00  1.892900E-05  2.166635E-03  1.511702E-03  6.130439E-02  6.064509E-02  2.489034E-01  0.000000E+00  0.000000E+00  2.009613E+00  6.074746E-02  6.074815E-02  2.493019E-01  0.000000E+00  0.000000E+00  3.512717E-05
1.037528E-04  7.185693E-03  3.017893E-03  4.677520E-01  4.636033E-01  2.731062E-01  0.000000E+00  0.000000E+00  -3.299949E-02  4.605663E-01  4.605854E-01  2.752139E-01  0.000000E+00  0.000000E+00  1.910146E-05  2.177182E-03  1.520914E-03  6.116326E-02  6.050034E-02  2.485130E-01  0.000000E+00  0.000000E+00  1.993035E+00  6.060410E-02  6.060488E-02  2.489123E-01  0.000000E+00  0.000000E+00  3.557311E-05
1.047129E-04  7.236552E-03  3.043618E-03  4.670045E-01  4.628308E-01  2.726714E-01  0.000000E+00  0.000000E+00  -4.700653E-02  4.597679E-01  4.597872E-01  2.747835E-01  0.000000E+00  0.000000E+00  1.926734E-05  2.187747E-03  1.530144E-03  6.102240E-02  6.035585E-02  2.481227E-01  0.000000E+00  0.000000E+00  1.976532E+00  6.046101E-02  6.046187E-02  2.485228E-01  0.000000E+00  0.000000E+00  3.598770E-05
1.056818E-04  7.287452E-03  3.069355E-03  4.662573E-01  4.620586E-01  2.722369E-01  0.000000E+00  0.000000E+00  -6.094686E-02  4.589699E-01  4.589893E-01  2.743532E-01  0.000000E+00  0.000000E+00  1.942678E-05  2.198331E-03  1.539392E-03  6.088180E-02  6.021162E-02  2.477325E-01  0.000000E+00  0.000000E+00  1.960105E+00  6.031819E-02  6.031914E-02  2.481334E-01  0.000000E+00  0.000000E+00  3.637149E-05
1.066596E-04  7.338404E-03  3.095109E-03  4.655105E-01  4.612868E-01  2.718027E-01  0.000000E+00  0.000000E+00  -7.481988E-02  4.581721E-01  4.581917E-01  2.739233E-01  0.000000E+00  0.000000E+00  1.957996E-05  2.208934E-03  1.548658E-03  6.074148E-02  6.006766E-02  2.473424E-01  0.000000E+00  0.000000E+00  1.943756E+00  6.017565E-02  6.017668E-02  2.477442E-01  0.000000E+00  0.000000E+00  3.672505E-05
1.076465E-04  7.389417E-03  3.120888E-03  4.647640E-01  4.605152E-01  2.713687E-01  0.000000E+00  0.000000E+00  -8.862502E-02  4.573746E-01  4.573943E-01  2.734936E-01  0.000000E+00  0.000000E+00  1.972703E-05  2.219557E-03  1.557943E-03  6.060144E-02  5.992395E-02  2.469524E-01  0.000000E+00  0.000000E+00  1.927484E+00  6.003339E-02  6.003449E-02  2.473550E-01  0.000000E+00  0.000000E+00  3.704902E-05
1.086426E-04  7.440502E-03  3.146699E-03  4.640179E-01  4.597439E-01  2.709350E-01  0.000000E+00  0.000000E+00  -1.023617E-01  4.565774E-01  4.565972E-01  2.730642E-01  0.000000E+00  0.000000E+00  1.986816E-05  2.230199E-03  1.567248E-03  6.046167E-02  5.978050E-02  2.465625E-01  0.000000E+00  0.000000E+00  1.911290E+00  5.989140E-02  5.989258E-02  2.469659E-01  0.000000E+00  0.000000E+00  3.734407E-05
