MMHT2014nlo68cl	1.00 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb
1.000000E-04  6.599800E-03  2.695400E-03  4.637800E-01  4.598800E-01  2.669500E-01  0.000000E+00  0.000000E+00  -1.835300E-01  4.571802E-01  4.571846E-01  2.690261E-01  0.000000E+00  0.000000E+00  2.097227E-03  1.448519E-03  6.292226E-02  6.229734E-02  2.517320E-01  0.000000E+00  0.000000E+00  2.108991E+00  6.238375E-02  6.238781E-02  2.521243E-01  0.000000E+00  0.000000E+00
1.009253E-04  6.648325E-03  2.719702E-03  4.630435E-01  4.591194E-01  2.665293E-01  0.000000E+00  0.000000E+00  -1.982884E-01  4.563952E-01  4.563997E-01  2.686097E-01  0.000000E+00  0.000000E+00  2.107676E-03  1.457604E-03  6.278126E-02  6.215287E-02  2.513407E-01  0.000000E+00  0.000000E+00  2.091929E+00  6.224059E-02  6.224478E-02  2.517338E-01  0.000000E+00  0.000000E+00
1.018591E-04  6.696851E-03  2.743987E-03  4.623072E-01  4.583588E-01  2.661087E-01  0.000000E+00  0.000000E+00  -2.129832E-01  4.556103E-01  4.556148E-01  2.681934E-01  0.000000E+00  0.000000E+00  2.118142E-03  1.466704E-03  6.264048E-02  6.200862E-02  2.509495E-01  0.000000E+00  0.000000E+00  2.074939E+00  6.209766E-02  6.210198E-02  2.513435E-01  0.000000E+00  0.000000E+00
1.028016E-04  6.745386E-03  2.768261E-03  4.615709E-01  4.575984E-01  2.656883E-01  0.000000E+00  0.000000E+00  -2.276139E-01  4.548255E-01  4.548301E-01  2.677772E-01  0.000000E+00  0.000000E+00  2.128626E-03  1.475820E-03  6.249994E-02  6.186458E-02  2.505584E-01  0.000000E+00  0.000000E+00  2.058023E+00  6.195496E-02  6.195941E-02  2.509532E-01  0.000000E+00  0.000000E+00
1.037528E-04  6.793941E-03  2.792531E-03  4.608349E-01  4.568381E-01  2.652679E-01  0.000000E+00  0.000000E+00  -2.421799E-01  4.540409E-01  4.540456E-01  2.673611E-01  0.000000E+00  0.000000E+00  2.139128E-03  1.484953E-03  6.235963E-02  6.172075E-02  2.501674E-01  0.000000E+00  0.000000E+00  2.041180E+00  6.181250E-02  6.181706E-02  2.505630E-01  0.000000E+00  0.000000E+00
1.047129E-04  6.842525E-03  2.816804E-03  4.600989E-01  4.560779E-01  2.648477E-01  0.000000E+00  0.000000E+00  -2.566805E-01  4.532564E-01  4.532611E-01  2.669451E-01  0.000000E+00  0.000000E+00  2.149648E-03  1.494103E-03  6.221956E-02  6.157714E-02  2.497765E-01  0.000000E+00  0.000000E+00  2.024412E+00  6.167028E-02  6.167495E-02  2.501730E-01  0.000000E+00  0.000000E+00
1.056818E-04  6.891148E-03  2.841085E-03  4.593632E-01  4.553179E-01  2.644276E-01  0.000000E+00  0.000000E+00  -2.711152E-01  4.524721E-01  4.524768E-01  2.665293E-01  0.000000E+00  0.000000E+00  2.160187E-03  1.503270E-03  6.207972E-02  6.143375E-02  2.493857E-01  0.000000E+00  0.000000E+00  2.007718E+00  6.152829E-02  6.153306E-02  2.497830E-01  0.000000E+00  0.000000E+00
1.066596E-04  6.939819E-03  2.865383E-03  4.586277E-01  4.545580E-01  2.640076E-01  0.000000E+00  0.000000E+00  -2.854834E-01  4.516879E-01  4.516926E-01  2.661136E-01  0.000000E+00  0.000000E+00  2.170745E-03  1.512456E-03  6.194013E-02  6.129059E-02  2.489949E-01  0.000000E+00  0.000000E+00  1.991100E+00  6.138655E-02  6.139142E-02  2.493931E-01  0.000000E+00  0.000000E+00
1.076465E-04  6.988548E-03  2.889702E-03  4.578923E-01  4.537983E-01  2.635877E-01  0.000000E+00  0.000000E+00  -2.997844E-01  4.509038E-01  4.509086E-01  2.656980E-01  0.000000E+00  0.000000E+00  2.181322E-03  1.521660E-03  6.180077E-02  6.114764E-02  2.486043E-01  0.000000E+00  0.000000E+00  1.974557E+00  6.124506E-02  6.125001E-02  2.490033E-01  0.000000E+00  0.000000E+00
1.086426E-04  7.037345E-03  2.914050E-03  4.571572E-01  4.530388E-01  2.631680E-01  0.000000E+00  0.000000E+00  -3.140177E-01  4.501199E-01  4.501247E-01  2.652826E-01  0.000000E+00  0.000000E+00  2.191918E-03  1.530884E-03  6.166167E-02  6.100492E-02  2.482138E-01  0.000000E+00  0.000000E+00  1.958092E+00  6.110381E-02  6.110883E-02  2.486136E-01  0.000000E+00  0.000000E+00
