MMHT2014nnlo68cl	1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb
1.000000E-04  6.687851E-03  1.099484E-03  4.091742E-01  4.036034E-01  3.041465E-01  0.000000E+00  0.000000E+00  -2.037600E+00  4.024863E-01  4.025039E-01  3.055722E-01  0.000000E+00  0.000000E+00  2.247055E-03  6.074648E-04  5.206772E-02  5.152747E-02  2.102886E-01  0.000000E+00  0.000000E+00  1.693147E+00  5.164284E-02  5.164871E-02  2.107193E-01  0.000000E+00  0.000000E+00
1.009253E-04  6.734107E-03  1.111111E-03  4.088812E-01  4.032759E-01  3.038957E-01  0.000000E+00  0.000000E+00  -2.032155E+00  4.021471E-01  4.021648E-01  3.053243E-01  0.000000E+00  0.000000E+00  2.257454E-03  6.126767E-04  5.201687E-02  5.147342E-02  2.100992E-01  0.000000E+00  0.000000E+00  1.681330E+00  5.158995E-02  5.159588E-02  2.105307E-01  0.000000E+00  0.000000E+00
1.018591E-04  6.780367E-03  1.122708E-03  4.085880E-01  4.029482E-01  3.036447E-01  0.000000E+00  0.000000E+00  -2.026735E+00  4.018076E-01  4.018255E-01  3.050762E-01  0.000000E+00  0.000000E+00  2.267869E-03  6.178920E-04  5.196613E-02  5.141946E-02  2.099097E-01  0.000000E+00  0.000000E+00  1.669574E+00  5.153716E-02  5.154315E-02  2.103421E-01  0.000000E+00  0.000000E+00
1.028016E-04  6.826638E-03  1.134281E-03  4.082947E-01  4.026203E-01  3.033936E-01  0.000000E+00  0.000000E+00  -2.021340E+00  4.014680E-01  4.014860E-01  3.048281E-01  0.000000E+00  0.000000E+00  2.278302E-03  6.231119E-04  5.191552E-02  5.136560E-02  2.097202E-01  0.000000E+00  0.000000E+00  1.657880E+00  5.148449E-02  5.149052E-02  2.101534E-01  0.000000E+00  0.000000E+00
1.037528E-04  6.872928E-03  1.145834E-03  4.080012E-01  4.022922E-01  3.031424E-01  0.000000E+00  0.000000E+00  -2.015970E+00  4.011282E-01  4.011464E-01  3.045798E-01  0.000000E+00  0.000000E+00  2.288752E-03  6.283371E-04  5.186501E-02  5.131184E-02  2.095307E-01  0.000000E+00  0.000000E+00  1.646249E+00  5.143193E-02  5.143800E-02  2.099646E-01  0.000000E+00  0.000000E+00
1.047129E-04  6.919248E-03  1.157371E-03  4.077075E-01  4.019639E-01  3.028911E-01  0.000000E+00  0.000000E+00  -2.010626E+00  4.007883E-01  4.008065E-01  3.043314E-01  0.000000E+00  0.000000E+00  2.299219E-03  6.335688E-04  5.181462E-02  5.125817E-02  2.093411E-01  0.000000E+00  0.000000E+00  1.634680E+00  5.137947E-02  5.138556E-02  2.097759E-01  0.000000E+00  0.000000E+00
1.056818E-04  6.965605E-03  1.168898E-03  4.074137E-01  4.016354E-01  3.026396E-01  0.000000E+00  0.000000E+00  -2.005307E+00  4.004481E-01  4.004665E-01  3.040829E-01  0.000000E+00  0.000000E+00  2.309704E-03  6.388077E-04  5.176433E-02  5.120459E-02  2.091515E-01  0.000000E+00  0.000000E+00  1.623173E+00  5.132712E-02  5.133322E-02  2.095871E-01  0.000000E+00  0.000000E+00
1.066596E-04  7.012008E-03  1.180419E-03  4.071197E-01  4.013067E-01  3.023880E-01  0.000000E+00  0.000000E+00  -2.000012E+00  4.001077E-01  4.001262E-01  3.038342E-01  0.000000E+00  0.000000E+00  2.320207E-03  6.440550E-04  5.171415E-02  5.115110E-02  2.089618E-01  0.000000E+00  0.000000E+00  1.611730E+00  5.127486E-02  5.128098E-02  2.093982E-01  0.000000E+00  0.000000E+00
1.076465E-04  7.058465E-03  1.191939E-03  4.068255E-01  4.009777E-01  3.021362E-01  0.000000E+00  0.000000E+00  -1.994742E+00  3.997670E-01  3.997857E-01  3.035853E-01  0.000000E+00  0.000000E+00  2.330729E-03  6.493116E-04  5.166407E-02  5.109769E-02  2.087721E-01  0.000000E+00  0.000000E+00  1.600351E+00  5.122271E-02  5.122882E-02  2.092092E-01  0.000000E+00  0.000000E+00
1.086426E-04  7.104986E-03  1.203462E-03  4.065312E-01  4.006485E-01  3.018842E-01  0.000000E+00  0.000000E+00  -1.989496E+00  3.994262E-01  3.994450E-01  3.033363E-01  0.000000E+00  0.000000E+00  2.341268E-03  6.545784E-04  5.161410E-02  5.104437E-02  2.085822E-01  0.000000E+00  0.000000E+00  1.589036E+00  5.117065E-02  5.117675E-02  2.090202E-01  0.000000E+00  0.000000E+00
