NNPDF30_nnlo_as_0118	1.00 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  xdb-ub  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb  Exdb-ub
1.000000E-04  1.362318E-02  9.776201E-03  3.015267E-01  3.299584E-01  2.737096E-01  -2.331204E-10  -3.269574E-10  -1.393612E+00  2.879035E-01  3.201822E-01  2.745641E-01  -2.542377E-10  -3.531191E-10  3.227868E-02  4.967982E-03  6.136710E-03  6.966685E-02  1.156772E-01  1.712917E-01  6.325091E-09  7.539869E-09  2.278158E+00  7.104818E-02  1.161798E-01  1.706456E-01  6.340845E-09  7.514763E-09  1.430281E-01
1.009253E-04  1.367869E-02  9.811923E-03  3.014981E-01  3.295002E-01  2.731357E-01  -2.283572E-10  -3.303639E-10  -1.418157E+00  2.878194E-01  3.196883E-01  2.739926E-01  -2.495800E-10  -3.570257E-10  3.186886E-02  4.969590E-03  6.145414E-03  6.932923E-02  1.149644E-01  1.707638E-01  6.394254E-09  7.608947E-09  2.235089E+00  7.071395E-02  1.154720E-01  1.701202E-01  6.410341E-09  7.583371E-09  1.420613E-01
1.018591E-04  1.373449E-02  9.847786E-03  3.014696E-01  3.290448E-01  2.725615E-01  -2.219165E-10  -3.330262E-10  -1.442162E+00  2.877351E-01  3.191970E-01  2.734210E-01  -2.432038E-10  -3.600538E-10  3.146189E-02  4.971163E-03  6.154122E-03  6.899423E-02  1.142583E-01  1.702364E-01  6.443604E-09  7.657087E-09  2.193635E+00  7.038226E-02  1.147708E-01  1.695953E-01  6.459866E-09  7.631030E-09  1.411052E-01
1.028016E-04  1.379056E-02  9.883788E-03  3.014414E-01  3.285920E-01  2.719871E-01  -2.136656E-10  -3.350339E-10  -1.465585E+00  2.876508E-01  3.187082E-01  2.728491E-01  -2.349727E-10  -3.622910E-10  3.105743E-02  4.972704E-03  6.162836E-03  6.866161E-02  1.135583E-01  1.697095E-01  6.471486E-09  7.682744E-09  2.153752E+00  7.005289E-02  1.140760E-01  1.690711E-01  6.487769E-09  7.656191E-09  1.401589E-01
1.037528E-04  1.384684E-02  9.919907E-03  3.014151E-01  3.281404E-01  2.714121E-01  -2.032848E-10  -3.372254E-10  -1.488118E+00  2.875682E-01  3.182205E-01  2.722767E-01  -2.245567E-10  -3.646064E-10  3.065226E-02  4.974223E-03  6.171572E-03  6.833054E-02  1.128616E-01  1.691833E-01  6.479490E-09  7.686386E-09  2.115110E+00  6.972505E-02  1.133845E-01  1.685475E-01  6.495680E-09  7.659307E-09  1.392169E-01
1.047129E-04  1.390333E-02  9.956142E-03  3.013910E-01  3.276897E-01  2.708366E-01  -1.908277E-10  -3.397186E-10  -1.509726E+00  2.874876E-01  3.177336E-01  2.717039E-01  -2.120102E-10  -3.671277E-10  3.024592E-02  4.975725E-03  6.180332E-03  6.800095E-02  1.121678E-01  1.686579E-01  6.469269E-09  7.669706E-09  2.077600E+00  6.939870E-02  1.126960E-01  1.680247E-01  6.485266E-09  7.642071E-09  1.382783E-01
1.056818E-04  1.396003E-02  9.992493E-03  3.013689E-01  3.272400E-01  2.702606E-01  -1.764139E-10  -3.424692E-10  -1.530436E+00  2.874089E-01  3.172475E-01  2.711305E-01  -1.974558E-10  -3.698143E-10  2.983860E-02  4.977209E-03  6.189118E-03  6.767292E-02  1.114769E-01  1.681332E-01  6.442363E-09  7.634524E-09  2.041172E+00  6.907391E-02  1.120105E-01  1.675027E-01  6.458069E-09  7.606311E-09  1.373433E-01
1.066596E-04  1.401694E-02  1.002896E-02  3.013489E-01  3.267913E-01  2.696841E-01  -1.601629E-10  -3.454326E-10  -1.550272E+00  2.873319E-01  3.167624E-01  2.705567E-01  -1.810161E-10  -3.726257E-10  2.943045E-02  4.978676E-03  6.197927E-03  6.734656E-02  1.107891E-01  1.676094E-01  6.400462E-09  7.582796E-09  2.005778E+00  6.875077E-02  1.113282E-01  1.669816E-01  6.415781E-09  7.553990E-09  1.364121E-01
1.076465E-04  1.407406E-02  1.006555E-02  3.013306E-01  3.263438E-01  2.691072E-01  -1.421944E-10  -3.485645E-10  -1.569262E+00  2.872566E-01  3.162782E-01  2.699824E-01  -1.628138E-10  -3.755215E-10  2.902165E-02  4.980126E-03  6.206760E-03  6.702194E-02  1.101044E-01  1.670864E-01  6.345393E-09  7.516603E-09  1.971377E+00  6.842938E-02  1.106490E-01  1.664614E-01  6.360232E-09  7.487200E-09  1.354850E-01
1.086426E-04  1.413141E-02  1.010226E-02  3.013141E-01  3.258973E-01  2.685298E-01  -1.226278E-10  -3.518204E-10  -1.587430E+00  2.871827E-01  3.157951E-01  2.694077E-01  -1.429714E-10  -3.784610E-10  2.861237E-02  4.981560E-03  6.215617E-03  6.669915E-02  1.094229E-01  1.665644E-01  6.279110E-09  7.438141E-09  1.937929E+00  6.810982E-02  1.099733E-01  1.659422E-01  6.293376E-09  7.408148E-09  1.345622E-01
