model:0	Q0^2=1.12	Q^2=1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb
1.000000E-04  1.238554E-02  7.285304E-03  1.238554E-02  7.285304E-03  -4.147832E-10  0.000000E+00  0.000000E+00  -2.147158E-08  -3.895624E-10  -3.906004E-10  -3.925175E-10  0.000000E+00  0.000000E+00
1.009253E-04  1.244285E-02  7.319010E-03  1.244285E-02  7.319010E-03  -4.134373E-10  0.000000E+00  0.000000E+00  -2.143532E-08  -3.881058E-10  -3.891525E-10  -3.910833E-10  0.000000E+00  0.000000E+00
1.018591E-04  1.250043E-02  7.352873E-03  1.250043E-02  7.352873E-03  -4.120931E-10  0.000000E+00  0.000000E+00  -2.139859E-08  -3.866506E-10  -3.877060E-10  -3.896508E-10  0.000000E+00  0.000000E+00
1.028016E-04  1.255827E-02  7.386893E-03  1.255827E-02  7.386893E-03  -4.107506E-10  0.000000E+00  0.000000E+00  -2.136140E-08  -3.851968E-10  -3.862610E-10  -3.882197E-10  0.000000E+00  0.000000E+00
1.037528E-04  1.261638E-02  7.421071E-03  1.261638E-02  7.421071E-03  -4.094098E-10  0.000000E+00  0.000000E+00  -2.132374E-08  -3.837443E-10  -3.848173E-10  -3.867902E-10  0.000000E+00  0.000000E+00
1.047129E-04  1.267476E-02  7.455408E-03  1.267476E-02  7.455407E-03  -4.080707E-10  0.000000E+00  0.000000E+00  -2.128562E-08  -3.822932E-10  -3.833752E-10  -3.853622E-10  0.000000E+00  0.000000E+00
1.056818E-04  1.273341E-02  7.489904E-03  1.273341E-02  7.489904E-03  -4.067333E-10  0.000000E+00  0.000000E+00  -2.124704E-08  -3.808434E-10  -3.819344E-10  -3.839357E-10  0.000000E+00  0.000000E+00
1.066596E-04  1.279233E-02  7.524561E-03  1.279233E-02  7.524560E-03  -4.053975E-10  0.000000E+00  0.000000E+00  -2.120799E-08  -3.793951E-10  -3.804951E-10  -3.825107E-10  0.000000E+00  0.000000E+00
1.076465E-04  1.285153E-02  7.559379E-03  1.285153E-02  7.559378E-03  -4.040635E-10  0.000000E+00  0.000000E+00  -2.116849E-08  -3.779480E-10  -3.790572E-10  -3.810872E-10  0.000000E+00  0.000000E+00
1.086426E-04  1.291101E-02  7.594358E-03  1.291101E-02  7.594358E-03  -4.027311E-10  0.000000E+00  0.000000E+00  -2.112853E-08  -3.765023E-10  -3.776207E-10  -3.796653E-10  0.000000E+00  0.000000E+00
1.096478E-04  1.297076E-02  7.629500E-03  1.297076E-02  7.629500E-03  -4.014003E-10  0.000000E+00  0.000000E+00  -2.108811E-08  -3.750580E-10  -3.761856E-10  -3.782448E-10  0.000000E+00  0.000000E+00
1.106624E-04  1.303078E-02  7.664806E-03  1.303078E-02  7.664805E-03  -4.000713E-10  0.000000E+00  0.000000E+00  -2.104724E-08  -3.736150E-10  -3.747520E-10  -3.768259E-10  0.000000E+00  0.000000E+00
