CT14nnlo	1.057 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
1.000000E-04	2.229398E+01	2.678991E+01	2.229398E-03	2.678991E-03
1.009253E-04	2.224366E+01	2.668601E+01	2.244948E-03	2.693293E-03
1.018591E-04	2.219415E+01	2.658176E+01	2.260677E-03	2.707595E-03
1.028016E-04	2.214492E+01	2.647758E+01	2.276534E-03	2.721939E-03
1.037528E-04	2.209594E+01	2.637356E+01	2.292516E-03	2.736332E-03
1.047129E-04	2.204720E+01	2.626975E+01	2.308625E-03	2.750780E-03
1.056818E-04	2.199870E+01	2.616620E+01	2.324861E-03	2.765290E-03
1.066596E-04	2.195043E+01	2.606299E+01	2.341224E-03	2.779868E-03
1.076465E-04	2.190238E+01	2.596015E+01	2.357715E-03	2.794520E-03
1.086426E-04	2.185454E+01	2.585772E+01	2.374333E-03	2.809249E-03
1.096478E-04	2.180690E+01	2.575573E+01	2.391079E-03	2.824059E-03
1.106624E-04	2.175946E+01	2.565417E+01	2.407953E-03	2.838951E-03
1.116863E-04	2.171221E+01	2.555303E+01	2.424956E-03	2.853924E-03
1.127197E-04	2.166513E+01	2.545230E+01	2.442088E-03	2.868977E-03
1.137627E-04	2.161823E+01	2.535193E+01	2.459349E-03	2.884105E-03
1.148154E-04	2.157150E+01	2.525188E+01	2.476739E-03	2.899304E-03
1.158777E-04	2.152492E+01	2.515207E+01	2.494259E-03	2.914565E-03
1.169499E-04	2.147850E+01	2.505245E+01	2.511909E-03	2.929882E-03
1.180321E-04	2.143222E+01	2.495293E+01	2.529689E-03	2.945246E-03
1.191242E-04	2.138608E+01	2.485344E+01	2.547599E-03	2.960646E-03
1.202264E-04	2.134007E+01	2.475390E+01	2.565640E-03	2.976074E-03
1.213389E-04	2.129418E+01	2.465425E+01	2.583812E-03	2.991520E-03
1.224616E-04	2.124841E+01	2.455443E+01	2.602115E-03	3.006975E-03
1.235947E-04	2.120276E+01	2.445438E+01	2.620550E-03	3.022433E-03
1.247384E-04	2.115728E+01	2.435423E+01	2.639125E-03	3.037906E-03
1.258925E-04	2.111200E+01	2.425410E+01	2.657843E-03	3.053410E-03
1.270574E-04	2.106687E+01	2.415407E+01	2.676702E-03	3.068954E-03
1.282331E-04	2.102188E+01	2.405423E+01	2.695700E-03	3.084547E-03
1.294196E-04	2.097700E+01	2.395465E+01	2.714835E-03	3.100200E-03
1.306171E-04	2.093221E+01	2.385539E+01	2.734104E-03	3.115922E-03
1.318257E-04	2.088748E+01	2.375651E+01	2.753506E-03	3.131718E-03
1.330454E-04	2.084278E+01	2.365805E+01	2.773037E-03	3.147596E-03
