# CT14 NNLO Q=1.057
# x  w(x)  delta_w(x)
1.000000E-04  7.417079E-03  3.667206E-04
1.009253E-04  7.419510E-03  3.799915E-04
1.018591E-04  7.421972E-03  3.756131E-04
1.028016E-04  7.424478E-03  3.748490E-04
1.037528E-04  7.427177E-03  3.755349E-04
1.047129E-04  7.429748E-03  3.870283E-04
1.056818E-04  7.432349E-03  3.822940E-04
1.066596E-04  7.434983E-03  3.805309E-04
1.076465E-04  7.405379E-03  3.796120E-04
1.086426E-04  7.408067E-03  3.887424E-04
1.096478E-04  7.410773E-03  3.942805E-04
1.106624E-04  7.413531E-03  4.125464E-04
1.116863E-04  7.416328E-03  4.069775E-04
1.127197E-04  7.419165E-03  4.097490E-04
1.137627E-04  7.422042E-03  4.116321E-04
1.148154E-04  7.424960E-03  4.210655E-04
1.158777E-04  7.427919E-03  4.266107E-04
1.169499E-04  7.430920E-03  4.330622E-04
1.180321E-04  7.433963E-03  4.281981E-04
1.191242E-04  7.437050E-03  4.255444E-04
1.202264E-04  7.440181E-03  4.210735E-04
1.213389E-04  7.443356E-03  4.236988E-04
1.224616E-04  7.446577E-03  4.199779E-04
1.235947E-04  7.449844E-03  4.377448E-04
1.247384E-04  7.453157E-03  4.336024E-04
1.258925E-04  7.456264E-03  4.413558E-04
1.270574E-04  7.459545E-03  4.492669E-04
1.282331E-04  7.462876E-03  4.604168E-04
1.294196E-04  7.466258E-03  4.624383E-04
1.306171E-04  7.469693E-03  4.702367E-04
1.318257E-04  7.473183E-03  4.773816E-04
1.330454E-04  7.476728E-03  4.758428E-04
1.342765E-04  7.480331E-03  4.689235E-04
1.355189E-04  7.483994E-03  4.756929E-04
1.367729E-04  7.487718E-03  4.726928E-04
1.380384E-04  7.491505E-03  4.652935E-04
1.393157E-04  7.495363E-03  4.676748E-04
1.406048E-04  7.499293E-03  4.614559E-04
1.419058E-04  7.503297E-03  4.636315E-04
1.432188E-04  7.507377E-03  4.685700E-04
1.445440E-04  7.479245E-03  5.063570E-04
1.458814E-04  7.483468E-03  5.145888E-04
1.472313E-04  7.487773E-03  5.170411E-04
1.485936E-04  7.492160E-03  5.244709E-04
1.499685E-04  7.549643E-03  5.236389E-04
1.513561E-04  7.551391E-03  5.117213E-04
1.527566E-04  7.553153E-03  5.062410E-04
1.541700E-04  7.554927E-03  5.097541E-04
1.555966E-04  7.556714E-03  5.088809E-04
1.570363E-04  7.558512E-03  5.095594E-04
1.584893E-04  7.560321E-03  5.069478E-04
1.599558E-04  7.562899E-03  5.104218E-04
1.614359E-04  7.535651E-03  5.144246E-04
1.629296E-04  7.540951E-03  5.140559E-04
1.644372E-04  7.546349E-03  5.224188E-04
1.659587E-04  7.551848E-03  5.334242E-04
1.674943E-04  7.557447E-03  5.378144E-04
1.690441E-04  7.564248E-03  5.459656E-04
1.706082E-04  7.569926E-03  5.409010E-04
1.721869E-04  7.577667E-03  5.479176E-04
1.737801E-04  7.584735E-03  5.451266E-04
1.753881E-04  7.591813E-03  5.522073E-04
1.770109E-04  7.598859E-03  5.500149E-04
1.786488E-04  7.599531E-03  5.535943E-04
1.803018E-04  7.606860E-03  5.576137E-04
1.819701E-04  7.581545E-03  5.677650E-04
1.836538E-04  7.588851E-03  5.688259E-04
1.853532E-04  7.591534E-03  5.729910E-04
1.870682E-04  7.593654E-03  5.819550E-04
1.887991E-04  7.595809E-03  5.905677E-04
1.905461E-04  7.597998E-03  6.004991E-04
1.923092E-04  7.600221E-03  6.058946E-04
1.940886E-04  7.602476E-03  6.067313E-04
1.958845E-04  7.637447E-03  5.949483E-04
1.976970E-04  7.639769E-03  5.964060E-04
1.995262E-04  7.642119E-03  5.951807E-04
2.013724E-04  7.644496E-03  5.945099E-04
2.032357E-04  7.646899E-03  5.983646E-04
2.051162E-04  7.649327E-03  6.010207E-04
2.070141E-04  7.651777E-03  6.079498E-04
2.089296E-04  7.654249E-03  6.069757E-04
2.108628E-04  7.659130E-03  6.135165E-04
2.128139E-04  7.664196E-03  6.222294E-04
2.147830E-04  7.669254E-03  6.250473E-04
2.167704E-04  7.674305E-03  6.339366E-04
2.187762E-04  7.678652E-03  6.362260E-04
2.208005E-04  7.683578E-03  6.361176E-04
2.228435E-04  7.688201E-03  6.309162E-04
2.249055E-04  7.692659E-03  6.329566E-04
2.269865E-04  7.697142E-03  6.150536E-04
2.290868E-04  7.701651E-03  6.213999E-04
2.312065E-04  7.706187E-03  6.245741E-04
2.333458E-04  7.710751E-03  6.243052E-04
2.355049E-04  7.720853E-03  6.320257E-04
2.376840E-04  7.725337E-03  6.474502E-04
2.398833E-04  7.729849E-03  6.484918E-04
2.421029E-04  7.734371E-03  6.547373E-04
2.443431E-04  7.738948E-03  6.665664E-04
2.466039E-04  7.743703E-03  6.775487E-04
2.488857E-04  7.748322E-03  6.779284E-04
2.511886E-04  7.753167E-03  6.888182E-04
2.535129E-04  7.758051E-03  6.791730E-04
2.558586E-04  7.763058E-03  6.818264E-04
2.582260E-04  7.768070E-03  6.752819E-04
2.606154E-04  7.773086E-03  6.743278E-04
2.630268E-04  7.780450E-03  6.806415E-04
2.654606E-04  7.788029E-03  6.915948E-04
2.679168E-04  7.795584E-03  6.934154E-04
2.703958E-04  7.803111E-03  7.021279E-04
2.728978E-04  7.810831E-03  7.110277E-04
2.754229E-04  7.784937E-03  7.204372E-04
2.779713E-04  7.792246E-03  7.259957E-04
2.805434E-04  7.799525E-03  7.233504E-04
2.831392E-04  7.806775E-03  7.353783E-04
2.857591E-04  7.814208E-03  7.296274E-04
2.884032E-04  7.821454E-03  7.290221E-04
2.910717E-04  7.828656E-03  7.272657E-04
2.937650E-04  7.835814E-03  7.273923E-04
2.964831E-04  7.842925E-03  7.371086E-04
2.992265E-04  7.849989E-03  7.440446E-04
3.019952E-04  7.857006E-03  7.440114E-04
3.047895E-04  7.863976E-03  7.404660E-04
3.076097E-04  7.870896E-03  7.455649E-04
3.104560E-04  7.877780E-03  7.498705E-04
3.133286E-04  7.884601E-03  7.580468E-04
3.162278E-04  7.891371E-03  7.593450E-04
3.191538E-04  7.898090E-03  7.748087E-04
3.221069E-04  7.904759E-03  7.692643E-04
3.250873E-04  7.911376E-03  7.784093E-04
3.280953E-04  7.917943E-03  7.777828E-04
3.311311E-04  7.924453E-03  7.749042E-04
3.341950E-04  7.931475E-03  7.843568E-04
3.372873E-04  7.937839E-03  7.831512E-04
3.404082E-04  7.944151E-03  7.913395E-04
3.435579E-04  7.950413E-03  7.908926E-04
3.467369E-04  7.956625E-03  7.932048E-04
3.499452E-04  7.962787E-03  8.025690E-04
3.531832E-04  7.958877E-03  8.043601E-04
3.564511E-04  7.963319E-03  8.058132E-04
3.597493E-04  7.967751E-03  8.206158E-04
3.630781E-04  7.972173E-03  8.229422E-04
3.664376E-04  7.976586E-03  8.199419E-04
3.698282E-04  7.980989E-03  8.218327E-04
3.732502E-04  7.985384E-03  8.281041E-04
3.767038E-04  7.989770E-03  8.345458E-04
3.801894E-04  7.994147E-03  8.404593E-04
3.837072E-04  8.032436E-03  8.441823E-04
3.872576E-04  8.036808E-03  8.590103E-04
3.908409E-04  8.041170E-03  8.530557E-04
3.944573E-04  8.045521E-03  8.674772E-04
3.981072E-04  8.049860E-03  8.661181E-04
4.017908E-04  8.054186E-03  8.866963E-04
4.055085E-04  8.060780E-03  8.860239E-04
4.092607E-04  8.067052E-03  8.871496E-04
4.130475E-04  8.067083E-03  8.847645E-04
4.168694E-04  8.071354E-03  8.904030E-04
4.207266E-04  8.075610E-03  8.895453E-04
4.246196E-04  8.079850E-03  8.949016E-04
4.285485E-04  8.092426E-03  8.984096E-04
4.325138E-04  8.104104E-03  8.998323E-04
4.365158E-04  8.126816E-03  9.088154E-04
4.405549E-04  8.118522E-03  9.115123E-04
4.446313E-04  8.123300E-03  9.230141E-04
4.487454E-04  8.142951E-03  9.217964E-04
4.528976E-04  8.151069E-03  9.304917E-04
4.570882E-04  8.158704E-03  9.409972E-04
4.613176E-04  8.165912E-03  9.480032E-04
4.655861E-04  8.172734E-03  9.484657E-04
4.698941E-04  8.179208E-03  9.527316E-04
4.742420E-04  8.185368E-03  9.567190E-04
4.786301E-04  8.191243E-03  9.713879E-04
4.830588E-04  8.195222E-03  9.628906E-04
4.875285E-04  8.195222E-03  9.761482E-04
4.920395E-04  8.229789E-03  9.830290E-04
4.965923E-04  8.229789E-03  9.878925E-04
5.011872E-04  8.229789E-03  9.882206E-04
5.058247E-04  8.229789E-03  1.000712E-03
5.105050E-04  8.264463E-03  1.002134E-03
5.152286E-04  8.264463E-03  1.010521E-03
5.199960E-04  8.264463E-03  1.021351E-03
5.248075E-04  8.264463E-03  1.032385E-03
5.296634E-04  8.299210E-03  1.037881E-03
5.345644E-04  8.299210E-03  1.043535E-03
5.395106E-04  8.299210E-03  1.047169E-03
5.445027E-04  8.299210E-03  1.041628E-03
5.495409E-04  8.334065E-03  1.037323E-03
5.546257E-04  8.338598E-03  1.050194E-03
5.597576E-04  8.345230E-03  1.054392E-03
5.649370E-04  8.352330E-03  1.048630E-03
5.701643E-04  8.359962E-03  1.065644E-03
5.754399E-04  8.368201E-03  1.079085E-03
5.807644E-04  8.377136E-03  1.083131E-03
5.861382E-04  8.386880E-03  1.093831E-03
5.915616E-04  8.409535E-03  1.107537E-03
5.970353E-04  8.401297E-03  1.111346E-03
6.025596E-04  8.422504E-03  1.115550E-03
6.081350E-04  8.437244E-03  1.107384E-03
6.137620E-04  8.452964E-03  1.109695E-03
6.194411E-04  8.458685E-03  1.126196E-03
6.251727E-04  8.464529E-03  1.132941E-03
6.309573E-04  8.466824E-03  1.131407E-03
6.367955E-04  8.476586E-03  1.126637E-03
6.426877E-04  8.482834E-03  1.130656E-03
6.486344E-04  8.489207E-03  1.155902E-03
6.546362E-04  8.495606E-03  1.154942E-03
6.606934E-04  8.502260E-03  1.157672E-03
6.668068E-04  8.544606E-03  1.185179E-03
6.729767E-04  8.551594E-03  1.195435E-03
6.792036E-04  8.559037E-03  1.201715E-03
6.854882E-04  8.566330E-03  1.200925E-03
6.918310E-04  8.561189E-03  1.204793E-03
6.982324E-04  8.571605E-03  1.210353E-03
7.046931E-04  8.582376E-03  1.209118E-03
7.112135E-04  8.593517E-03  1.212697E-03
7.177943E-04  8.605040E-03  1.222677E-03
7.244360E-04  8.616962E-03  1.230038E-03
7.311391E-04  8.629295E-03  1.233564E-03
7.379042E-04  8.642057E-03  1.256079E-03
7.447320E-04  8.655261E-03  1.257029E-03
7.516229E-04  8.668924E-03  1.269403E-03
7.585776E-04  8.683061E-03  1.276168E-03
7.655966E-04  8.697687E-03  1.283979E-03
7.726806E-04  8.712817E-03  1.286815E-03
7.798301E-04  8.728466E-03  1.285823E-03
7.870458E-04  8.744646E-03  1.298730E-03
7.943282E-04  8.761371E-03  1.313523E-03
8.016781E-04  8.742394E-03  1.334506E-03
8.090959E-04  8.760187E-03  1.330270E-03
8.165824E-04  8.778248E-03  1.316332E-03
8.241381E-04  8.790778E-03  1.335300E-03
8.317638E-04  8.803198E-03  1.345739E-03
8.394600E-04  8.815346E-03  1.337685E-03
8.472274E-04  8.825639E-03  1.354177E-03
8.550667E-04  8.846364E-03  1.371409E-03
8.629785E-04  8.859329E-03  1.368809E-03
8.709636E-04  8.872635E-03  1.385038E-03
8.790225E-04  8.887442E-03  1.380622E-03
8.871560E-04  8.899544E-03  1.395175E-03
8.953648E-04  8.907043E-03  1.391823E-03
9.036495E-04  8.914506E-03  1.403084E-03
9.120108E-04  8.958716E-03  1.438250E-03
9.204496E-04  8.966049E-03  1.427992E-03
9.289664E-04  8.951697E-03  1.438486E-03
9.375620E-04  8.978671E-03  1.437750E-03
9.462372E-04  9.006914E-03  1.438864E-03
9.549926E-04  8.994773E-03  1.465760E-03
9.638290E-04  9.002530E-03  1.474214E-03
9.727472E-04  9.047712E-03  1.476860E-03
9.817479E-04  9.056286E-03  1.487277E-03
9.908319E-04  9.065304E-03  1.502410E-03
1.000000E-03  9.074802E-03  1.489540E-03
1.009253E-03  9.084820E-03  1.506294E-03
1.018591E-03  9.095402E-03  1.496288E-03
1.028016E-03  9.106596E-03  1.506715E-03
1.037528E-03  9.118458E-03  1.520256E-03
1.047129E-03  9.132952E-03  1.545301E-03
1.056818E-03  9.153960E-03  1.559493E-03
1.066596E-03  9.176193E-03  1.564275E-03
1.076465E-03  9.201025E-03  1.568658E-03
1.086426E-03  9.226156E-03  1.577108E-03
1.096478E-03  9.247758E-03  1.588346E-03
1.106624E-03  9.258927E-03  1.587931E-03
1.116863E-03  9.270662E-03  1.595533E-03
1.127197E-03  9.282644E-03  1.601740E-03
1.137627E-03  9.294855E-03  1.603939E-03
1.148154E-03  9.318938E-03  1.620768E-03
1.158777E-03  9.347078E-03  1.644747E-03
1.169499E-03  9.339866E-03  1.637616E-03
1.180321E-03  9.373704E-03  1.636143E-03
1.191242E-03  9.372927E-03  1.659189E-03
1.202264E-03  9.414448E-03  1.670290E-03
1.213389E-03  9.428064E-03  1.670096E-03
1.224616E-03  9.426964E-03  1.670402E-03
1.235947E-03  9.431717E-03  1.695638E-03
1.247384E-03  9.454534E-03  1.705887E-03
1.258925E-03  9.464784E-03  1.714043E-03
1.270574E-03  9.474821E-03  1.730541E-03
1.282331E-03  9.546310E-03  1.741994E-03
1.294196E-03  9.557126E-03  1.732936E-03
1.306171E-03  9.568457E-03  1.749124E-03
1.318257E-03  9.551544E-03  1.753773E-03
1.330454E-03  9.575566E-03  1.764644E-03
1.342765E-03  9.607798E-03  1.765115E-03
1.355189E-03  9.634014E-03  1.786726E-03
1.367729E-03  9.643431E-03  1.792622E-03
1.380384E-03  9.664075E-03  1.804216E-03
1.393157E-03  9.686915E-03  1.804998E-03
1.406048E-03  9.687865E-03  1.822027E-03
1.419058E-03  9.727004E-03  1.825606E-03
1.432188E-03  9.727004E-03  1.843721E-03
1.445440E-03  9.766589E-03  1.815398E-03
1.458814E-03  9.773554E-03  1.835824E-03
1.472313E-03  9.816715E-03  1.863211E-03
1.485936E-03  9.820604E-03  1.875113E-03
1.499685E-03  9.824625E-03  1.899282E-03
1.513561E-03  9.862398E-03  1.890799E-03
1.527566E-03  9.888424E-03  1.916780E-03
1.541700E-03  9.921227E-03  1.913521E-03
1.555966E-03  9.934156E-03  1.922806E-03
1.570363E-03  9.927555E-03  1.958703E-03
1.584893E-03  9.949043E-03  1.963586E-03
1.599558E-03  9.970089E-03  1.977500E-03
1.614359E-03  9.990284E-03  1.977947E-03
1.629296E-03  1.002288E-02  1.967959E-03
1.644372E-03  1.004630E-02  1.983394E-03
1.659587E-03  1.007341E-02  1.988705E-03
1.674943E-03  1.009839E-02  2.012118E-03
1.690441E-03  1.011286E-02  2.024458E-03
1.706082E-03  1.012714E-02  2.038467E-03
1.721869E-03  1.018148E-02  2.052474E-03
1.737801E-03  1.020275E-02  2.050253E-03
1.753881E-03  1.022077E-02  2.079492E-03
1.770109E-03  1.021935E-02  2.085645E-03
1.786488E-03  1.027408E-02  2.086249E-03
1.803018E-03  1.028892E-02  2.111434E-03
1.819701E-03  1.030427E-02  2.121528E-03
1.836538E-03  1.032670E-02  2.135629E-03
1.853532E-03  1.035698E-02  2.121848E-03
1.870682E-03  1.038395E-02  2.150208E-03
1.887991E-03  1.041965E-02  2.168375E-03
1.905461E-03  1.044272E-02  2.190301E-03
1.923092E-03  1.046760E-02  2.177840E-03
1.940886E-03  1.045688E-02  2.193583E-03
1.958845E-03  1.049580E-02  2.200072E-03
1.976970E-03  1.051726E-02  2.210013E-03
1.995262E-03  1.055031E-02  2.237406E-03
2.013724E-03  1.058983E-02  2.242332E-03
2.032357E-03  1.059494E-02  2.270191E-03
2.051162E-03  1.064174E-02  2.256776E-03
2.070141E-03  1.064843E-02  2.278538E-03
2.089296E-03  1.069045E-02  2.295954E-03
2.108628E-03  1.069045E-02  2.295111E-03
2.128139E-03  1.073255E-02  2.308370E-03
2.147830E-03  1.076195E-02  2.310577E-03
2.167704E-03  1.079511E-02  2.336072E-03
2.187762E-03  1.081815E-02  2.341390E-03
2.208005E-03  1.082635E-02  2.370248E-03
2.228435E-03  1.085737E-02  2.376251E-03
2.249055E-03  1.087499E-02  2.381167E-03
2.269865E-03  1.095758E-02  2.393718E-03
2.290868E-03  1.097391E-02  2.419495E-03
2.312065E-03  1.099107E-02  2.406666E-03
2.333458E-03  1.100952E-02  2.432909E-03
2.355049E-03  1.102858E-02  2.459565E-03
2.376840E-03  1.104868E-02  2.467770E-03
2.398833E-03  1.112791E-02  2.473472E-03
2.421029E-03  1.115179E-02  2.505735E-03
2.443431E-03  1.117674E-02  2.508411E-03
2.466039E-03  1.120278E-02  2.494977E-03
2.488857E-03  1.122993E-02  2.518543E-03
2.511886E-03  1.124080E-02  2.545046E-03
2.535129E-03  1.127155E-02  2.569775E-03
2.558586E-03  1.130447E-02  2.584340E-03
2.582260E-03  1.133980E-02  2.579528E-03
2.606154E-03  1.137780E-02  2.598263E-03
2.630268E-03  1.137467E-02  2.616774E-03
2.654606E-03  1.147442E-02  2.631513E-03
2.679168E-03  1.146690E-02  2.647888E-03
2.703958E-03  1.152257E-02  2.665442E-03
2.728978E-03  1.152560E-02  2.666770E-03
2.754229E-03  1.158862E-02  2.708928E-03
2.779713E-03  1.160774E-02  2.698094E-03
2.805434E-03  1.164609E-02  2.696098E-03
2.831392E-03  1.169199E-02  2.728307E-03
2.857591E-03  1.172063E-02  2.742930E-03
2.884032E-03  1.176521E-02  2.742764E-03
2.910717E-03  1.177003E-02  2.765389E-03
