# MMHT2014 NNLO Q=1.000
# x  w(x)  delta_w(x)
1.000000E-04  1.429267E-05  1.297696E-05
1.009253E-04  1.440009E-05  1.311781E-05
1.018591E-04  1.450946E-05  1.326009E-05
1.028016E-04  1.462083E-05  1.334400E-05
1.037528E-04  1.473423E-05  1.338268E-05
1.047129E-04  1.484972E-05  1.350518E-05
1.056818E-04  1.496734E-05  1.371224E-05
1.066596E-04  1.508715E-05  1.362492E-05
1.076465E-04  1.520920E-05  1.353780E-05
1.086426E-04  1.533353E-05  1.397807E-05
1.096478E-04  1.546020E-05  1.423562E-05
1.106624E-04  1.558927E-05  1.423497E-05
1.116863E-04  1.658406E-05  1.441916E-05
1.127197E-04  1.672593E-05  1.484569E-05
1.137627E-04  1.687044E-05  1.500307E-05
1.148154E-04  1.704349E-05  1.514273E-05
1.158777E-04  1.719417E-05  1.523486E-05
1.169499E-04  1.734773E-05  1.502723E-05
1.180321E-04  1.750423E-05  1.526087E-05
1.191242E-04  1.766374E-05  1.576416E-05
1.202264E-04  1.782634E-05  1.621027E-05
1.213389E-04  1.796139E-05  1.657788E-05
1.224616E-04  1.812941E-05  1.654203E-05
1.235947E-04  1.897379E-05  1.658211E-05
1.247384E-04  1.915757E-05  1.664266E-05
1.258925E-04  1.934472E-05  1.673714E-05
1.270574E-04  1.953529E-05  1.730967E-05
1.282331E-04  1.972937E-05  1.726340E-05
1.294196E-04  1.992701E-05  1.785850E-05
1.306171E-04  2.012830E-05  1.794455E-05
1.318257E-04  2.033330E-05  1.812653E-05
1.330454E-04  2.054207E-05  1.821268E-05
1.342765E-04  2.075468E-05  1.837324E-05
1.355189E-04  2.097121E-05  1.852328E-05
1.367729E-04  2.119175E-05  1.878828E-05
1.380384E-04  2.142784E-05  1.893118E-05
1.393157E-04  2.165696E-05  1.923804E-05
1.406048E-04  2.189033E-05  1.956316E-05
1.419058E-04  2.212802E-05  1.984285E-05
1.432188E-04  2.237012E-05  1.997638E-05
1.445440E-04  2.362507E-05  2.059748E-05
1.458814E-04  2.388201E-05  2.088613E-05
1.472313E-04  2.414368E-05  2.125303E-05
1.485936E-04  2.441016E-05  2.159556E-05
1.499685E-04  2.393551E-05  2.108964E-05
1.513561E-04  2.419930E-05  2.136813E-05
1.527566E-04  2.446784E-05  2.167229E-05
1.541700E-04  2.579763E-05  2.200743E-05
1.555966E-04  2.608222E-05  2.249119E-05
1.570363E-04  2.637194E-05  2.236548E-05
1.584893E-04  2.666685E-05  2.255122E-05
1.599558E-04  2.696702E-05  2.339100E-05
1.614359E-04  2.727254E-05  2.329215E-05
1.629296E-04  2.758347E-05  2.388734E-05
1.644372E-04  2.789987E-05  2.364976E-05
1.659587E-04  2.822182E-05  2.380929E-05
1.674943E-04  2.854937E-05  2.425815E-05
1.690441E-04  2.888258E-05  2.449738E-05
1.706082E-04  2.922150E-05  2.454711E-05
1.721869E-04  2.956619E-05  2.475821E-05
1.737801E-04  2.991668E-05  2.429332E-05
1.753881E-04  3.027301E-05  2.516079E-05
1.770109E-04  3.063523E-05  2.556005E-05
1.786488E-04  3.100513E-05  2.578585E-05
1.803018E-04  3.138257E-05  2.635425E-05
1.819701E-04  3.176516E-05  2.642794E-05
1.836538E-04  3.215291E-05  2.663134E-05
1.853532E-04  3.266318E-05  2.701067E-05
1.870682E-04  3.326034E-05  2.761116E-05
1.887991E-04  3.387477E-05  2.808767E-05
1.905461E-04  3.327544E-05  2.759556E-05
1.923092E-04  3.391331E-05  2.800393E-05
1.940886E-04  3.503491E-05  2.875735E-05
1.958845E-04  3.561687E-05  2.927308E-05
1.976970E-04  3.585222E-05  2.938753E-05
1.995262E-04  3.608886E-05  2.895649E-05
2.013724E-04  3.632660E-05  2.942794E-05
2.032357E-04  3.786027E-05  3.086876E-05
2.051162E-04  3.810397E-05  3.073921E-05
2.070141E-04  3.835037E-05  3.121431E-05
2.089296E-04  3.777919E-05  3.060451E-05
2.108628E-04  3.853741E-05  3.134722E-05
2.128139E-04  3.940310E-05  3.146112E-05
2.147830E-04  3.903544E-05  3.156207E-05
2.167704E-04  3.958772E-05  3.203609E-05
2.187762E-04  3.985123E-05  3.248937E-05
2.208005E-04  4.147942E-05  3.325608E-05
2.228435E-04  4.176019E-05  3.369249E-05
2.249055E-04  4.204686E-05  3.403209E-05
2.269865E-04  4.233922E-05  3.432333E-05
2.290868E-04  4.273803E-05  3.461600E-05
2.312065E-04  4.337956E-05  3.527042E-05
2.333458E-04  4.402402E-05  3.555363E-05
2.355049E-04  4.467122E-05  3.596182E-05
2.376840E-04  4.532096E-05  3.636741E-05
2.398833E-04  4.599390E-05  3.665858E-05
2.421029E-04  4.664794E-05  3.753744E-05
2.443431E-04  4.730390E-05  3.816123E-05
2.466039E-04  4.796122E-05  3.875265E-05
2.488857E-04  4.856114E-05  3.852253E-05
2.511886E-04  4.916699E-05  3.890235E-05
2.535129E-04  5.002192E-05  3.947158E-05
2.558586E-04  5.063058E-05  4.009634E-05
2.582260E-04  5.126978E-05  4.042150E-05
2.606154E-04  5.193413E-05  4.020774E-05
2.630268E-04  5.259902E-05  4.118191E-05
2.654606E-04  5.319952E-05  4.145211E-05
2.679168E-04  5.386334E-05  4.164340E-05
2.703958E-04  5.452775E-05  4.188809E-05
2.728978E-04  5.519267E-05  4.225055E-05
2.754229E-04  5.585809E-05  4.273107E-05
2.779713E-04  5.658115E-05  4.317794E-05
2.805434E-04  5.756468E-05  4.504468E-05
2.831392E-04  5.691017E-05  4.445134E-05
2.857591E-04  5.787082E-05  4.440220E-05
2.884032E-04  5.892960E-05  4.489926E-05
2.910717E-04  5.987897E-05  4.666372E-05
2.937650E-04  6.082231E-05  4.764343E-05
2.964831E-04  6.175923E-05  4.720238E-05
2.992265E-04  6.268935E-05  4.850354E-05
3.019952E-04  6.352981E-05  4.915398E-05
3.047895E-04  6.444765E-05  4.931028E-05
3.076097E-04  6.362216E-05  4.921587E-05
3.104560E-04  6.451196E-05  4.992636E-05
3.133286E-04  6.539395E-05  5.057363E-05
3.162278E-04  6.610978E-05  5.134672E-05
3.191538E-04  6.682600E-05  5.148736E-05
3.221069E-04  6.754535E-05  5.184792E-05
3.250873E-04  7.070200E-05  5.382821E-05
3.280953E-04  7.154773E-05  5.422045E-05
3.311311E-04  7.117587E-05  5.453710E-05
3.341950E-04  7.178346E-05  5.483784E-05
3.372873E-04  7.238830E-05  5.499616E-05
3.404082E-04  7.299133E-05  5.518684E-05
3.435579E-04  7.359066E-05  5.620491E-05
3.467369E-04  7.705120E-05  5.727956E-05
3.499452E-04  7.782168E-05  5.800988E-05
3.531832E-04  7.726979E-05  5.752550E-05
3.564511E-04  7.786523E-05  5.867392E-05
3.597493E-04  7.979330E-05  6.004621E-05
3.630781E-04  8.104408E-05  5.993255E-05
3.664376E-04  8.241528E-05  6.115830E-05
3.698282E-04  8.323410E-05  6.182667E-05
3.732502E-04  8.418705E-05  6.203361E-05
3.767038E-04  8.379272E-05  6.225869E-05
3.801894E-04  8.537233E-05  6.306071E-05
3.837072E-04  8.679942E-05  6.420449E-05
3.872576E-04  8.809868E-05  6.486057E-05
3.908409E-04  8.928958E-05  6.568217E-05
3.944573E-04  9.038776E-05  6.587936E-05
3.981072E-04  9.140595E-05  6.683528E-05
4.017908E-04  9.235455E-05  6.668439E-05
4.055085E-04  9.324227E-05  6.745912E-05
4.092607E-04  9.407642E-05  6.839050E-05
4.130475E-04  9.486325E-05  7.053267E-05
4.168694E-04  9.560801E-05  7.093964E-05
4.207266E-04  9.981826E-05  7.358839E-05
4.246196E-04  9.981826E-05  7.257497E-05
4.285485E-04  9.981826E-05  7.207964E-05
4.325138E-04  1.020304E-04  7.295412E-05
4.365158E-04  1.020304E-04  7.463823E-05
4.405549E-04  1.042668E-04  7.617428E-05
4.446313E-04  1.042668E-04  7.619365E-05
4.487454E-04  1.084659E-04  7.836850E-05
4.528976E-04  1.092926E-04  7.815418E-05
4.570882E-04  1.101863E-04  7.841164E-05
