# NNPDF30 NNLO Q=1.000
# x  w(x)  delta_w(x)
1.000000E-04  7.653906E-05  1.057063E-04
1.009253E-04  7.704751E-05  1.066585E-04
1.018591E-04  7.756097E-05  1.072946E-04
1.028016E-04  7.807999E-05  1.081713E-04
1.037528E-04  7.727012E-05  1.091696E-04
1.047129E-04  7.766884E-05  1.095149E-04
1.056818E-04  7.887980E-05  1.099296E-04
1.066596E-04  7.980467E-05  1.107432E-04
1.076465E-04  8.065687E-05  1.113911E-04
1.086426E-04  8.135160E-05  1.119964E-04
1.096478E-04  8.243073E-05  1.122266E-04
1.106624E-04  8.297761E-05  1.126171E-04
1.116863E-04  8.357250E-05  1.136528E-04
1.127197E-04  8.421740E-05  1.145954E-04
1.137627E-04  8.529493E-05  1.149700E-04
1.148154E-04  8.440597E-05  1.162727E-04
1.158777E-04  8.544411E-05  1.168715E-04
1.169499E-04  8.641448E-05  1.170794E-04
1.180321E-04  8.732468E-05  1.175139E-04
1.191242E-04  8.818122E-05  1.183840E-04
1.202264E-04  8.899213E-05  1.193345E-04
1.213389E-04  8.975697E-05  1.197723E-04
1.224616E-04  9.048263E-05  1.207827E-04
1.235947E-04  9.117278E-05  1.216732E-04
1.247384E-04  9.183061E-05  1.219831E-04
1.258925E-04  9.245896E-05  1.227106E-04
1.270574E-04  9.306040E-05  1.236444E-04
1.282331E-04  9.363713E-05  1.242945E-04
1.294196E-04  9.419110E-05  1.249600E-04
1.306171E-04  9.472407E-05  1.258319E-04
1.318257E-04  9.523761E-05  1.268342E-04
1.330454E-04  9.573314E-05  1.276289E-04
1.342765E-04  9.617002E-05  1.285781E-04
1.355189E-04  9.981826E-05  1.283514E-04
1.367729E-04  9.981826E-05  1.295884E-04
1.380384E-04  9.981826E-05  1.302440E-04
1.393157E-04  1.020304E-04  1.305602E-04
1.406048E-04  1.020304E-04  1.315057E-04
1.419058E-04  1.020304E-04  1.328314E-04
1.432188E-04  1.042668E-04  1.328755E-04
1.445440E-04  1.042668E-04  1.339543E-04
1.458814E-04  1.042668E-04  1.351014E-04
1.472313E-04  1.081964E-04  1.349577E-04
1.485936E-04  1.087380E-04  1.357676E-04
1.499685E-04  1.093079E-04  1.366119E-04
1.513561E-04  1.099090E-04  1.373089E-04
1.527566E-04  1.105443E-04  1.384088E-04
1.541700E-04  1.112177E-04  1.394230E-04
1.555966E-04  1.119333E-04  1.406841E-04
1.570363E-04  1.126963E-04  1.412876E-04
1.584893E-04  1.135123E-04  1.420285E-04
1.599558E-04  1.143884E-04  1.427691E-04
1.614359E-04  1.153367E-04  1.436452E-04
