NNPDF30_nlo_as_0118	10.00 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb
1.000000E-04  2.126134E-02  1.664751E-02  8.864946E-01  8.559851E-01  7.903149E-01  4.602642E-01  -5.995097E-10  1.241138E+01  8.652333E-01  8.393376E-01  7.925161E-01  4.602642E-01  -3.882138E-09  4.868403E-03  5.495795E-03  5.489677E-02  9.299612E-02  2.306627E-01  3.124813E-02  3.960417E-08  1.406069E+00  5.438457E-02  9.294747E-02  2.306718E-01  3.124813E-02  3.735018E-08
1.009253E-04  2.134339E-02  1.670186E-02  8.850497E-01  8.545914E-01  7.887661E-01  4.592987E-01  -6.435353E-10  1.238856E+01  8.637063E-01  8.378895E-01  7.909738E-01  4.592987E-01  -3.890251E-09  4.874499E-03  5.505232E-03  5.475946E-02  9.267376E-02  2.301808E-01  3.107257E-02  3.988710E-08  1.397754E+00  5.424422E-02  9.262324E-02  2.301892E-01  3.107257E-02  3.752029E-08
1.018591E-04  2.142584E-02  1.675644E-02  8.836065E-01  8.531992E-01  7.872188E-01  4.583340E-01  -6.669279E-10  1.236567E+01  8.621807E-01  8.364428E-01  7.894331E-01  4.583340E-01  -3.895145E-09  4.880526E-03  5.514591E-03  5.462351E-02  9.235275E-02  2.296997E-01  3.089817E-02  4.006836E-08  1.389701E+00  5.410527E-02  9.230035E-02  2.297073E-01  3.089817E-02  3.760651E-08
1.028016E-04  2.150868E-02  1.681125E-02  8.821652E-01  8.518087E-01  7.856732E-01  4.573704E-01  -6.683803E-10  1.234273E+01  8.606565E-01  8.349975E-01  7.878939E-01  4.573704E-01  -3.896626E-09  4.886489E-03  5.523878E-03  5.448891E-02  9.203297E-02  2.292195E-01  3.072491E-02  4.014167E-08  1.381899E+00  5.396770E-02  9.197864E-02  2.292263E-01  3.072491E-02  3.760112E-08
1.037528E-04  2.159184E-02  1.686624E-02  8.807272E-01  8.504214E-01  7.841307E-01  4.564090E-01  -6.456595E-10  1.231988E+01  8.591354E-01  8.335552E-01  7.863579E-01  4.564090E-01  -3.894203E-09  4.892430E-03  5.533146E-03  5.435559E-02  9.171314E-02  2.287406E-01  3.055254E-02  4.011362E-08  1.374280E+00  5.383149E-02  9.165690E-02  2.287468E-01  3.055254E-02  3.750217E-08
1.047129E-04  2.167529E-02  1.692142E-02  8.792928E-01  8.490376E-01  7.825915E-01  4.554498E-01  -5.995158E-10  1.229712E+01  8.576175E-01  8.321161E-01  7.848253E-01  4.554498E-01  -3.887951E-09  4.898357E-03  5.542404E-03  5.422346E-02  9.139302E-02  2.282633E-01  3.038098E-02  3.999250E-08  1.366820E+00  5.369654E-02  9.133487E-02  2.282688E-01  3.038098E-02  3.731664E-08
1.056818E-04  2.175905E-02  1.697678E-02  8.778619E-01  8.476571E-01  7.810557E-01  4.544930E-01  -5.311775E-10  1.227447E+01  8.561028E-01  8.306803E-01  7.832960E-01  4.544930E-01  -3.878044E-09  4.904269E-03  5.551651E-03  5.409243E-02  9.107263E-02  2.277874E-01  3.021019E-02  3.978627E-08  1.359507E+00  5.356276E-02  9.101258E-02  2.277922E-01  3.021019E-02  3.705287E-08
1.066596E-04  2.184311E-02  1.703233E-02  8.764344E-01  8.462799E-01  7.795231E-01  4.535384E-01  -4.418732E-10  1.225191E+01  8.545913E-01  8.292476E-01  7.817700E-01  4.535384E-01  -3.864657E-09  4.910166E-03  5.560887E-03  5.396244E-02  9.075196E-02  2.273129E-01  3.004015E-02  3.950335E-08  1.352331E+00  5.343009E-02  9.069001E-02  2.273171E-01  3.004015E-02  3.671990E-08
1.076465E-04  2.192748E-02  1.708806E-02  8.750103E-01  8.449060E-01  7.779938E-01  4.525860E-01  -3.328312E-10  1.222945E+01  8.530828E-01  8.278179E-01  7.802472E-01  4.525860E-01  -3.847965E-09  4.916047E-03  5.570109E-03  5.383341E-02  9.043104E-02  2.268399E-01  2.987082E-02  3.915269E-08  1.345280E+00  5.329845E-02  9.036720E-02  2.268433E-01  2.987083E-02  3.632739E-08
1.086426E-04  2.201217E-02  1.714397E-02  8.735895E-01  8.435352E-01  7.764676E-01  4.516359E-01  -2.052801E-10  1.220708E+01  8.515773E-01  8.263913E-01  7.787275E-01  4.516359E-01  -3.828142E-09  4.921913E-03  5.579318E-03  5.370528E-02  9.010987E-02  2.263681E-01  2.970220E-02  3.874365E-08  1.338346E+00  5.316777E-02  9.004416E-02  2.263709E-01  2.970220E-02  3.588558E-08
