Q0 = 1.4 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	4.512E-02	2.708E-02	1.804E-02
1.500E-03	7.629E-02	4.553E-02	3.077E-02
2.500E-03	9.712E-02	5.775E-02	3.936E-02
3.500E-03	1.137E-01	6.743E-02	4.627E-02
4.500E-03	1.278E-01	7.560E-02	5.218E-02
5.500E-03	1.402E-01	8.276E-02	5.743E-02
6.500E-03	1.513E-01	8.916E-02	6.218E-02
7.500E-03	1.615E-01	9.498E-02	6.655E-02
8.500E-03	1.709E-01	1.003E-01	7.062E-02
9.500E-03	1.797E-01	1.053E-01	7.443E-02
1.050E-02	1.879E-01	1.099E-01	7.803E-02
1.150E-02	1.957E-01	1.143E-01	8.144E-02
1.250E-02	2.031E-01	1.184E-01	8.469E-02
1.350E-02	2.100E-01	1.222E-01	8.781E-02
1.450E-02	2.167E-01	1.259E-01	9.079E-02
1.550E-02	2.231E-01	1.294E-01	9.367E-02
1.650E-02	2.292E-01	1.328E-01	9.644E-02
1.750E-02	2.351E-01	1.359E-01	9.912E-02
1.850E-02	2.407E-01	1.390E-01	1.017E-01
1.950E-02	2.462E-01	1.419E-01	1.042E-01
2.050E-02	2.514E-01	1.448E-01	1.067E-01
2.150E-02	2.565E-01	1.475E-01	1.091E-01
2.250E-02	2.614E-01	1.501E-01	1.114E-01
2.350E-02	2.662E-01	1.526E-01	1.136E-01
2.450E-02	2.709E-01	1.550E-01	1.158E-01
2.550E-02	2.754E-01	1.574E-01	1.180E-01
2.650E-02	2.797E-01	1.596E-01	1.201E-01
2.750E-02	2.840E-01	1.618E-01	1.221E-01
2.850E-02	2.881E-01	1.640E-01	1.241E-01
2.950E-02	2.922E-01	1.660E-01	1.261E-01
3.050E-02	2.961E-01	1.680E-01	1.280E-01
3.150E-02	2.999E-01	1.700E-01	1.299E-01
3.250E-02	3.037E-01	1.719E-01	1.318E-01
3.350E-02	3.073E-01	1.737E-01	1.336E-01
3.450E-02	3.109E-01	1.755E-01	1.354E-01
3.550E-02	3.144E-01	1.772E-01	1.372E-01
3.650E-02	3.178E-01	1.789E-01	1.389E-01
3.750E-02	3.211E-01	1.805E-01	1.406E-01
3.850E-02	3.244E-01	1.821E-01	1.423E-01
3.950E-02	3.276E-01	1.836E-01	1.439E-01
4.050E-02	3.307E-01	1.851E-01	1.456E-01
4.150E-02	3.338E-01	1.866E-01	1.472E-01
4.250E-02	3.367E-01	1.880E-01	1.487E-01
4.350E-02	3.397E-01	1.894E-01	1.503E-01
4.450E-02	3.426E-01	1.907E-01	1.518E-01
4.550E-02	3.454E-01	1.921E-01	1.533E-01
