Q0 = 0.8 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	2.905E-02	-2.905E-02	5.810E-02
1.500E-03	4.784E-02	-4.784E-02	9.568E-02
2.500E-03	5.994E-02	-5.994E-02	1.199E-01
3.500E-03	6.933E-02	-6.933E-02	1.387E-01
4.500E-03	7.715E-02	-7.715E-02	1.543E-01
5.500E-03	8.391E-02	-8.391E-02	1.678E-01
6.500E-03	8.991E-02	-8.991E-02	1.798E-01
7.500E-03	9.531E-02	-9.531E-02	1.906E-01
8.500E-03	1.002E-01	-1.002E-01	2.005E-01
9.500E-03	1.048E-01	-1.048E-01	2.096E-01
1.050E-02	1.090E-01	-1.090E-01	2.180E-01
1.150E-02	1.129E-01	-1.129E-01	2.258E-01
1.250E-02	1.166E-01	-1.166E-01	2.332E-01
1.350E-02	1.201E-01	-1.201E-01	2.401E-01
1.450E-02	1.233E-01	-1.233E-01	2.467E-01
1.550E-02	1.265E-01	-1.265E-01	2.529E-01
1.650E-02	1.294E-01	-1.294E-01	2.588E-01
1.750E-02	1.322E-01	-1.322E-01	2.645E-01
1.850E-02	1.349E-01	-1.349E-01	2.698E-01
1.950E-02	1.375E-01	-1.375E-01	2.750E-01
2.050E-02	1.400E-01	-1.400E-01	2.799E-01
2.150E-02	1.423E-01	-1.423E-01	2.846E-01
2.250E-02	1.446E-01	-1.446E-01	2.892E-01
2.350E-02	1.468E-01	-1.468E-01	2.936E-01
2.450E-02	1.489E-01	-1.489E-01	2.978E-01
2.550E-02	1.509E-01	-1.509E-01	3.019E-01
2.650E-02	1.529E-01	-1.529E-01	3.058E-01
2.750E-02	1.548E-01	-1.548E-01	3.096E-01
2.850E-02	1.566E-01	-1.566E-01	3.133E-01
2.950E-02	1.584E-01	-1.584E-01	3.168E-01
3.050E-02	1.601E-01	-1.601E-01	3.202E-01
3.150E-02	1.618E-01	-1.618E-01	3.236E-01
3.250E-02	1.634E-01	-1.634E-01	3.268E-01
3.350E-02	1.650E-01	-1.650E-01	3.299E-01
3.450E-02	1.665E-01	-1.665E-01	3.330E-01
3.550E-02	1.680E-01	-1.680E-01	3.359E-01
3.650E-02	1.694E-01	-1.694E-01	3.388E-01
3.750E-02	1.708E-01	-1.708E-01	3.416E-01
3.850E-02	1.722E-01	-1.722E-01	3.443E-01
3.950E-02	1.735E-01	-1.735E-01	3.470E-01
4.050E-02	1.748E-01	-1.748E-01	3.495E-01
4.150E-02	1.760E-01	-1.760E-01	3.520E-01
4.250E-02	1.772E-01	-1.772E-01	3.545E-01
4.350E-02	1.784E-01	-1.784E-01	3.569E-01
4.450E-02	1.796E-01	-1.796E-01	3.592E-01
4.550E-02	1.807E-01	-1.807E-01	3.614E-01
4.650E-02	1.818E-01	-1.818E-01	3.636E-01
4.750E-02	1.829E-01	-1.829E-01	3.658E-01
4.850E-02	1.839E-01	-1.839E-01	3.679E-01
4.950E-02	1.850E-01	-1.850E-01	3.699E-01
5.050E-02	1.860E-01	-1.860E-01	3.719E-01
5.150E-02	1.869E-01	-1.869E-01	3.739E-01
5.250E-02	1.879E-01	-1.879E-01	3.758E-01
5.350E-02	1.888E-01	-1.888E-01	3.776E-01
5.450E-02	1.897E-01	-1.897E-01	3.794E-01
5.550E-02	1.906E-01	-1.906E-01	3.812E-01
5.650E-02	1.915E-01	-1.915E-01	3.829E-01
5.750E-02	1.923E-01	-1.923E-01	3.846E-01
5.850E-02	1.931E-01	-1.931E-01	3.863E-01
5.950E-02	1.939E-01	-1.939E-01	3.879E-01
6.050E-02	1.947E-01	-1.947E-01	3.895E-01
6.150E-02	1.955E-01	-1.955E-01	3.910E-01
6.250E-02	1.963E-01	-1.963E-01	3.925E-01
6.350E-02	1.970E-01	-1.970E-01	3.940E-01
6.450E-02	1.977E-01	-1.977E-01	3.954E-01
6.550E-02	1.984E-01	-1.984E-01	3.968E-01
6.650E-02	1.991E-01	-1.991E-01	3.982E-01
6.750E-02	1.998E-01	-1.998E-01	3.996E-01
6.850E-02	2.004E-01	-2.004E-01	4.009E-01
6.950E-02	2.011E-01	-2.011E-01	4.022E-01
7.050E-02	2.017E-01	-2.017E-01	4.034E-01
