Q0 = 1.6 GeV	 Q = 1.6 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	5.261E-02	3.416E-02	1.845E-02
1.500E-03	9.074E-02	5.875E-02	3.199E-02
2.500E-03	1.167E-01	7.532E-02	4.135E-02
3.500E-03	1.375E-01	8.849E-02	4.898E-02
4.500E-03	1.552E-01	9.963E-02	5.559E-02
5.500E-03	1.709E-01	1.094E-01	6.153E-02
6.500E-03	1.850E-01	1.181E-01	6.695E-02
7.500E-03	1.979E-01	1.259E-01	7.199E-02
8.500E-03	2.098E-01	1.331E-01	7.671E-02
9.500E-03	2.209E-01	1.398E-01	8.117E-02
1.050E-02	2.313E-01	1.459E-01	8.541E-02
1.150E-02	2.411E-01	1.516E-01	8.947E-02
1.250E-02	2.503E-01	1.570E-01	9.335E-02
1.350E-02	2.591E-01	1.620E-01	9.709E-02
1.450E-02	2.674E-01	1.667E-01	1.007E-01
1.550E-02	2.753E-01	1.711E-01	1.042E-01
1.650E-02	2.829E-01	1.753E-01	1.076E-01
1.750E-02	2.901E-01	1.793E-01	1.109E-01
1.850E-02	2.971E-01	1.830E-01	1.141E-01
1.950E-02	3.037E-01	1.866E-01	1.172E-01
2.050E-02	3.101E-01	1.899E-01	1.202E-01
2.150E-02	3.163E-01	1.931E-01	1.232E-01
2.250E-02	3.223E-01	1.962E-01	1.261E-01
2.350E-02	3.280E-01	1.991E-01	1.289E-01
2.450E-02	3.335E-01	2.018E-01	1.317E-01
2.550E-02	3.389E-01	2.045E-01	1.344E-01
2.650E-02	3.440E-01	2.070E-01	1.371E-01
2.750E-02	3.490E-01	2.093E-01	1.397E-01
2.850E-02	3.538E-01	2.116E-01	1.423E-01
2.950E-02	3.585E-01	2.137E-01	1.448E-01
3.050E-02	3.631E-01	2.158E-01	1.473E-01
3.150E-02	3.674E-01	2.178E-01	1.497E-01
3.250E-02	3.717E-01	2.196E-01	1.521E-01
3.350E-02	3.758E-01	2.214E-01	1.544E-01
3.450E-02	3.798E-01	2.231E-01	1.568E-01
3.550E-02	3.837E-01	2.247E-01	1.590E-01
3.650E-02	3.875E-01	2.262E-01	1.613E-01
3.750E-02	3.911E-01	2.276E-01	1.635E-01
3.850E-02	3.947E-01	2.290E-01	1.657E-01
3.950E-02	3.982E-01	2.303E-01	1.678E-01
4.050E-02	4.015E-01	2.315E-01	1.700E-01
4.150E-02	4.048E-01	2.327E-01	1.721E-01
4.250E-02	4.079E-01	2.338E-01	1.741E-01
4.350E-02	4.110E-01	2.349E-01	1.762E-01
4.450E-02	4.140E-01	2.359E-01	1.782E-01
4.550E-02	4.169E-01	2.368E-01	1.801E-01
4.650E-02	4.198E-01	2.377E-01	1.821E-01
4.750E-02	4.225E-01	2.385E-01	1.840E-01
4.850E-02	4.252E-01	2.393E-01	1.859E-01
4.950E-02	4.278E-01	2.400E-01	1.878E-01
