Q0 = 1.0 GeV	 Q = 1.0 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	2.654E-03	-2.654E-03	5.307E-03
1.009E-04	2.668E-03	-2.668E-03	5.337E-03
1.019E-04	2.683E-03	-2.683E-03	5.366E-03
1.028E-04	2.698E-03	-2.698E-03	5.396E-03
1.038E-04	2.713E-03	-2.713E-03	5.426E-03
1.047E-04	2.728E-03	-2.728E-03	5.456E-03
1.057E-04	2.743E-03	-2.743E-03	5.486E-03
1.067E-04	2.758E-03	-2.758E-03	5.517E-03
1.076E-04	2.774E-03	-2.774E-03	5.547E-03
1.086E-04	2.789E-03	-2.789E-03	5.578E-03
1.096E-04	2.805E-03	-2.805E-03	5.609E-03
1.107E-04	2.820E-03	-2.820E-03	5.640E-03
1.117E-04	2.836E-03	-2.836E-03	5.672E-03
1.127E-04	2.852E-03	-2.852E-03	5.703E-03
1.138E-04	2.867E-03	-2.867E-03	5.735E-03
1.148E-04	2.883E-03	-2.883E-03	5.767E-03
1.159E-04	2.899E-03	-2.899E-03	5.799E-03
1.169E-04	2.915E-03	-2.915E-03	5.831E-03
1.180E-04	2.932E-03	-2.932E-03	5.863E-03
1.191E-04	2.948E-03	-2.948E-03	5.896E-03
1.202E-04	2.964E-03	-2.964E-03	5.929E-03
1.213E-04	2.981E-03	-2.981E-03	5.962E-03
1.225E-04	2.997E-03	-2.997E-03	5.995E-03
1.236E-04	3.014E-03	-3.014E-03	6.028E-03
1.247E-04	3.031E-03	-3.031E-03	6.062E-03
1.259E-04	3.048E-03	-3.048E-03	6.095E-03
1.271E-04	3.065E-03	-3.065E-03	6.129E-03
1.282E-04	3.082E-03	-3.082E-03	6.163E-03
1.294E-04	3.099E-03	-3.099E-03	6.197E-03
1.306E-04	3.116E-03	-3.116E-03	6.232E-03
1.318E-04	3.133E-03	-3.133E-03	6.266E-03
1.330E-04	3.151E-03	-3.151E-03	6.301E-03
1.343E-04	3.168E-03	-3.168E-03	6.336E-03
1.355E-04	3.186E-03	-3.186E-03	6.371E-03
1.368E-04	3.203E-03	-3.203E-03	6.407E-03
1.380E-04	3.221E-03	-3.221E-03	6.442E-03
1.393E-04	3.239E-03	-3.239E-03	6.478E-03
1.406E-04	3.257E-03	-3.257E-03	6.514E-03
1.419E-04	3.275E-03	-3.275E-03	6.550E-03
