Q0 = 0.9 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	2.857E-03	-2.857E-03	5.714E-03
1.009E-04	2.875E-03	-2.875E-03	5.749E-03
1.019E-04	2.892E-03	-2.892E-03	5.785E-03
1.028E-04	2.910E-03	-2.910E-03	5.821E-03
1.038E-04	2.928E-03	-2.928E-03	5.857E-03
1.047E-04	2.947E-03	-2.947E-03	5.893E-03
1.057E-04	2.965E-03	-2.965E-03	5.930E-03
1.067E-04	2.983E-03	-2.983E-03	5.966E-03
1.076E-04	3.002E-03	-3.002E-03	6.003E-03
1.086E-04	3.020E-03	-3.020E-03	6.041E-03
1.096E-04	3.039E-03	-3.039E-03	6.078E-03
1.107E-04	3.058E-03	-3.058E-03	6.116E-03
1.117E-04	3.077E-03	-3.077E-03	6.154E-03
1.127E-04	3.096E-03	-3.096E-03	6.192E-03
1.138E-04	3.115E-03	-3.115E-03	6.230E-03
1.148E-04	3.134E-03	-3.134E-03	6.269E-03
1.159E-04	3.154E-03	-3.154E-03	6.307E-03
1.169E-04	3.173E-03	-3.173E-03	6.346E-03
1.180E-04	3.193E-03	-3.193E-03	6.386E-03
1.191E-04	3.213E-03	-3.213E-03	6.425E-03
1.202E-04	3.233E-03	-3.233E-03	6.465E-03
1.213E-04	3.253E-03	-3.253E-03	6.505E-03
1.225E-04	3.273E-03	-3.273E-03	6.545E-03
1.236E-04	3.293E-03	-3.293E-03	6.586E-03
1.247E-04	3.313E-03	-3.313E-03	6.627E-03
1.259E-04	3.334E-03	-3.334E-03	6.668E-03
1.271E-04	3.355E-03	-3.355E-03	6.709E-03
1.282E-04	3.375E-03	-3.375E-03	6.751E-03
1.294E-04	3.396E-03	-3.396E-03	6.792E-03
1.306E-04	3.417E-03	-3.417E-03	6.834E-03
1.318E-04	3.438E-03	-3.438E-03	6.877E-03
1.330E-04	3.460E-03	-3.460E-03	6.919E-03
1.343E-04	3.481E-03	-3.481E-03	6.962E-03
1.355E-04	3.503E-03	-3.503E-03	7.005E-03
