Q0 = 0.7 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	3.936E-03	-3.936E-03	7.872E-03
1.500E-03	8.817E-03	-8.817E-03	1.763E-02
2.500E-03	1.291E-02	-1.291E-02	2.582E-02
3.500E-03	1.665E-02	-1.665E-02	3.330E-02
4.500E-03	2.016E-02	-2.016E-02	4.033E-02
5.500E-03	2.352E-02	-2.352E-02	4.704E-02
6.500E-03	2.676E-02	-2.676E-02	5.351E-02
7.500E-03	2.990E-02	-2.990E-02	5.979E-02
8.500E-03	3.296E-02	-3.296E-02	6.592E-02
9.500E-03	3.595E-02	-3.595E-02	7.190E-02
1.050E-02	3.889E-02	-3.889E-02	7.777E-02
1.150E-02	4.177E-02	-4.177E-02	8.354E-02
1.250E-02	4.461E-02	-4.461E-02	8.921E-02
1.350E-02	4.740E-02	-4.740E-02	9.481E-02
1.450E-02	5.016E-02	-5.016E-02	1.003E-01
1.550E-02	5.288E-02	-5.288E-02	1.058E-01
1.650E-02	5.557E-02	-5.557E-02	1.111E-01
1.750E-02	5.824E-02	-5.824E-02	1.165E-01
1.850E-02	6.087E-02	-6.087E-02	1.217E-01
1.950E-02	6.347E-02	-6.347E-02	1.269E-01
2.050E-02	6.606E-02	-6.606E-02	1.321E-01
2.150E-02	6.861E-02	-6.861E-02	1.372E-01
2.250E-02	7.115E-02	-7.115E-02	1.423E-01
2.350E-02	7.366E-02	-7.366E-02	1.473E-01
2.450E-02	7.615E-02	-7.615E-02	1.523E-01
2.550E-02	7.863E-02	-7.863E-02	1.573E-01
2.650E-02	8.108E-02	-8.108E-02	1.622E-01
2.750E-02	8.352E-02	-8.352E-02	1.670E-01
2.850E-02	8.594E-02	-8.594E-02	1.719E-01
2.950E-02	8.834E-02	-8.834E-02	1.767E-01
3.050E-02	9.072E-02	-9.072E-02	1.814E-01
3.150E-02	9.309E-02	-9.309E-02	1.862E-01
