Q0 = 0.9 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	6.989E-03	-6.989E-03	1.398E-02
1.009E-04	7.021E-03	-7.021E-03	1.404E-02
1.019E-04	7.053E-03	-7.053E-03	1.411E-02
1.028E-04	7.085E-03	-7.085E-03	1.417E-02
1.038E-04	7.118E-03	-7.118E-03	1.424E-02
1.047E-04	7.150E-03	-7.150E-03	1.430E-02
1.057E-04	7.183E-03	-7.183E-03	1.437E-02
1.067E-04	7.216E-03	-7.216E-03	1.443E-02
1.076E-04	7.249E-03	-7.249E-03	1.450E-02
1.086E-04	7.282E-03	-7.282E-03	1.456E-02
1.096E-04	7.315E-03	-7.315E-03	1.463E-02
1.107E-04	7.348E-03	-7.348E-03	1.470E-02
1.117E-04	7.382E-03	-7.382E-03	1.476E-02
1.127E-04	7.416E-03	-7.416E-03	1.483E-02
1.138E-04	7.449E-03	-7.449E-03	1.490E-02
1.148E-04	7.483E-03	-7.483E-03	1.497E-02
1.159E-04	7.518E-03	-7.518E-03	1.504E-02
1.169E-04	7.552E-03	-7.552E-03	1.510E-02
1.180E-04	7.586E-03	-7.586E-03	1.517E-02
1.191E-04	7.621E-03	-7.621E-03	1.524E-02
1.202E-04	7.656E-03	-7.656E-03	1.531E-02
1.213E-04	7.691E-03	-7.691E-03	1.538E-02
1.225E-04	7.726E-03	-7.726E-03	1.545E-02
1.236E-04	7.761E-03	-7.761E-03	1.552E-02
1.247E-04	7.796E-03	-7.796E-03	1.559E-02
1.259E-04	7.832E-03	-7.832E-03	1.566E-02
1.271E-04	7.868E-03	-7.868E-03	1.574E-02
1.282E-04	7.904E-03	-7.904E-03	1.581E-02
1.294E-04	7.940E-03	-7.940E-03	1.588E-02
1.306E-04	7.976E-03	-7.976E-03	1.595E-02
1.318E-04	8.012E-03	-8.012E-03	1.602E-02
1.330E-04	8.049E-03	-8.049E-03	1.610E-02
1.343E-04	8.085E-03	-8.085E-03	1.617E-02
1.355E-04	8.122E-03	-8.122E-03	1.624E-02
1.368E-04	8.159E-03	-8.159E-03	1.632E-02
