Q0 = 0.5 GeV	 Q = 0.5 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	3.925E-03	-3.925E-03	7.849E-03
1.009E-04	3.943E-03	-3.943E-03	7.885E-03
1.019E-04	3.961E-03	-3.961E-03	7.922E-03
1.028E-04	3.979E-03	-3.979E-03	7.958E-03
1.038E-04	3.998E-03	-3.998E-03	7.995E-03
1.047E-04	4.016E-03	-4.016E-03	8.032E-03
1.057E-04	4.035E-03	-4.035E-03	8.069E-03
1.067E-04	4.053E-03	-4.053E-03	8.106E-03
1.076E-04	4.072E-03	-4.072E-03	8.144E-03
1.086E-04	4.091E-03	-4.091E-03	8.182E-03
1.096E-04	4.110E-03	-4.110E-03	8.219E-03
1.107E-04	4.129E-03	-4.129E-03	8.257E-03
1.117E-04	4.148E-03	-4.148E-03	8.296E-03
1.127E-04	4.167E-03	-4.167E-03	8.334E-03
1.138E-04	4.186E-03	-4.186E-03	8.372E-03
1.148E-04	4.206E-03	-4.206E-03	8.411E-03
1.159E-04	4.225E-03	-4.225E-03	8.450E-03
1.169E-04	4.245E-03	-4.245E-03	8.489E-03
1.180E-04	4.264E-03	-4.264E-03	8.528E-03
1.191E-04	4.284E-03	-4.284E-03	8.568E-03
1.202E-04	4.304E-03	-4.304E-03	8.607E-03
1.213E-04	4.324E-03	-4.324E-03	8.647E-03
1.225E-04	4.344E-03	-4.344E-03	8.687E-03
1.236E-04	4.364E-03	-4.364E-03	8.727E-03
1.247E-04	4.384E-03	-4.384E-03	8.768E-03
1.259E-04	4.404E-03	-4.404E-03	8.808E-03
1.271E-04	4.424E-03	-4.424E-03	8.849E-03
1.282E-04	4.445E-03	-4.445E-03	8.890E-03
1.294E-04	4.465E-03	-4.465E-03	8.931E-03
1.306E-04	4.486E-03	-4.486E-03	8.972E-03
1.318E-04	4.507E-03	-4.507E-03	9.014E-03
1.330E-04	4.528E-03	-4.528E-03	9.055E-03
1.343E-04	4.549E-03	-4.549E-03	9.097E-03
1.355E-04	4.570E-03	-4.570E-03	9.139E-03
1.368E-04	4.591E-03	-4.591E-03	9.181E-03
1.380E-04	4.612E-03	-4.612E-03	9.224E-03
1.393E-04	4.633E-03	-4.633E-03	9.266E-03
1.406E-04	4.655E-03	-4.655E-03	9.309E-03
1.419E-04	4.676E-03	-4.676E-03	9.352E-03
1.432E-04	4.698E-03	-4.698E-03	9.396E-03
1.445E-04	4.720E-03	-4.720E-03	9.439E-03
1.459E-04	4.741E-03	-4.741E-03	9.483E-03
1.472E-04	4.763E-03	-4.763E-03	9.526E-03
1.486E-04	4.785E-03	-4.785E-03	9.571E-03
1.500E-04	4.807E-03	-4.807E-03	9.615E-03
1.514E-04	4.830E-03	-4.830E-03	9.659E-03
1.528E-04	4.852E-03	-4.852E-03	9.704E-03
1.542E-04	4.874E-03	-4.874E-03	9.749E-03
1.556E-04	4.897E-03	-4.897E-03	9.794E-03
1.570E-04	4.920E-03	-4.920E-03	9.839E-03
1.585E-04	4.942E-03	-4.942E-03	9.885E-03
1.600E-04	4.965E-03	-4.965E-03	9.930E-03
1.614E-04	4.988E-03	-4.988E-03	9.976E-03
1.629E-04	5.011E-03	-5.011E-03	1.002E-02
1.644E-04	5.034E-03	-5.034E-03	1.007E-02
1.660E-04	5.058E-03	-5.058E-03	1.012E-02
1.675E-04	5.081E-03	-5.081E-03	1.016E-02
1.690E-04	5.105E-03	-5.105E-03	1.021E-02
1.706E-04	5.128E-03	-5.128E-03	1.026E-02
1.722E-04	5.152E-03	-5.152E-03	1.030E-02
1.738E-04	5.176E-03	-5.176E-03	1.035E-02
1.754E-04	5.200E-03	-5.200E-03	1.040E-02
1.770E-04	5.224E-03	-5.224E-03	1.045E-02
1.786E-04	5.248E-03	-5.248E-03	1.050E-02
1.803E-04	5.272E-03	-5.272E-03	1.054E-02
1.820E-04	5.297E-03	-5.297E-03	1.059E-02
1.837E-04	5.321E-03	-5.321E-03	1.064E-02
1.854E-04	5.346E-03	-5.346E-03	1.069E-02
1.871E-04	5.370E-03	-5.370E-03	1.074E-02
1.888E-04	5.395E-03	-5.395E-03	1.079E-02
1.905E-04	5.420E-03	-5.420E-03	1.084E-02
1.923E-04	5.445E-03	-5.445E-03	1.089E-02
1.941E-04	5.470E-03	-5.470E-03	1.094E-02
1.959E-04	5.496E-03	-5.496E-03	1.099E-02
1.977E-04	5.521E-03	-5.521E-03	1.104E-02
1.995E-04	5.547E-03	-5.547E-03	1.109E-02
2.014E-04	5.572E-03	-5.572E-03	1.114E-02
2.032E-04	5.598E-03	-5.598E-03	1.120E-02
2.051E-04	5.624E-03	-5.624E-03	1.125E-02
2.070E-04	5.650E-03	-5.650E-03	1.130E-02
2.089E-04	5.676E-03	-5.676E-03	1.135E-02
2.109E-04	5.702E-03	-5.702E-03	1.140E-02
