pion new parametrization Q=10GeV
x	xf	dfmin	dfmax
1.000000E-04	4.112372E-03	3.665983E-04	4.446446E-04
1.072267E-04	4.302038E-03	3.798022E-04	4.598206E-04
1.149757E-04	4.500301E-03	3.932868E-04	4.756350E-04
1.232847E-04	4.707543E-03	4.071908E-04	4.919210E-04
1.321941E-04	4.924160E-03	4.216387E-04	5.085326E-04
1.417474E-04	5.150567E-03	4.365280E-04	5.256316E-04
1.519911E-04	5.387196E-03	4.519277E-04	5.431469E-04
1.629751E-04	5.634496E-03	4.676175E-04	5.613967E-04
1.747528E-04	5.892937E-03	4.837737E-04	5.801648E-04
1.873817E-04	6.163009E-03	5.002179E-04	5.997113E-04
2.009233E-04	6.445220E-03	5.176909E-04	6.190631E-04
2.154435E-04	6.740103E-03	5.354828E-04	6.391933E-04
2.310130E-04	7.048210E-03	5.536037E-04	6.601049E-04
2.477076E-04	7.370119E-03	5.723325E-04	6.814446E-04
2.656088E-04	7.706430E-03	5.918586E-04	7.029800E-04
2.848036E-04	8.057769E-03	6.118116E-04	7.252191E-04
3.053856E-04	8.424787E-03	6.320392E-04	7.483755E-04
3.274549E-04	8.808164E-03	6.529960E-04	7.718645E-04
3.511192E-04	9.208605E-03	6.745208E-04	7.959111E-04
3.764936E-04	9.626847E-03	6.963929E-04	8.208141E-04
4.037017E-04	1.006365E-02	7.188191E-04	8.463116E-04
4.328761E-04	1.051982E-02	7.419023E-04	8.722769E-04
4.641589E-04	1.099619E-02	7.657233E-04	8.986107E-04
4.977024E-04	1.149360E-02	7.900312E-04	9.256424E-04
5.336699E-04	1.201297E-02	8.149854E-04	9.531656E-04
5.722368E-04	1.255522E-02	8.408447E-04	9.808467E-04
6.135907E-04	1.312132E-02	8.663597E-04	1.010284E-03
6.579332E-04	1.371229E-02	8.925235E-04	1.040194E-03
7.054802E-04	1.432917E-02	9.197385E-04	1.070046E-03
7.564633E-04	1.497304E-02	9.475247E-04	1.100445E-03
8.111308E-04	1.564505E-02	9.757172E-04	1.131579E-03
8.697490E-04	1.634637E-02	1.003796E-03	1.164087E-03
9.326033E-04	1.707820E-02	1.032734E-03	1.196699E-03
1.000000E-03	1.784183E-02	1.062879E-03	1.228941E-03
1.072267E-03	1.863857E-02	1.093180E-03	1.262112E-03
1.149757E-03	1.946978E-02	1.124233E-03	1.295413E-03
1.232847E-03	2.033687E-02	1.155325E-03	1.329695E-03
1.321941E-03	2.124131E-02	1.188083E-03	1.362849E-03
1.417474E-03	2.218462E-02	1.220832E-03	1.396928E-03
1.519911E-03	2.316837E-02	1.253215E-03	1.432297E-03
1.629751E-03	2.419420E-02	1.286642E-03	1.467119E-03
1.747528E-03	2.526379E-02	1.319715E-03	1.503044E-03
1.873817E-03	2.637889E-02	1.352569E-03	1.539808E-03
2.009233E-03	2.754131E-02	1.386478E-03	1.575726E-03
