pion new parametrization Q=3.16GeV
x	xf	dfmin	dfmax
1.000000E-04	2.907380E-03	3.080181E-04	3.776758E-04
1.072267E-04	3.046446E-03	3.196321E-04	3.914634E-04
1.149757E-04	3.192102E-03	3.316897E-04	4.056402E-04
1.232847E-04	3.344657E-03	3.443641E-04	4.199952E-04
1.321941E-04	3.504432E-03	3.573420E-04	4.349879E-04
1.417474E-04	3.671766E-03	3.707295E-04	4.504992E-04
1.519911E-04	3.847012E-03	3.844619E-04	4.666444E-04
1.629751E-04	4.030540E-03	3.986487E-04	4.833018E-04
1.747528E-04	4.222734E-03	4.135210E-04	5.001852E-04
1.873817E-04	4.424001E-03	4.288902E-04	5.175803E-04
2.009233E-04	4.634761E-03	4.446427E-04	5.356681E-04
2.154435E-04	4.855457E-03	4.607842E-04	5.544669E-04
2.310130E-04	5.086551E-03	4.774389E-04	5.738372E-04
2.477076E-04	5.328525E-03	4.946184E-04	5.937906E-04
2.656088E-04	5.581885E-03	5.124743E-04	6.141512E-04
2.848036E-04	5.847158E-03	5.307427E-04	6.352991E-04
3.053856E-04	6.124897E-03	5.495701E-04	6.570640E-04
3.274549E-04	6.415677E-03	5.687587E-04	6.797354E-04
3.511192E-04	6.720102E-03	5.887299E-04	7.027760E-04
3.764936E-04	7.038802E-03	6.097217E-04	7.258945E-04
4.037017E-04	7.372434E-03	6.309005E-04	7.502227E-04
4.328761E-04	7.721687E-03	6.529083E-04	7.749302E-04
4.641589E-04	8.087279E-03	6.755116E-04	8.003477E-04
4.977024E-04	8.469962E-03	6.992198E-04	8.258266E-04
5.336699E-04	8.870519E-03	7.231325E-04	8.525657E-04
5.722368E-04	9.289769E-03	7.477651E-04	8.799050E-04
6.135907E-04	9.728568E-03	7.732632E-04	9.076713E-04
6.579332E-04	1.018781E-02	7.989779E-04	9.367152E-04
7.054802E-04	1.066843E-02	8.253495E-04	9.664753E-04
7.564633E-04	1.117139E-02	8.527122E-04	9.965288E-04
8.111308E-04	1.169772E-02	8.803131E-04	1.027848E-03
8.697490E-04	1.224848E-02	9.087058E-04	1.059721E-03
9.326033E-04	1.282477E-02	9.387068E-04	1.091104E-03
1.000000E-03	1.342774E-02	9.689638E-04	1.123722E-03
1.072267E-03	1.405861E-02	9.992481E-04	1.157847E-03
1.149757E-03	1.471863E-02	1.030362E-03	1.192446E-03
1.232847E-03	1.540912E-02	1.062134E-03	1.227716E-03
1.321941E-03	1.613143E-02	1.095166E-03	1.262875E-03
1.417474E-03	1.688699E-02	1.128245E-03	1.299420E-03
1.519911E-03	1.767729E-02	1.162809E-03	1.335508E-03
1.629751E-03	1.850387E-02	1.197291E-03	1.373062E-03
1.747528E-03	1.936835E-02	1.231258E-03	1.412565E-03
1.873817E-03	2.027240E-02	1.266245E-03	1.452046E-03
2.009233E-03	2.121778E-02	1.302040E-03	1.491699E-03
2.154435E-03	2.220630E-02	1.339198E-03	1.530758E-03
2.310130E-03	2.323985E-02	1.376595E-03	1.570548E-03
2.477076E-03	2.432041E-02	1.414511E-03	1.610621E-03
2.656088E-03	2.545002E-02	1.453465E-03	1.650237E-03
2.848036E-03	2.663081E-02	1.491687E-03	1.691462E-03
