Q0 = 0.5 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	3.111E-02	-3.111E-02	6.222E-02
1.500E-03	4.952E-02	-4.952E-02	9.904E-02
2.500E-03	6.099E-02	-6.099E-02	1.220E-01
3.500E-03	6.972E-02	-6.972E-02	1.394E-01
4.500E-03	7.689E-02	-7.689E-02	1.538E-01
5.500E-03	8.303E-02	-8.303E-02	1.661E-01
6.500E-03	8.843E-02	-8.843E-02	1.769E-01
7.500E-03	9.326E-02	-9.326E-02	1.865E-01
8.500E-03	9.765E-02	-9.765E-02	1.953E-01
9.500E-03	1.017E-01	-1.017E-01	2.033E-01
1.050E-02	1.054E-01	-1.054E-01	2.107E-01
1.150E-02	1.088E-01	-1.088E-01	2.176E-01
1.250E-02	1.120E-01	-1.120E-01	2.241E-01
1.350E-02	1.151E-01	-1.151E-01	2.301E-01
1.450E-02	1.179E-01	-1.179E-01	2.359E-01
1.550E-02	1.206E-01	-1.206E-01	2.413E-01
1.650E-02	1.232E-01	-1.232E-01	2.464E-01
1.750E-02	1.256E-01	-1.256E-01	2.513E-01
1.850E-02	1.280E-01	-1.280E-01	2.559E-01
1.950E-02	1.302E-01	-1.302E-01	2.604E-01
2.050E-02	1.323E-01	-1.323E-01	2.646E-01
2.150E-02	1.343E-01	-1.343E-01	2.687E-01
2.250E-02	1.363E-01	-1.363E-01	2.726E-01
2.350E-02	1.382E-01	-1.382E-01	2.764E-01
2.450E-02	1.400E-01	-1.400E-01	2.800E-01
2.550E-02	1.418E-01	-1.418E-01	2.835E-01
2.650E-02	1.434E-01	-1.434E-01	2.869E-01
2.750E-02	1.451E-01	-1.451E-01	2.901E-01
2.850E-02	1.466E-01	-1.466E-01	2.933E-01
2.950E-02	1.482E-01	-1.482E-01	2.963E-01
3.050E-02	1.497E-01	-1.497E-01	2.993E-01
3.150E-02	1.511E-01	-1.511E-01	3.022E-01
3.250E-02	1.525E-01	-1.525E-01	3.050E-01
3.350E-02	1.538E-01	-1.538E-01	3.077E-01
3.450E-02	1.551E-01	-1.551E-01	3.103E-01
3.550E-02	1.564E-01	-1.564E-01	3.128E-01
3.650E-02	1.577E-01	-1.577E-01	3.153E-01
3.750E-02	1.589E-01	-1.589E-01	3.177E-01
3.850E-02	1.600E-01	-1.600E-01	3.201E-01
3.950E-02	1.612E-01	-1.612E-01	3.223E-01
4.050E-02	1.623E-01	-1.623E-01	3.246E-01
4.150E-02	1.634E-01	-1.634E-01	3.267E-01
4.250E-02	1.644E-01	-1.644E-01	3.289E-01
4.350E-02	1.655E-01	-1.655E-01	3.309E-01
4.450E-02	1.665E-01	-1.665E-01	3.329E-01
4.550E-02	1.675E-01	-1.675E-01	3.349E-01
4.650E-02	1.684E-01	-1.684E-01	3.368E-01
4.750E-02	1.694E-01	-1.694E-01	3.387E-01
4.850E-02	1.703E-01	-1.703E-01	3.405E-01
4.950E-02	1.712E-01	-1.712E-01	3.423E-01
5.050E-02	1.720E-01	-1.720E-01	3.441E-01
5.150E-02	1.729E-01	-1.729E-01	3.458E-01
5.250E-02	1.737E-01	-1.737E-01	3.475E-01
5.350E-02	1.745E-01	-1.745E-01	3.491E-01
5.450E-02	1.753E-01	-1.753E-01	3.507E-01
5.550E-02	1.761E-01	-1.761E-01	3.523E-01
5.650E-02	1.769E-01	-1.769E-01	3.538E-01
5.750E-02	1.777E-01	-1.777E-01	3.553E-01
5.850E-02	1.784E-01	-1.784E-01	3.568E-01
5.950E-02	1.791E-01	-1.791E-01	3.582E-01
6.050E-02	1.798E-01	-1.798E-01	3.596E-01
6.150E-02	1.805E-01	-1.805E-01	3.610E-01
6.250E-02	1.812E-01	-1.812E-01	3.624E-01
6.350E-02	1.818E-01	-1.818E-01	3.637E-01
6.450E-02	1.825E-01	-1.825E-01	3.650E-01
6.550E-02	1.831E-01	-1.831E-01	3.663E-01
6.650E-02	1.838E-01	-1.838E-01	3.675E-01
6.750E-02	1.844E-01	-1.844E-01	3.688E-01
6.850E-02	1.850E-01	-1.850E-01	3.700E-01
6.950E-02	1.856E-01	-1.856E-01	3.711E-01
7.050E-02	1.861E-01	-1.861E-01	3.723E-01
7.150E-02	1.867E-01	-1.867E-01	3.734E-01
7.250E-02	1.873E-01	-1.873E-01	3.745E-01
7.350E-02	1.878E-01	-1.878E-01	3.756E-01
7.450E-02	1.884E-01	-1.884E-01	3.767E-01
7.550E-02	1.889E-01	-1.889E-01	3.778E-01
