Q0 = 0.9 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	6.887E-03	-6.887E-03	1.377E-02
1.009E-04	6.918E-03	-6.918E-03	1.384E-02
1.019E-04	6.950E-03	-6.950E-03	1.390E-02
1.028E-04	6.982E-03	-6.982E-03	1.396E-02
1.038E-04	7.014E-03	-7.014E-03	1.403E-02
1.047E-04	7.046E-03	-7.046E-03	1.409E-02
1.057E-04	7.078E-03	-7.078E-03	1.416E-02
1.067E-04	7.111E-03	-7.111E-03	1.422E-02
1.076E-04	7.143E-03	-7.143E-03	1.429E-02
1.086E-04	7.176E-03	-7.176E-03	1.435E-02
1.096E-04	7.209E-03	-7.209E-03	1.442E-02
1.107E-04	7.242E-03	-7.242E-03	1.448E-02
1.117E-04	7.275E-03	-7.275E-03	1.455E-02
1.127E-04	7.309E-03	-7.309E-03	1.462E-02
1.138E-04	7.342E-03	-7.342E-03	1.468E-02
1.148E-04	7.376E-03	-7.376E-03	1.475E-02
1.159E-04	7.410E-03	-7.410E-03	1.482E-02
1.169E-04	7.444E-03	-7.444E-03	1.489E-02
1.180E-04	7.478E-03	-7.478E-03	1.496E-02
1.191E-04	7.512E-03	-7.512E-03	1.502E-02
1.202E-04	7.547E-03	-7.547E-03	1.509E-02
1.213E-04	7.581E-03	-7.581E-03	1.516E-02
1.225E-04	7.616E-03	-7.616E-03	1.523E-02
1.236E-04	7.651E-03	-7.651E-03	1.530E-02
1.247E-04	7.686E-03	-7.686E-03	1.537E-02
1.259E-04	7.721E-03	-7.721E-03	1.544E-02
1.271E-04	7.757E-03	-7.757E-03	1.551E-02
1.282E-04	7.792E-03	-7.792E-03	1.558E-02
1.294E-04	7.828E-03	-7.828E-03	1.566E-02
1.306E-04	7.864E-03	-7.864E-03	1.573E-02
1.318E-04	7.900E-03	-7.900E-03	1.580E-02
1.330E-04	7.936E-03	-7.936E-03	1.587E-02
1.343E-04	7.972E-03	-7.972E-03	1.594E-02
1.355E-04	8.009E-03	-8.009E-03	1.602E-02
1.368E-04	8.046E-03	-8.046E-03	1.609E-02
1.380E-04	8.083E-03	-8.083E-03	1.617E-02
1.393E-04	8.120E-03	-8.120E-03	1.624E-02
1.406E-04	8.157E-03	-8.157E-03	1.631E-02
1.419E-04	8.194E-03	-8.194E-03	1.639E-02
1.432E-04	8.232E-03	-8.232E-03	1.646E-02
1.445E-04	8.270E-03	-8.270E-03	1.654E-02
1.459E-04	8.308E-03	-8.308E-03	1.662E-02
1.472E-04	8.346E-03	-8.346E-03	1.669E-02
1.486E-04	8.384E-03	-8.384E-03	1.677E-02
1.500E-04	8.422E-03	-8.422E-03	1.684E-02
1.514E-04	8.461E-03	-8.461E-03	1.692E-02
1.528E-04	8.500E-03	-8.500E-03	1.700E-02
1.542E-04	8.539E-03	-8.539E-03	1.708E-02
1.556E-04	8.578E-03	-8.578E-03	1.716E-02
1.570E-04	8.617E-03	-8.617E-03	1.723E-02
1.585E-04	8.657E-03	-8.657E-03	1.731E-02
1.600E-04	8.697E-03	-8.697E-03	1.739E-02
1.614E-04	8.736E-03	-8.736E-03	1.747E-02
1.629E-04	8.776E-03	-8.776E-03	1.755E-02
1.644E-04	8.817E-03	-8.817E-03	1.763E-02
1.660E-04	8.857E-03	-8.857E-03	1.771E-02
1.675E-04	8.898E-03	-8.898E-03	1.780E-02
1.690E-04	8.939E-03	-8.939E-03	1.788E-02
1.706E-04	8.980E-03	-8.980E-03	1.796E-02
1.722E-04	9.021E-03	-9.021E-03	1.804E-02
1.738E-04	9.062E-03	-9.062E-03	1.812E-02
1.754E-04	9.104E-03	-9.104E-03	1.821E-02
1.770E-04	9.145E-03	-9.145E-03	1.829E-02
1.786E-04	9.187E-03	-9.187E-03	1.837E-02
1.803E-04	9.229E-03	-9.229E-03	1.846E-02
1.820E-04	9.272E-03	-9.272E-03	1.854E-02
1.837E-04	9.314E-03	-9.314E-03	1.863E-02
1.854E-04	9.357E-03	-9.357E-03	1.871E-02
1.871E-04	9.400E-03	-9.400E-03	1.880E-02
1.888E-04	9.443E-03	-9.443E-03	1.889E-02
1.905E-04	9.486E-03	-9.486E-03	1.897E-02
1.923E-04	9.530E-03	-9.530E-03	1.906E-02
1.941E-04	9.574E-03	-9.574E-03	1.915E-02
1.959E-04	9.617E-03	-9.617E-03	1.923E-02
1.977E-04	9.662E-03	-9.662E-03	1.932E-02
1.995E-04	9.706E-03	-9.706E-03	1.941E-02
2.014E-04	9.750E-03	-9.750E-03	1.950E-02
2.032E-04	9.795E-03	-9.795E-03	1.959E-02
2.051E-04	9.840E-03	-9.840E-03	1.968E-02
2.070E-04	9.885E-03	-9.885E-03	1.977E-02
2.089E-04	9.930E-03	-9.930E-03	1.986E-02
2.109E-04	9.976E-03	-9.976E-03	1.995E-02
2.128E-04	1.002E-02	-1.002E-02	2.004E-02
2.148E-04	1.007E-02	-1.007E-02	2.014E-02
2.168E-04	1.011E-02	-1.011E-02	2.023E-02
2.188E-04	1.016E-02	-1.016E-02	2.032E-02
2.208E-04	1.021E-02	-1.021E-02	2.041E-02
2.228E-04	1.025E-02	-1.025E-02	2.051E-02
2.249E-04	1.030E-02	-1.030E-02	2.060E-02
2.270E-04	1.035E-02	-1.035E-02	2.070E-02
2.291E-04	1.040E-02	-1.040E-02	2.079E-02
2.312E-04	1.044E-02	-1.044E-02	2.089E-02
2.333E-04	1.049E-02	-1.049E-02	2.098E-02
2.355E-04	1.054E-02	-1.054E-02	2.108E-02
2.377E-04	1.059E-02	-1.059E-02	2.117E-02
2.399E-04	1.064E-02	-1.064E-02	2.127E-02
2.421E-04	1.068E-02	-1.068E-02	2.137E-02
2.443E-04	1.073E-02	-1.073E-02	2.147E-02
2.466E-04	1.078E-02	-1.078E-02	2.157E-02
2.489E-04	1.083E-02	-1.083E-02	2.166E-02
2.512E-04	1.088E-02	-1.088E-02	2.176E-02
2.535E-04	1.093E-02	-1.093E-02	2.186E-02
2.559E-04	1.098E-02	-1.098E-02	2.196E-02
2.582E-04	1.103E-02	-1.103E-02	2.206E-02
2.606E-04	1.108E-02	-1.108E-02	2.217E-02
2.630E-04	1.113E-02	-1.113E-02	2.227E-02
2.655E-04	1.118E-02	-1.118E-02	2.237E-02
2.679E-04	1.124E-02	-1.124E-02	2.247E-02
2.704E-04	1.129E-02	-1.129E-02	2.258E-02
2.729E-04	1.134E-02	-1.134E-02	2.268E-02
2.754E-04	1.139E-02	-1.139E-02	2.278E-02
2.780E-04	1.144E-02	-1.144E-02	2.289E-02
2.805E-04	1.150E-02	-1.150E-02	2.299E-02
2.831E-04	1.155E-02	-1.155E-02	2.310E-02
2.858E-04	1.160E-02	-1.160E-02	2.320E-02
2.884E-04	1.166E-02	-1.166E-02	2.331E-02
2.911E-04	1.171E-02	-1.171E-02	2.342E-02
2.938E-04	1.176E-02	-1.176E-02	2.352E-02
2.965E-04	1.182E-02	-1.182E-02	2.363E-02
2.992E-04	1.187E-02	-1.187E-02	2.374E-02
3.020E-04	1.192E-02	-1.192E-02	2.385E-02
3.048E-04	1.198E-02	-1.198E-02	2.396E-02
3.076E-04	1.203E-02	-1.203E-02	2.407E-02
3.105E-04	1.209E-02	-1.209E-02	2.418E-02
3.133E-04	1.215E-02	-1.215E-02	2.429E-02
3.162E-04	1.220E-02	-1.220E-02	2.440E-02
3.192E-04	1.226E-02	-1.226E-02	2.451E-02
3.221E-04	1.231E-02	-1.231E-02	2.463E-02
3.251E-04	1.237E-02	-1.237E-02	2.474E-02
3.281E-04	1.243E-02	-1.243E-02	2.485E-02
3.311E-04	1.248E-02	-1.248E-02	2.497E-02
3.342E-04	1.254E-02	-1.254E-02	2.508E-02
3.373E-04	1.260E-02	-1.260E-02	2.520E-02
3.404E-04	1.266E-02	-1.266E-02	2.531E-02
3.436E-04	1.271E-02	-1.271E-02	2.543E-02
3.467E-04	1.277E-02	-1.277E-02	2.554E-02
3.499E-04	1.283E-02	-1.283E-02	2.566E-02
3.532E-04	1.289E-02	-1.289E-02	2.578E-02
3.565E-04	1.295E-02	-1.295E-02	2.590E-02
3.597E-04	1.301E-02	-1.301E-02	2.602E-02
3.631E-04	1.307E-02	-1.307E-02	2.614E-02
3.664E-04	1.313E-02	-1.313E-02	2.626E-02
3.698E-04	1.319E-02	-1.319E-02	2.638E-02
3.733E-04	1.325E-02	-1.325E-02	2.650E-02
3.767E-04	1.331E-02	-1.331E-02	2.662E-02
3.802E-04	1.337E-02	-1.337E-02	2.674E-02
3.837E-04	1.343E-02	-1.343E-02	2.686E-02
3.873E-04	1.349E-02	-1.349E-02	2.699E-02
3.908E-04	1.356E-02	-1.356E-02	2.711E-02
3.945E-04	1.362E-02	-1.362E-02	2.724E-02
3.981E-04	1.368E-02	-1.368E-02	2.736E-02
4.018E-04	1.374E-02	-1.374E-02	2.749E-02
4.055E-04	1.381E-02	-1.381E-02	2.761E-02
4.093E-04	1.387E-02	-1.387E-02	2.774E-02
4.130E-04	1.393E-02	-1.393E-02	2.787E-02
4.169E-04	1.400E-02	-1.400E-02	2.799E-02
4.207E-04	1.406E-02	-1.406E-02	2.812E-02
4.246E-04	1.413E-02	-1.413E-02	2.825E-02
4.285E-04	1.419E-02	-1.419E-02	2.838E-02
4.325E-04	1.426E-02	-1.426E-02	2.851E-02
4.365E-04	1.432E-02	-1.432E-02	2.864E-02
4.406E-04	1.439E-02	-1.439E-02	2.877E-02
4.446E-04	1.445E-02	-1.445E-02	2.891E-02
4.487E-04	1.452E-02	-1.452E-02	2.904E-02
4.529E-04	1.459E-02	-1.459E-02	2.917E-02
4.571E-04	1.465E-02	-1.465E-02	2.931E-02
4.613E-04	1.472E-02	-1.472E-02	2.944E-02
4.656E-04	1.479E-02	-1.479E-02	2.958E-02
4.699E-04	1.486E-02	-1.486E-02	2.971E-02
4.742E-04	1.492E-02	-1.492E-02	2.985E-02
4.786E-04	1.499E-02	-1.499E-02	2.999E-02
4.831E-04	1.506E-02	-1.506E-02	3.012E-02
4.875E-04	1.513E-02	-1.513E-02	3.026E-02
4.920E-04	1.520E-02	-1.520E-02	3.040E-02
4.966E-04	1.527E-02	-1.527E-02	3.054E-02
5.012E-04	1.534E-02	-1.534E-02	3.068E-02
5.058E-04	1.541E-02	-1.541E-02	3.082E-02
5.105E-04	1.548E-02	-1.548E-02	3.096E-02
5.152E-04	1.555E-02	-1.555E-02	3.110E-02
