Q0 = 1.057 GeV	 Q = 5.200 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	7.075E-03	-7.075E-03	1.415E-02
1.009E-04	7.107E-03	-7.107E-03	1.421E-02
1.019E-04	7.139E-03	-7.139E-03	1.428E-02
1.028E-04	7.172E-03	-7.172E-03	1.434E-02
1.038E-04	7.204E-03	-7.204E-03	1.441E-02
1.047E-04	7.237E-03	-7.237E-03	1.447E-02
1.057E-04	7.270E-03	-7.270E-03	1.454E-02
1.067E-04	7.303E-03	-7.303E-03	1.461E-02
1.076E-04	7.337E-03	-7.337E-03	1.467E-02
1.086E-04	7.370E-03	-7.370E-03	1.474E-02
1.096E-04	7.404E-03	-7.404E-03	1.481E-02
1.107E-04	7.437E-03	-7.437E-03	1.487E-02
1.117E-04	7.471E-03	-7.471E-03	1.494E-02
1.127E-04	7.505E-03	-7.505E-03	1.501E-02
1.138E-04	7.539E-03	-7.539E-03	1.508E-02
1.148E-04	7.574E-03	-7.574E-03	1.515E-02
1.159E-04	7.608E-03	-7.608E-03	1.522E-02
1.169E-04	7.643E-03	-7.643E-03	1.529E-02
1.180E-04	7.677E-03	-7.677E-03	1.535E-02
1.191E-04	7.712E-03	-7.712E-03	1.542E-02
1.202E-04	7.748E-03	-7.748E-03	1.550E-02
1.213E-04	7.783E-03	-7.783E-03	1.557E-02
1.225E-04	7.818E-03	-7.818E-03	1.564E-02
1.236E-04	7.854E-03	-7.854E-03	1.571E-02
1.247E-04	7.890E-03	-7.890E-03	1.578E-02
1.259E-04	7.925E-03	-7.925E-03	1.585E-02
1.271E-04	7.962E-03	-7.962E-03	1.592E-02
1.282E-04	7.998E-03	-7.998E-03	1.600E-02
1.294E-04	8.034E-03	-8.034E-03	1.607E-02
1.306E-04	8.071E-03	-8.071E-03	1.614E-02
1.318E-04	8.107E-03	-8.107E-03	1.621E-02
1.330E-04	8.144E-03	-8.144E-03	1.629E-02
1.343E-04	8.181E-03	-8.181E-03	1.636E-02
1.355E-04	8.219E-03	-8.219E-03	1.644E-02
1.368E-04	8.256E-03	-8.256E-03	1.651E-02
1.380E-04	8.294E-03	-8.294E-03	1.659E-02
1.393E-04	8.331E-03	-8.331E-03	1.666E-02
1.406E-04	8.369E-03	-8.369E-03	1.674E-02
1.419E-04	8.407E-03	-8.407E-03	1.681E-02
1.432E-04	8.446E-03	-8.446E-03	1.689E-02
1.445E-04	8.484E-03	-8.484E-03	1.697E-02
1.459E-04	8.523E-03	-8.523E-03	1.705E-02
1.472E-04	8.561E-03	-8.561E-03	1.712E-02
1.486E-04	8.600E-03	-8.600E-03	1.720E-02
1.500E-04	8.640E-03	-8.640E-03	1.728E-02
1.514E-04	8.679E-03	-8.679E-03	1.736E-02
1.528E-04	8.718E-03	-8.718E-03	1.744E-02
1.542E-04	8.758E-03	-8.758E-03	1.752E-02
1.556E-04	8.798E-03	-8.798E-03	1.760E-02
1.570E-04	8.838E-03	-8.838E-03	1.768E-02
1.585E-04	8.878E-03	-8.878E-03	1.776E-02
1.600E-04	8.919E-03	-8.919E-03	1.784E-02
1.614E-04	8.959E-03	-8.959E-03	1.792E-02
1.629E-04	9.000E-03	-9.000E-03	1.800E-02
1.644E-04	9.041E-03	-9.041E-03	1.808E-02
1.660E-04	9.082E-03	-9.082E-03	1.816E-02
1.675E-04	9.123E-03	-9.123E-03	1.825E-02
1.690E-04	9.165E-03	-9.165E-03	1.833E-02
1.706E-04	9.207E-03	-9.207E-03	1.841E-02
1.722E-04	9.248E-03	-9.248E-03	1.850E-02
1.738E-04	9.290E-03	-9.290E-03	1.858E-02
1.754E-04	9.333E-03	-9.333E-03	1.867E-02
1.770E-04	9.375E-03	-9.375E-03	1.875E-02
1.786E-04	9.418E-03	-9.418E-03	1.884E-02
1.803E-04	9.461E-03	-9.461E-03	1.892E-02
1.820E-04	9.504E-03	-9.504E-03	1.901E-02
1.837E-04	9.547E-03	-9.547E-03	1.909E-02
1.854E-04	9.590E-03	-9.590E-03	1.918E-02
1.871E-04	9.634E-03	-9.634E-03	1.927E-02
1.888E-04	9.678E-03	-9.678E-03	1.936E-02
1.905E-04	9.722E-03	-9.722E-03	1.944E-02
1.923E-04	9.766E-03	-9.766E-03	1.953E-02
1.941E-04	9.811E-03	-9.811E-03	1.962E-02
1.959E-04	9.855E-03	-9.855E-03	1.971E-02
1.977E-04	9.900E-03	-9.900E-03	1.980E-02
1.995E-04	9.945E-03	-9.945E-03	1.989E-02
2.014E-04	9.990E-03	-9.990E-03	1.998E-02
2.032E-04	1.004E-02	-1.004E-02	2.007E-02
2.051E-04	1.008E-02	-1.008E-02	2.016E-02
2.070E-04	1.013E-02	-1.013E-02	2.025E-02
2.089E-04	1.017E-02	-1.017E-02	2.035E-02
2.109E-04	1.022E-02	-1.022E-02	2.044E-02
