Q0 = 1.087 GeV	 Q = 2.000 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	5.376E-03	-5.376E-03	1.075E-02
1.009E-04	5.400E-03	-5.400E-03	1.080E-02
1.019E-04	5.425E-03	-5.425E-03	1.085E-02
1.028E-04	5.450E-03	-5.450E-03	1.090E-02
1.038E-04	5.475E-03	-5.475E-03	1.095E-02
1.047E-04	5.501E-03	-5.501E-03	1.100E-02
1.057E-04	5.526E-03	-5.526E-03	1.105E-02
1.067E-04	5.552E-03	-5.552E-03	1.110E-02
1.076E-04	5.577E-03	-5.577E-03	1.115E-02
1.086E-04	5.603E-03	-5.603E-03	1.121E-02
1.096E-04	5.629E-03	-5.629E-03	1.126E-02
1.107E-04	5.655E-03	-5.655E-03	1.131E-02
1.117E-04	5.681E-03	-5.681E-03	1.136E-02
1.127E-04	5.707E-03	-5.707E-03	1.141E-02
1.138E-04	5.734E-03	-5.734E-03	1.147E-02
1.148E-04	5.760E-03	-5.760E-03	1.152E-02
1.159E-04	5.787E-03	-5.787E-03	1.157E-02
1.169E-04	5.813E-03	-5.813E-03	1.163E-02
1.180E-04	5.840E-03	-5.840E-03	1.168E-02
1.191E-04	5.867E-03	-5.867E-03	1.173E-02
1.202E-04	5.894E-03	-5.894E-03	1.179E-02
1.213E-04	5.921E-03	-5.921E-03	1.184E-02
1.225E-04	5.949E-03	-5.949E-03	1.190E-02
1.236E-04	5.976E-03	-5.976E-03	1.195E-02
1.247E-04	6.004E-03	-6.004E-03	1.201E-02
1.259E-04	6.032E-03	-6.032E-03	1.206E-02
1.271E-04	6.059E-03	-6.059E-03	1.212E-02
1.282E-04	6.087E-03	-6.087E-03	1.217E-02
1.294E-04	6.115E-03	-6.115E-03	1.223E-02
1.306E-04	6.144E-03	-6.144E-03	1.229E-02
1.318E-04	6.172E-03	-6.172E-03	1.234E-02
1.330E-04	6.201E-03	-6.201E-03	1.240E-02
1.343E-04	6.229E-03	-6.229E-03	1.246E-02
1.355E-04	6.258E-03	-6.258E-03	1.252E-02
1.368E-04	6.287E-03	-6.287E-03	1.257E-02
1.380E-04	6.316E-03	-6.316E-03	1.263E-02
1.393E-04	6.345E-03	-6.345E-03	1.269E-02
1.406E-04	6.374E-03	-6.374E-03	1.275E-02
1.419E-04	6.404E-03	-6.404E-03	1.281E-02
1.432E-04	6.433E-03	-6.433E-03	1.287E-02
1.445E-04	6.463E-03	-6.463E-03	1.293E-02
1.459E-04	6.493E-03	-6.493E-03	1.299E-02
1.472E-04	6.523E-03	-6.523E-03	1.305E-02
1.486E-04	6.553E-03	-6.553E-03	1.311E-02
1.500E-04	6.583E-03	-6.583E-03	1.317E-02
1.514E-04	6.614E-03	-6.614E-03	1.323E-02
1.528E-04	6.644E-03	-6.644E-03	1.329E-02
1.542E-04	6.675E-03	-6.675E-03	1.335E-02
1.556E-04	6.706E-03	-6.706E-03	1.341E-02
1.570E-04	6.737E-03	-6.737E-03	1.347E-02
1.585E-04	6.768E-03	-6.768E-03	1.354E-02
1.600E-04	6.799E-03	-6.799E-03	1.360E-02
1.614E-04	6.831E-03	-6.831E-03	1.366E-02
