Q0 = 1.1 GeV	 Q = 1.1 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	4.311E-03	-4.311E-03	8.622E-03
1.009E-04	4.331E-03	-4.331E-03	8.662E-03
1.019E-04	4.351E-03	-4.351E-03	8.702E-03
1.028E-04	4.371E-03	-4.371E-03	8.742E-03
1.038E-04	4.391E-03	-4.391E-03	8.782E-03
1.047E-04	4.412E-03	-4.412E-03	8.823E-03
1.057E-04	4.432E-03	-4.432E-03	8.864E-03
1.067E-04	4.452E-03	-4.452E-03	8.905E-03
1.076E-04	4.473E-03	-4.473E-03	8.946E-03
1.086E-04	4.494E-03	-4.494E-03	8.988E-03
1.096E-04	4.515E-03	-4.515E-03	9.029E-03
1.107E-04	4.535E-03	-4.535E-03	9.071E-03
1.117E-04	4.556E-03	-4.556E-03	9.113E-03
1.127E-04	4.578E-03	-4.578E-03	9.155E-03
1.138E-04	4.599E-03	-4.599E-03	9.198E-03
1.148E-04	4.620E-03	-4.620E-03	9.240E-03
1.159E-04	4.641E-03	-4.641E-03	9.283E-03
1.169E-04	4.663E-03	-4.663E-03	9.326E-03
1.180E-04	4.685E-03	-4.685E-03	9.369E-03
1.191E-04	4.706E-03	-4.706E-03	9.412E-03
1.202E-04	4.728E-03	-4.728E-03	9.456E-03
1.213E-04	4.750E-03	-4.750E-03	9.500E-03
1.225E-04	4.772E-03	-4.772E-03	9.544E-03
1.236E-04	4.794E-03	-4.794E-03	9.588E-03
1.247E-04	4.816E-03	-4.816E-03	9.632E-03
1.259E-04	4.838E-03	-4.838E-03	9.677E-03
1.271E-04	4.861E-03	-4.861E-03	9.722E-03
1.282E-04	4.883E-03	-4.883E-03	9.767E-03
1.294E-04	4.906E-03	-4.906E-03	9.812E-03
1.306E-04	4.929E-03	-4.929E-03	9.857E-03
1.318E-04	4.952E-03	-4.952E-03	9.903E-03
1.330E-04	4.974E-03	-4.974E-03	9.949E-03
1.343E-04	4.997E-03	-4.997E-03	9.995E-03
1.355E-04	5.021E-03	-5.021E-03	1.004E-02
1.368E-04	5.044E-03	-5.044E-03	1.009E-02
1.380E-04	5.067E-03	-5.067E-03	1.013E-02
1.393E-04	5.091E-03	-5.091E-03	1.018E-02
1.406E-04	5.114E-03	-5.114E-03	1.023E-02
1.419E-04	5.138E-03	-5.138E-03	1.028E-02
1.432E-04	5.162E-03	-5.162E-03	1.032E-02
1.445E-04	5.186E-03	-5.186E-03	1.037E-02
1.459E-04	5.210E-03	-5.210E-03	1.042E-02
1.472E-04	5.234E-03	-5.234E-03	1.047E-02
1.486E-04	5.258E-03	-5.258E-03	1.052E-02
1.500E-04	5.282E-03	-5.282E-03	1.056E-02
1.514E-04	5.307E-03	-5.307E-03	1.061E-02
1.528E-04	5.331E-03	-5.331E-03	1.066E-02
1.542E-04	5.356E-03	-5.356E-03	1.071E-02
1.556E-04	5.381E-03	-5.381E-03	1.076E-02
1.570E-04	5.406E-03	-5.406E-03	1.081E-02
1.585E-04	5.431E-03	-5.431E-03	1.086E-02
1.600E-04	5.456E-03	-5.456E-03	1.091E-02
1.614E-04	5.481E-03	-5.481E-03	1.096E-02
1.629E-04	5.507E-03	-5.507E-03	1.101E-02
1.644E-04	5.532E-03	-5.532E-03	1.106E-02
1.660E-04	5.558E-03	-5.558E-03	1.112E-02
1.675E-04	5.584E-03	-5.584E-03	1.117E-02
1.690E-04	5.610E-03	-5.610E-03	1.122E-02
1.706E-04	5.636E-03	-5.636E-03	1.127E-02
1.722E-04	5.662E-03	-5.662E-03	1.132E-02
1.738E-04	5.688E-03	-5.688E-03	1.138E-02
1.754E-04	5.714E-03	-5.714E-03	1.143E-02
1.770E-04	5.741E-03	-5.741E-03	1.148E-02
1.786E-04	5.767E-03	-5.767E-03	1.153E-02
1.803E-04	5.794E-03	-5.794E-03	1.159E-02
1.820E-04	5.821E-03	-5.821E-03	1.164E-02
1.837E-04	5.848E-03	-5.848E-03	1.170E-02
1.854E-04	5.875E-03	-5.875E-03	1.175E-02
1.871E-04	5.902E-03	-5.902E-03	1.180E-02
1.888E-04	5.930E-03	-5.930E-03	1.186E-02
1.905E-04	5.957E-03	-5.957E-03	1.191E-02
1.923E-04	5.985E-03	-5.985E-03	1.197E-02
1.941E-04	6.013E-03	-6.013E-03	1.203E-02
1.959E-04	6.040E-03	-6.040E-03	1.208E-02
1.977E-04	6.068E-03	-6.068E-03	1.214E-02
1.995E-04	6.097E-03	-6.097E-03	1.219E-02
2.014E-04	6.125E-03	-6.125E-03	1.225E-02
2.032E-04	6.153E-03	-6.153E-03	1.231E-02
