Q0 = 1.087 GeV	 Q = 5.200 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	6.834E-03	-6.834E-03	1.367E-02
1.009E-04	6.866E-03	-6.866E-03	1.373E-02
1.019E-04	6.897E-03	-6.897E-03	1.379E-02
1.028E-04	6.929E-03	-6.929E-03	1.386E-02
1.038E-04	6.961E-03	-6.961E-03	1.392E-02
1.047E-04	6.993E-03	-6.993E-03	1.399E-02
1.057E-04	7.025E-03	-7.025E-03	1.405E-02
1.067E-04	7.057E-03	-7.057E-03	1.411E-02
1.076E-04	7.089E-03	-7.089E-03	1.418E-02
1.086E-04	7.122E-03	-7.122E-03	1.424E-02
1.096E-04	7.154E-03	-7.154E-03	1.431E-02
1.107E-04	7.187E-03	-7.187E-03	1.437E-02
1.117E-04	7.220E-03	-7.220E-03	1.444E-02
1.127E-04	7.253E-03	-7.253E-03	1.451E-02
1.138E-04	7.286E-03	-7.286E-03	1.457E-02
1.148E-04	7.320E-03	-7.320E-03	1.464E-02
1.159E-04	7.353E-03	-7.353E-03	1.471E-02
1.169E-04	7.387E-03	-7.387E-03	1.477E-02
1.180E-04	7.421E-03	-7.421E-03	1.484E-02
1.191E-04	7.455E-03	-7.455E-03	1.491E-02
1.202E-04	7.489E-03	-7.489E-03	1.498E-02
1.213E-04	7.524E-03	-7.524E-03	1.505E-02
1.225E-04	7.558E-03	-7.558E-03	1.512E-02
1.236E-04	7.593E-03	-7.593E-03	1.519E-02
1.247E-04	7.628E-03	-7.628E-03	1.526E-02
1.259E-04	7.663E-03	-7.663E-03	1.533E-02
1.271E-04	7.698E-03	-7.698E-03	1.540E-02
1.282E-04	7.733E-03	-7.733E-03	1.547E-02
1.294E-04	7.768E-03	-7.768E-03	1.554E-02
1.306E-04	7.804E-03	-7.804E-03	1.561E-02
1.318E-04	7.840E-03	-7.840E-03	1.568E-02
1.330E-04	7.876E-03	-7.876E-03	1.575E-02
1.343E-04	7.912E-03	-7.912E-03	1.582E-02
1.355E-04	7.948E-03	-7.948E-03	1.590E-02
1.368E-04	7.985E-03	-7.985E-03	1.597E-02
1.380E-04	8.021E-03	-8.021E-03	1.604E-02
1.393E-04	8.058E-03	-8.058E-03	1.612E-02
1.406E-04	8.095E-03	-8.095E-03	1.619E-02
1.419E-04	8.132E-03	-8.132E-03	1.626E-02
1.432E-04	8.169E-03	-8.169E-03	1.634E-02
1.445E-04	8.207E-03	-8.207E-03	1.641E-02
1.459E-04	8.245E-03	-8.245E-03	1.649E-02
1.472E-04	8.282E-03	-8.282E-03	1.656E-02
1.486E-04	8.320E-03	-8.320E-03	1.664E-02
1.500E-04	8.358E-03	-8.358E-03	1.672E-02
1.514E-04	8.397E-03	-8.397E-03	1.679E-02
1.528E-04	8.435E-03	-8.435E-03	1.687E-02
1.542E-04	8.474E-03	-8.474E-03	1.695E-02
1.556E-04	8.513E-03	-8.513E-03	1.703E-02
1.570E-04	8.552E-03	-8.552E-03	1.710E-02
1.585E-04	8.591E-03	-8.591E-03	1.718E-02
1.600E-04	8.630E-03	-8.630E-03	1.726E-02
1.614E-04	8.670E-03	-8.670E-03	1.734E-02
1.629E-04	8.710E-03	-8.710E-03	1.742E-02
1.644E-04	8.750E-03	-8.750E-03	1.750E-02
1.660E-04	8.790E-03	-8.790E-03	1.758E-02
1.675E-04	8.830E-03	-8.830E-03	1.766E-02
1.690E-04	8.871E-03	-8.871E-03	1.774E-02
1.706E-04	8.911E-03	-8.911E-03	1.782E-02
1.722E-04	8.952E-03	-8.952E-03	1.790E-02
1.738E-04	8.993E-03	-8.993E-03	1.799E-02
1.754E-04	9.034E-03	-9.034E-03	1.807E-02
1.770E-04	9.076E-03	-9.076E-03	1.815E-02
1.786E-04	9.118E-03	-9.118E-03	1.824E-02
1.803E-04	9.159E-03	-9.159E-03	1.832E-02
1.820E-04	9.201E-03	-9.201E-03	1.840E-02
1.837E-04	9.244E-03	-9.244E-03	1.849E-02
1.854E-04	9.286E-03	-9.286E-03	1.857E-02
1.871E-04	9.328E-03	-9.328E-03	1.866E-02
1.888E-04	9.371E-03	-9.371E-03	1.874E-02
1.905E-04	9.414E-03	-9.414E-03	1.883E-02
1.923E-04	9.457E-03	-9.457E-03	1.891E-02
1.941E-04	9.501E-03	-9.501E-03	1.900E-02
1.959E-04	9.544E-03	-9.544E-03	1.909E-02
1.977E-04	9.588E-03	-9.588E-03	1.918E-02
1.995E-04	9.632E-03	-9.632E-03	1.926E-02
2.014E-04	9.676E-03	-9.676E-03	1.935E-02
2.032E-04	9.721E-03	-9.721E-03	1.944E-02
2.051E-04	9.765E-03	-9.765E-03	1.953E-02
2.070E-04	9.810E-03	-9.810E-03	1.962E-02
2.089E-04	9.855E-03	-9.855E-03	1.971E-02
2.109E-04	9.900E-03	-9.900E-03	1.980E-02
2.128E-04	9.946E-03	-9.946E-03	1.989E-02
2.148E-04	9.991E-03	-9.991E-03	1.998E-02
2.168E-04	1.004E-02	-1.004E-02	2.007E-02
2.188E-04	1.008E-02	-1.008E-02	2.017E-02
2.208E-04	1.013E-02	-1.013E-02	2.026E-02
2.228E-04	1.018E-02	-1.018E-02	2.035E-02
2.249E-04	1.022E-02	-1.022E-02	2.044E-02
2.270E-04	1.027E-02	-1.027E-02	2.054E-02
2.291E-04	1.032E-02	-1.032E-02	2.063E-02
2.312E-04	1.036E-02	-1.036E-02	2.073E-02
2.333E-04	1.041E-02	-1.041E-02	2.082E-02
2.355E-04	1.046E-02	-1.046E-02	2.092E-02
2.377E-04	1.051E-02	-1.051E-02	2.101E-02
2.399E-04	1.056E-02	-1.056E-02	2.111E-02
2.421E-04	1.060E-02	-1.060E-02	2.121E-02
2.443E-04	1.065E-02	-1.065E-02	2.130E-02
2.466E-04	1.070E-02	-1.070E-02	2.140E-02
2.489E-04	1.075E-02	-1.075E-02	2.150E-02
2.512E-04	1.080E-02	-1.080E-02	2.160E-02
2.535E-04	1.085E-02	-1.085E-02	2.170E-02
2.559E-04	1.090E-02	-1.090E-02	2.180E-02
2.582E-04	1.095E-02	-1.095E-02	2.190E-02
2.606E-04	1.100E-02	-1.100E-02	2.200E-02
2.630E-04	1.105E-02	-1.105E-02	2.210E-02
2.655E-04	1.110E-02	-1.110E-02	2.220E-02
2.679E-04	1.115E-02	-1.115E-02	2.230E-02
2.704E-04	1.120E-02	-1.120E-02	2.240E-02
2.729E-04	1.125E-02	-1.125E-02	2.251E-02
2.754E-04	1.130E-02	-1.130E-02	2.261E-02
2.780E-04	1.136E-02	-1.136E-02	2.271E-02
2.805E-04	1.141E-02	-1.141E-02	2.282E-02
2.831E-04	1.146E-02	-1.146E-02	2.292E-02
2.858E-04	1.151E-02	-1.151E-02	2.303E-02
2.884E-04	1.157E-02	-1.157E-02	2.313E-02
2.911E-04	1.162E-02	-1.162E-02	2.324E-02
2.938E-04	1.167E-02	-1.167E-02	2.335E-02
2.965E-04	1.173E-02	-1.173E-02	2.345E-02
2.992E-04	1.178E-02	-1.178E-02	2.356E-02
3.020E-04	1.183E-02	-1.183E-02	2.367E-02
3.048E-04	1.189E-02	-1.189E-02	2.378E-02
3.076E-04	1.194E-02	-1.194E-02	2.389E-02
3.105E-04	1.200E-02	-1.200E-02	2.400E-02
3.133E-04	1.205E-02	-1.205E-02	2.411E-02
3.162E-04	1.211E-02	-1.211E-02	2.422E-02
3.192E-04	1.216E-02	-1.216E-02	2.433E-02
3.221E-04	1.222E-02	-1.222E-02	2.444E-02
3.251E-04	1.228E-02	-1.228E-02	2.455E-02
3.281E-04	1.233E-02	-1.233E-02	2.466E-02
3.311E-04	1.239E-02	-1.239E-02	2.478E-02
3.342E-04	1.245E-02	-1.245E-02	2.489E-02
3.373E-04	1.250E-02	-1.250E-02	2.500E-02
3.404E-04	1.256E-02	-1.256E-02	2.512E-02
3.436E-04	1.262E-02	-1.262E-02	2.523E-02
3.467E-04	1.268E-02	-1.268E-02	2.535E-02
3.499E-04	1.273E-02	-1.273E-02	2.547E-02
3.532E-04	1.279E-02	-1.279E-02	2.558E-02
3.565E-04	1.285E-02	-1.285E-02	2.570E-02
3.597E-04	1.291E-02	-1.291E-02	2.582E-02
3.631E-04	1.297E-02	-1.297E-02	2.594E-02
3.664E-04	1.303E-02	-1.303E-02	2.606E-02
3.698E-04	1.309E-02	-1.309E-02	2.618E-02
3.733E-04	1.315E-02	-1.315E-02	2.630E-02
3.767E-04	1.321E-02	-1.321E-02	2.642E-02
3.802E-04	1.327E-02	-1.327E-02	2.654E-02
3.837E-04	1.333E-02	-1.333E-02	2.666E-02
3.873E-04	1.339E-02	-1.339E-02	2.678E-02
3.908E-04	1.345E-02	-1.345E-02	2.690E-02
3.945E-04	1.351E-02	-1.351E-02	2.703E-02
