Q0 = 0.9 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	3.705E-03	-3.705E-03	7.409E-03
1.009E-04	3.726E-03	-3.726E-03	7.453E-03
1.019E-04	3.748E-03	-3.748E-03	7.496E-03
1.028E-04	3.770E-03	-3.770E-03	7.540E-03
1.038E-04	3.792E-03	-3.792E-03	7.584E-03
1.047E-04	3.814E-03	-3.814E-03	7.629E-03
1.057E-04	3.837E-03	-3.837E-03	7.673E-03
1.067E-04	3.859E-03	-3.859E-03	7.718E-03
1.076E-04	3.882E-03	-3.882E-03	7.763E-03
1.086E-04	3.904E-03	-3.904E-03	7.809E-03
1.096E-04	3.927E-03	-3.927E-03	7.855E-03
1.107E-04	3.950E-03	-3.950E-03	7.900E-03
1.117E-04	3.973E-03	-3.973E-03	7.947E-03
1.127E-04	3.997E-03	-3.997E-03	7.993E-03
1.138E-04	4.020E-03	-4.020E-03	8.040E-03
1.148E-04	4.043E-03	-4.043E-03	8.087E-03
1.159E-04	4.067E-03	-4.067E-03	8.134E-03
1.169E-04	4.091E-03	-4.091E-03	8.182E-03
1.180E-04	4.115E-03	-4.115E-03	8.230E-03
1.191E-04	4.139E-03	-4.139E-03	8.278E-03
1.202E-04	4.163E-03	-4.163E-03	8.326E-03
1.213E-04	4.187E-03	-4.187E-03	8.375E-03
1.225E-04	4.212E-03	-4.212E-03	8.424E-03
1.236E-04	4.236E-03	-4.236E-03	8.473E-03
1.247E-04	4.261E-03	-4.261E-03	8.522E-03
1.259E-04	4.286E-03	-4.286E-03	8.572E-03
1.271E-04	4.311E-03	-4.311E-03	8.622E-03
1.282E-04	4.336E-03	-4.336E-03	8.673E-03
1.294E-04	4.362E-03	-4.362E-03	8.723E-03
1.306E-04	4.387E-03	-4.387E-03	8.774E-03
1.318E-04	4.413E-03	-4.413E-03	8.826E-03
1.330E-04	4.439E-03	-4.439E-03	8.877E-03
1.343E-04	4.465E-03	-4.465E-03	8.929E-03
1.355E-04	4.491E-03	-4.491E-03	8.981E-03
1.368E-04	4.517E-03	-4.517E-03	9.034E-03
1.380E-04	4.543E-03	-4.543E-03	9.086E-03
1.393E-04	4.570E-03	-4.570E-03	9.139E-03
1.406E-04	4.596E-03	-4.596E-03	9.193E-03
1.419E-04	4.623E-03	-4.623E-03	9.246E-03
1.432E-04	4.650E-03	-4.650E-03	9.300E-03
1.445E-04	4.677E-03	-4.677E-03	9.355E-03
1.459E-04	4.705E-03	-4.705E-03	9.409E-03
1.472E-04	4.732E-03	-4.732E-03	9.464E-03
1.486E-04	4.760E-03	-4.760E-03	9.520E-03
1.500E-04	4.788E-03	-4.788E-03	9.575E-03
1.514E-04	4.815E-03	-4.815E-03	9.631E-03
1.528E-04	4.844E-03	-4.844E-03	9.687E-03
1.542E-04	4.872E-03	-4.872E-03	9.744E-03
1.556E-04	4.900E-03	-4.900E-03	9.801E-03
1.570E-04	4.929E-03	-4.929E-03	9.858E-03
1.585E-04	4.958E-03	-4.958E-03	9.915E-03
1.600E-04	4.987E-03	-4.987E-03	9.973E-03
1.614E-04	5.016E-03	-5.016E-03	1.003E-02
1.629E-04	5.045E-03	-5.045E-03	1.009E-02
1.644E-04	5.074E-03	-5.074E-03	1.015E-02
1.660E-04	5.104E-03	-5.104E-03	1.021E-02
1.675E-04	5.134E-03	-5.134E-03	1.027E-02
1.690E-04	5.164E-03	-5.164E-03	1.033E-02
1.706E-04	5.194E-03	-5.194E-03	1.039E-02
1.722E-04	5.224E-03	-5.224E-03	1.045E-02
1.738E-04	5.254E-03	-5.254E-03	1.051E-02
1.754E-04	5.285E-03	-5.285E-03	1.057E-02
1.770E-04	5.316E-03	-5.316E-03	1.063E-02
1.786E-04	5.347E-03	-5.347E-03	1.069E-02
1.803E-04	5.378E-03	-5.378E-03	1.076E-02
1.820E-04	5.409E-03	-5.409E-03	1.082E-02
1.837E-04	5.441E-03	-5.441E-03	1.088E-02
1.854E-04	5.473E-03	-5.473E-03	1.095E-02
1.871E-04	5.504E-03	-5.504E-03	1.101E-02
1.888E-04	5.536E-03	-5.536E-03	1.107E-02
1.905E-04	5.569E-03	-5.569E-03	1.114E-02
1.923E-04	5.601E-03	-5.601E-03	1.120E-02
1.941E-04	5.634E-03	-5.634E-03	1.127E-02
1.959E-04	5.667E-03	-5.667E-03	1.133E-02
1.977E-04	5.700E-03	-5.700E-03	1.140E-02
1.995E-04	5.733E-03	-5.733E-03	1.147E-02
2.014E-04	5.766E-03	-5.766E-03	1.153E-02
2.032E-04	5.800E-03	-5.800E-03	1.160E-02
2.051E-04	5.834E-03	-5.834E-03	1.167E-02
2.070E-04	5.867E-03	-5.867E-03	1.173E-02
2.089E-04	5.902E-03	-5.902E-03	1.180E-02
2.109E-04	5.936E-03	-5.936E-03	1.187E-02
2.128E-04	5.971E-03	-5.971E-03	1.194E-02
2.148E-04	6.005E-03	-6.005E-03	1.201E-02
2.168E-04	6.040E-03	-6.040E-03	1.208E-02
2.188E-04	6.075E-03	-6.075E-03	1.215E-02
2.208E-04	6.111E-03	-6.111E-03	1.222E-02
2.228E-04	6.146E-03	-6.146E-03	1.229E-02
2.249E-04	6.182E-03	-6.182E-03	1.236E-02
2.270E-04	6.218E-03	-6.218E-03	1.244E-02
2.291E-04	6.254E-03	-6.254E-03	1.251E-02
2.312E-04	6.291E-03	-6.291E-03	1.258E-02
2.333E-04	6.327E-03	-6.327E-03	1.265E-02
2.355E-04	6.364E-03	-6.364E-03	1.273E-02
2.377E-04	6.401E-03	-6.401E-03	1.280E-02
2.399E-04	6.438E-03	-6.438E-03	1.288E-02
2.421E-04	6.476E-03	-6.476E-03	1.295E-02
2.443E-04	6.513E-03	-6.513E-03	1.303E-02
2.466E-04	6.551E-03	-6.551E-03	1.310E-02
2.489E-04	6.589E-03	-6.589E-03	1.318E-02
2.512E-04	6.628E-03	-6.628E-03	1.326E-02
2.535E-04	6.666E-03	-6.666E-03	1.333E-02
2.559E-04	6.705E-03	-6.705E-03	1.341E-02
2.582E-04	6.744E-03	-6.744E-03	1.349E-02
2.606E-04	6.783E-03	-6.783E-03	1.357E-02
2.630E-04	6.822E-03	-6.822E-03	1.364E-02
2.655E-04	6.862E-03	-6.862E-03	1.372E-02
2.679E-04	6.902E-03	-6.902E-03	1.380E-02
2.704E-04	6.942E-03	-6.942E-03	1.388E-02
2.729E-04	6.982E-03	-6.982E-03	1.396E-02
2.754E-04	7.023E-03	-7.023E-03	1.405E-02
2.780E-04	7.064E-03	-7.064E-03	1.413E-02
2.805E-04	7.105E-03	-7.105E-03	1.421E-02
2.831E-04	7.146E-03	-7.146E-03	1.429E-02
2.858E-04	7.188E-03	-7.188E-03	1.438E-02
2.884E-04	7.229E-03	-7.229E-03	1.446E-02
2.911E-04	7.271E-03	-7.271E-03	1.454E-02
2.938E-04	7.314E-03	-7.314E-03	1.463E-02
2.965E-04	7.356E-03	-7.356E-03	1.471E-02
2.992E-04	7.399E-03	-7.399E-03	1.480E-02
3.020E-04	7.442E-03	-7.442E-03	1.488E-02
3.048E-04	7.485E-03	-7.485E-03	1.497E-02
3.076E-04	7.528E-03	-7.528E-03	1.506E-02
3.105E-04	7.572E-03	-7.572E-03	1.514E-02
3.133E-04	7.616E-03	-7.616E-03	1.523E-02
3.162E-04	7.660E-03	-7.660E-03	1.532E-02
3.192E-04	7.705E-03	-7.705E-03	1.541E-02
3.221E-04	7.749E-03	-7.749E-03	1.550E-02
3.251E-04	7.794E-03	-7.794E-03	1.559E-02
3.281E-04	7.839E-03	-7.839E-03	1.568E-02
3.311E-04	7.885E-03	-7.885E-03	1.577E-02
3.342E-04	7.931E-03	-7.931E-03	1.586E-02
3.373E-04	7.977E-03	-7.977E-03	1.595E-02
3.404E-04	8.023E-03	-8.023E-03	1.605E-02
3.436E-04	8.069E-03	-8.069E-03	1.614E-02
3.467E-04	8.116E-03	-8.116E-03	1.623E-02
3.499E-04	8.163E-03	-8.163E-03	1.633E-02
3.532E-04	8.211E-03	-8.211E-03	1.642E-02
3.565E-04	8.258E-03	-8.258E-03	1.652E-02
3.597E-04	8.306E-03	-8.306E-03	1.661E-02
3.631E-04	8.354E-03	-8.354E-03	1.671E-02
3.664E-04	8.403E-03	-8.403E-03	1.681E-02
3.698E-04	8.451E-03	-8.451E-03	1.690E-02
3.733E-04	8.500E-03	-8.500E-03	1.700E-02
3.767E-04	8.550E-03	-8.550E-03	1.710E-02
3.802E-04	8.599E-03	-8.599E-03	1.720E-02
3.837E-04	8.649E-03	-8.649E-03	1.730E-02
3.873E-04	8.699E-03	-8.699E-03	1.740E-02
3.908E-04	8.750E-03	-8.750E-03	1.750E-02
3.945E-04	8.800E-03	-8.800E-03	1.760E-02
3.981E-04	8.851E-03	-8.851E-03	1.770E-02
4.018E-04	8.903E-03	-8.903E-03	1.781E-02
4.055E-04	8.954E-03	-8.954E-03	1.791E-02
4.093E-04	9.006E-03	-9.006E-03	1.801E-02
4.130E-04	9.058E-03	-9.058E-03	1.812E-02
4.169E-04	9.111E-03	-9.111E-03	1.822E-02
4.207E-04	9.163E-03	-9.163E-03	1.833E-02
4.246E-04	9.216E-03	-9.216E-03	1.843E-02
4.285E-04	9.270E-03	-9.270E-03	1.854E-02
4.325E-04	9.324E-03	-9.324E-03	1.865E-02
4.365E-04	9.377E-03	-9.377E-03	1.875E-02
4.406E-04	9.432E-03	-9.432E-03	1.886E-02
4.446E-04	9.486E-03	-9.486E-03	1.897E-02
4.487E-04	9.541E-03	-9.541E-03	1.908E-02
4.529E-04	9.597E-03	-9.597E-03	1.919E-02
4.571E-04	9.652E-03	-9.652E-03	1.930E-02
4.613E-04	9.708E-03	-9.708E-03	1.942E-02
4.656E-04	9.764E-03	-9.764E-03	1.953E-02
4.699E-04	9.821E-03	-9.821E-03	1.964E-02
4.742E-04	9.877E-03	-9.877E-03	1.975E-02
4.786E-04	9.935E-03	-9.935E-03	1.987E-02
4.831E-04	9.992E-03	-9.992E-03	1.998E-02
4.875E-04	1.005E-02	-1.005E-02	2.010E-02
4.920E-04	1.011E-02	-1.011E-02	2.022E-02
4.966E-04	1.017E-02	-1.017E-02	2.033E-02
5.012E-04	1.023E-02	-1.023E-02	2.045E-02
5.058E-04	1.028E-02	-1.028E-02	2.057E-02
5.105E-04	1.034E-02	-1.034E-02	2.069E-02
5.152E-04	1.040E-02	-1.040E-02	2.081E-02
5.200E-04	1.046E-02	-1.046E-02	2.093E-02
5.248E-04	1.052E-02	-1.052E-02	2.105E-02
5.297E-04	1.059E-02	-1.059E-02	2.117E-02
5.346E-04	1.065E-02	-1.065E-02	2.129E-02
5.395E-04	1.071E-02	-1.071E-02	2.142E-02
5.445E-04	1.077E-02	-1.077E-02	2.154E-02
5.495E-04	1.083E-02	-1.083E-02	2.166E-02
5.546E-04	1.089E-02	-1.089E-02	2.179E-02
5.598E-04	1.096E-02	-1.096E-02	2.192E-02
5.649E-04	1.102E-02	-1.102E-02	2.204E-02
5.702E-04	1.108E-02	-1.108E-02	2.217E-02
5.754E-04	1.115E-02	-1.115E-02	2.230E-02
5.808E-04	1.121E-02	-1.121E-02	2.243E-02
5.861E-04	1.128E-02	-1.128E-02	2.256E-02
5.916E-04	1.134E-02	-1.134E-02	2.269E-02
5.970E-04	1.141E-02	-1.141E-02	2.282E-02
6.026E-04	1.147E-02	-1.147E-02	2.295E-02
6.081E-04	1.154E-02	-1.154E-02	2.308E-02
6.138E-04	1.161E-02	-1.161E-02	2.321E-02
6.194E-04	1.167E-02	-1.167E-02	2.335E-02
6.252E-04	1.174E-02	-1.174E-02	2.348E-02
6.310E-04	1.181E-02	-1.181E-02	2.362E-02
6.368E-04	1.188E-02	-1.188E-02	2.376E-02
6.427E-04	1.195E-02	-1.195E-02	2.389E-02
6.486E-04	1.202E-02	-1.202E-02	2.403E-02
6.546E-04	1.208E-02	-1.208E-02	2.417E-02
6.607E-04	1.215E-02	-1.215E-02	2.431E-02
6.668E-04	1.222E-02	-1.222E-02	2.445E-02
6.730E-04	1.230E-02	-1.230E-02	2.459E-02
6.792E-04	1.237E-02	-1.237E-02	2.473E-02
6.855E-04	1.244E-02	-1.244E-02	2.487E-02
6.918E-04	1.251E-02	-1.251E-02	2.502E-02
6.982E-04	1.258E-02	-1.258E-02	2.516E-02
7.047E-04	1.265E-02	-1.265E-02	2.531E-02
7.112E-04	1.273E-02	-1.273E-02	2.545E-02
7.178E-04	1.280E-02	-1.280E-02	2.560E-02
7.244E-04	1.287E-02	-1.287E-02	2.575E-02
7.311E-04	1.295E-02	-1.295E-02	2.590E-02
7.379E-04	1.302E-02	-1.302E-02	2.605E-02
7.447E-04	1.310E-02	-1.310E-02	2.620E-02
7.516E-04	1.317E-02	-1.317E-02	2.635E-02
7.586E-04	1.325E-02	-1.325E-02	2.650E-02
7.656E-04	1.333E-02	-1.333E-02	2.665E-02
7.727E-04	1.340E-02	-1.340E-02	2.681E-02
7.798E-04	1.348E-02	-1.348E-02	2.696E-02
7.870E-04	1.356E-02	-1.356E-02	2.712E-02
7.943E-04	1.364E-02	-1.364E-02	2.727E-02
8.017E-04	1.371E-02	-1.371E-02	2.743E-02
8.091E-04	1.379E-02	-1.379E-02	2.759E-02
8.166E-04	1.387E-02	-1.387E-02	2.775E-02
8.241E-04	1.395E-02	-1.395E-02	2.791E-02
8.318E-04	1.403E-02	-1.403E-02	2.807E-02
8.395E-04	1.411E-02	-1.411E-02	2.823E-02
8.472E-04	1.420E-02	-1.420E-02	2.839E-02
8.551E-04	1.428E-02	-1.428E-02	2.856E-02
8.630E-04	1.436E-02	-1.436E-02	2.872E-02
8.710E-04	1.444E-02	-1.444E-02	2.889E-02
8.790E-04	1.453E-02	-1.453E-02	2.905E-02
8.872E-04	1.461E-02	-1.461E-02	2.922E-02
8.954E-04	1.469E-02	-1.469E-02	2.939E-02
9.036E-04	1.478E-02	-1.478E-02	2.956E-02
9.120E-04	1.486E-02	-1.486E-02	2.973E-02
9.204E-04	1.495E-02	-1.495E-02	2.990E-02
9.290E-04	1.504E-02	-1.504E-02	3.007E-02
9.376E-04	1.512E-02	-1.512E-02	3.024E-02
9.462E-04	1.521E-02	-1.521E-02	3.042E-02
9.550E-04	1.530E-02	-1.530E-02	3.059E-02
9.638E-04	1.538E-02	-1.538E-02	3.077E-02
9.727E-04	1.547E-02	-1.547E-02	3.095E-02
9.817E-04	1.556E-02	-1.556E-02	3.112E-02
9.908E-04	1.565E-02	-1.565E-02	3.130E-02
1.000E-03	1.574E-02	-1.574E-02	3.148E-02
1.009E-03	1.583E-02	-1.583E-02	3.166E-02
1.019E-03	1.592E-02	-1.592E-02	3.185E-02
1.028E-03	1.601E-02	-1.601E-02	3.203E-02
1.038E-03	1.611E-02	-1.611E-02	3.221E-02
1.047E-03	1.620E-02	-1.620E-02	3.240E-02
1.057E-03	1.629E-02	-1.629E-02	3.259E-02
1.067E-03	1.639E-02	-1.639E-02	3.277E-02
1.076E-03	1.648E-02	-1.648E-02	3.296E-02
1.086E-03	1.658E-02	-1.658E-02	3.315E-02
1.096E-03	1.667E-02	-1.667E-02	3.334E-02
1.107E-03	1.677E-02	-1.677E-02	3.353E-02
1.117E-03	1.686E-02	-1.686E-02	3.373E-02
1.127E-03	1.696E-02	-1.696E-02	3.392E-02
1.138E-03	1.706E-02	-1.706E-02	3.412E-02
1.148E-03	1.716E-02	-1.716E-02	3.431E-02
1.159E-03	1.725E-02	-1.725E-02	3.451E-02
1.169E-03	1.735E-02	-1.735E-02	3.471E-02
1.180E-03	1.745E-02	-1.745E-02	3.491E-02
1.191E-03	1.755E-02	-1.755E-02	3.511E-02
1.202E-03	1.765E-02	-1.765E-02	3.531E-02
1.213E-03	1.776E-02	-1.776E-02	3.551E-02
