Q0 = 0.8 GeV	 Q = 0.8 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	1.240E-02	-1.240E-02	2.480E-02
1.500E-03	2.147E-02	-2.147E-02	4.294E-02
2.500E-03	2.771E-02	-2.771E-02	5.541E-02
3.500E-03	3.277E-02	-3.277E-02	6.553E-02
4.500E-03	3.714E-02	-3.714E-02	7.428E-02
5.500E-03	4.104E-02	-4.104E-02	8.208E-02
6.500E-03	4.460E-02	-4.460E-02	8.920E-02
7.500E-03	4.789E-02	-4.789E-02	9.577E-02
8.500E-03	5.096E-02	-5.096E-02	1.019E-01
9.500E-03	5.385E-02	-5.385E-02	1.077E-01
1.050E-02	5.659E-02	-5.659E-02	1.132E-01
1.150E-02	5.920E-02	-5.920E-02	1.184E-01
1.250E-02	6.169E-02	-6.169E-02	1.234E-01
1.350E-02	6.408E-02	-6.408E-02	1.282E-01
1.450E-02	6.639E-02	-6.639E-02	1.328E-01
1.550E-02	6.861E-02	-6.861E-02	1.372E-01
1.650E-02	7.076E-02	-7.076E-02	1.415E-01
1.750E-02	7.284E-02	-7.284E-02	1.457E-01
1.850E-02	7.486E-02	-7.486E-02	1.497E-01
1.950E-02	7.683E-02	-7.683E-02	1.537E-01
2.050E-02	7.874E-02	-7.874E-02	1.575E-01
2.150E-02	8.060E-02	-8.060E-02	1.612E-01
2.250E-02	8.242E-02	-8.242E-02	1.648E-01
2.350E-02	8.420E-02	-8.420E-02	1.684E-01
2.450E-02	8.593E-02	-8.593E-02	1.719E-01
2.550E-02	8.763E-02	-8.763E-02	1.753E-01
2.650E-02	8.930E-02	-8.930E-02	1.786E-01
2.750E-02	9.093E-02	-9.093E-02	1.819E-01
2.850E-02	9.253E-02	-9.253E-02	1.851E-01
2.950E-02	9.410E-02	-9.410E-02	1.882E-01
3.050E-02	9.564E-02	-9.564E-02	1.913E-01
3.150E-02	9.716E-02	-9.716E-02	1.943E-01
3.250E-02	9.865E-02	-9.865E-02	1.973E-01
3.350E-02	1.001E-01	-1.001E-01	2.002E-01
3.450E-02	1.016E-01	-1.016E-01	2.031E-01
3.550E-02	1.030E-01	-1.030E-01	2.059E-01
3.650E-02	1.044E-01	-1.044E-01	2.087E-01
3.750E-02	1.057E-01	-1.057E-01	2.115E-01
3.850E-02	1.071E-01	-1.071E-01	2.142E-01
3.950E-02	1.084E-01	-1.084E-01	2.169E-01
4.050E-02	1.098E-01	-1.098E-01	2.195E-01
4.150E-02	1.111E-01	-1.111E-01	2.221E-01
4.250E-02	1.123E-01	-1.123E-01	2.247E-01
4.350E-02	1.136E-01	-1.136E-01	2.272E-01
4.450E-02	1.149E-01	-1.149E-01	2.297E-01
4.550E-02	1.161E-01	-1.161E-01	2.322E-01
4.650E-02	1.173E-01	-1.173E-01	2.346E-01
4.750E-02	1.185E-01	-1.185E-01	2.370E-01
4.850E-02	1.197E-01	-1.197E-01	2.394E-01
4.950E-02	1.209E-01	-1.209E-01	2.418E-01
5.050E-02	1.221E-01	-1.221E-01	2.441E-01
5.150E-02	1.232E-01	-1.232E-01	2.464E-01
5.250E-02	1.243E-01	-1.243E-01	2.487E-01
5.350E-02	1.255E-01	-1.255E-01	2.510E-01
5.450E-02	1.266E-01	-1.266E-01	2.532E-01
5.550E-02	1.277E-01	-1.277E-01	2.554E-01
5.650E-02	1.288E-01	-1.288E-01	2.576E-01
5.750E-02	1.299E-01	-1.299E-01	2.597E-01
5.850E-02	1.309E-01	-1.309E-01	2.619E-01
5.950E-02	1.320E-01	-1.320E-01	2.640E-01
6.050E-02	1.331E-01	-1.331E-01	2.661E-01
6.150E-02	1.341E-01	-1.341E-01	2.682E-01
6.250E-02	1.351E-01	-1.351E-01	2.702E-01
6.350E-02	1.361E-01	-1.361E-01	2.723E-01
6.450E-02	1.372E-01	-1.372E-01	2.743E-01
6.550E-02	1.382E-01	-1.382E-01	2.763E-01
6.650E-02	1.392E-01	-1.392E-01	2.783E-01
6.750E-02	1.401E-01	-1.401E-01	2.803E-01
6.850E-02	1.411E-01	-1.411E-01	2.822E-01
6.950E-02	1.421E-01	-1.421E-01	2.842E-01
