Q0 = 0.9 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	7.144E-03	-7.144E-03	1.429E-02
1.009E-04	7.176E-03	-7.176E-03	1.435E-02
1.019E-04	7.209E-03	-7.209E-03	1.442E-02
1.028E-04	7.242E-03	-7.242E-03	1.448E-02
1.038E-04	7.275E-03	-7.275E-03	1.455E-02
1.047E-04	7.308E-03	-7.308E-03	1.462E-02
1.057E-04	7.341E-03	-7.341E-03	1.468E-02
1.067E-04	7.375E-03	-7.375E-03	1.475E-02
1.076E-04	7.408E-03	-7.408E-03	1.482E-02
1.086E-04	7.442E-03	-7.442E-03	1.488E-02
1.096E-04	7.476E-03	-7.476E-03	1.495E-02
1.107E-04	7.510E-03	-7.510E-03	1.502E-02
1.117E-04	7.544E-03	-7.544E-03	1.509E-02
1.127E-04	7.578E-03	-7.578E-03	1.516E-02
1.138E-04	7.613E-03	-7.613E-03	1.523E-02
1.148E-04	7.648E-03	-7.648E-03	1.530E-02
1.159E-04	7.682E-03	-7.682E-03	1.536E-02
1.169E-04	7.717E-03	-7.717E-03	1.543E-02
1.180E-04	7.752E-03	-7.752E-03	1.550E-02
1.191E-04	7.788E-03	-7.788E-03	1.558E-02
1.202E-04	7.823E-03	-7.823E-03	1.565E-02
1.213E-04	7.859E-03	-7.859E-03	1.572E-02
1.225E-04	7.895E-03	-7.895E-03	1.579E-02
1.236E-04	7.930E-03	-7.930E-03	1.586E-02
1.247E-04	7.967E-03	-7.967E-03	1.593E-02
1.259E-04	8.003E-03	-8.003E-03	1.601E-02
1.271E-04	8.039E-03	-8.039E-03	1.608E-02
1.282E-04	8.076E-03	-8.076E-03	1.615E-02
1.294E-04	8.113E-03	-8.113E-03	1.623E-02
1.306E-04	8.150E-03	-8.150E-03	1.630E-02
1.318E-04	8.187E-03	-8.187E-03	1.637E-02
1.330E-04	8.224E-03	-8.224E-03	1.645E-02
1.343E-04	8.261E-03	-8.261E-03	1.652E-02
1.355E-04	8.299E-03	-8.299E-03	1.660E-02
1.368E-04	8.337E-03	-8.337E-03	1.667E-02
1.380E-04	8.375E-03	-8.375E-03	1.675E-02
1.393E-04	8.413E-03	-8.413E-03	1.683E-02
1.406E-04	8.451E-03	-8.451E-03	1.690E-02
1.419E-04	8.489E-03	-8.489E-03	1.698E-02
1.432E-04	8.528E-03	-8.528E-03	1.706E-02
1.445E-04	8.567E-03	-8.567E-03	1.713E-02
1.459E-04	8.606E-03	-8.606E-03	1.721E-02
1.472E-04	8.645E-03	-8.645E-03	1.729E-02
1.486E-04	8.684E-03	-8.684E-03	1.737E-02
