Q0 = 0.8 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	4.686E-02	2.719E-02	1.966E-02
1.500E-03	7.595E-02	4.361E-02	3.234E-02
2.500E-03	9.449E-02	5.395E-02	4.054E-02
3.500E-03	1.088E-01	6.186E-02	4.692E-02
4.500E-03	1.206E-01	6.835E-02	5.226E-02
5.500E-03	1.308E-01	7.390E-02	5.689E-02
6.500E-03	1.398E-01	7.876E-02	6.101E-02
7.500E-03	1.478E-01	8.308E-02	6.473E-02
8.500E-03	1.551E-01	8.698E-02	6.814E-02
9.500E-03	1.618E-01	9.052E-02	7.129E-02
1.050E-02	1.680E-01	9.378E-02	7.422E-02
1.150E-02	1.737E-01	9.677E-02	7.696E-02
1.250E-02	1.791E-01	9.955E-02	7.954E-02
1.350E-02	1.841E-01	1.021E-01	8.197E-02
1.450E-02	1.888E-01	1.045E-01	8.428E-02
1.550E-02	1.933E-01	1.068E-01	8.647E-02
1.650E-02	1.975E-01	1.089E-01	8.856E-02
1.750E-02	2.015E-01	1.109E-01	9.056E-02
1.850E-02	2.053E-01	1.128E-01	9.247E-02
1.950E-02	2.089E-01	1.146E-01	9.430E-02
2.050E-02	2.123E-01	1.163E-01	9.606E-02
2.150E-02	2.156E-01	1.178E-01	9.775E-02
2.250E-02	2.187E-01	1.194E-01	9.938E-02
2.350E-02	2.217E-01	1.208E-01	1.010E-01
2.450E-02	2.246E-01	1.221E-01	1.025E-01
2.550E-02	2.274E-01	1.234E-01	1.039E-01
2.650E-02	2.300E-01	1.247E-01	1.054E-01
2.750E-02	2.326E-01	1.258E-01	1.067E-01
2.850E-02	2.350E-01	1.269E-01	1.081E-01
2.950E-02	2.373E-01	1.280E-01	1.094E-01
3.050E-02	2.396E-01	1.290E-01	1.106E-01
3.150E-02	2.418E-01	1.299E-01	1.118E-01
3.250E-02	2.439E-01	1.309E-01	1.130E-01
3.350E-02	2.459E-01	1.317E-01	1.142E-01
3.450E-02	2.478E-01	1.325E-01	1.153E-01
3.550E-02	2.497E-01	1.333E-01	1.164E-01
3.650E-02	2.515E-01	1.341E-01	1.174E-01
3.750E-02	2.533E-01	1.348E-01	1.185E-01
3.850E-02	2.549E-01	1.355E-01	1.195E-01
3.950E-02	2.566E-01	1.361E-01	1.204E-01
4.050E-02	2.581E-01	1.367E-01	1.214E-01
4.150E-02	2.597E-01	1.373E-01	1.223E-01
4.250E-02	2.611E-01	1.379E-01	1.232E-01
4.350E-02	2.625E-01	1.384E-01	1.241E-01
4.450E-02	2.639E-01	1.389E-01	1.250E-01
4.550E-02	2.652E-01	1.394E-01	1.258E-01
4.650E-02	2.665E-01	1.399E-01	1.266E-01
4.750E-02	2.677E-01	1.403E-01	1.274E-01
4.850E-02	2.689E-01	1.407E-01	1.282E-01
4.950E-02	2.701E-01	1.411E-01	1.290E-01
5.050E-02	2.712E-01	1.414E-01	1.297E-01
5.150E-02	2.723E-01	1.418E-01	1.305E-01
5.250E-02	2.733E-01	1.421E-01	1.312E-01
5.350E-02	2.743E-01	1.424E-01	1.319E-01
5.450E-02	2.753E-01	1.427E-01	1.326E-01
5.550E-02	2.762E-01	1.429E-01	1.332E-01
5.650E-02	2.771E-01	1.432E-01	1.339E-01
5.750E-02	2.780E-01	1.434E-01	1.345E-01
5.850E-02	2.788E-01	1.436E-01	1.352E-01
5.950E-02	2.796E-01	1.438E-01	1.358E-01
6.050E-02	2.804E-01	1.440E-01	1.364E-01
6.150E-02	2.811E-01	1.442E-01	1.370E-01
6.250E-02	2.819E-01	1.443E-01	1.375E-01
6.350E-02	2.826E-01	1.445E-01	1.381E-01
6.450E-02	2.832E-01	1.446E-01	1.386E-01
6.550E-02	2.839E-01	1.447E-01	1.392E-01
6.650E-02	2.845E-01	1.448E-01	1.397E-01
6.750E-02	2.851E-01	1.449E-01	1.402E-01
6.850E-02	2.857E-01	1.450E-01	1.407E-01
6.950E-02	2.862E-01	1.450E-01	1.412E-01
7.050E-02	2.868E-01	1.451E-01	1.417E-01
7.150E-02	2.873E-01	1.451E-01	1.422E-01
7.250E-02	2.878E-01	1.451E-01	1.426E-01
7.350E-02	2.882E-01	1.451E-01	1.431E-01
7.450E-02	2.887E-01	1.451E-01	1.435E-01
7.550E-02	2.891E-01	1.451E-01	1.440E-01
7.650E-02	2.895E-01	1.451E-01	1.444E-01
7.750E-02	2.899E-01	1.451E-01	1.448E-01
7.850E-02	2.903E-01	1.451E-01	1.452E-01
7.950E-02	2.906E-01	1.450E-01	1.456E-01
8.050E-02	2.909E-01	1.450E-01	1.460E-01
8.150E-02	2.913E-01	1.449E-01	1.464E-01
8.250E-02	2.916E-01	1.448E-01	1.467E-01
8.350E-02	2.918E-01	1.448E-01	1.471E-01
8.450E-02	2.921E-01	1.447E-01	1.474E-01
8.550E-02	2.924E-01	1.446E-01	1.478E-01
8.650E-02	2.926E-01	1.445E-01	1.481E-01
8.750E-02	2.928E-01	1.444E-01	1.484E-01
8.850E-02	2.930E-01	1.443E-01	1.488E-01
8.950E-02	2.932E-01	1.441E-01	1.491E-01
9.050E-02	2.934E-01	1.440E-01	1.494E-01
9.150E-02	2.936E-01	1.439E-01	1.497E-01
9.250E-02	2.937E-01	1.437E-01	1.500E-01
9.350E-02	2.938E-01	1.436E-01	1.503E-01
9.450E-02	2.940E-01	1.434E-01	1.506E-01
9.550E-02	2.941E-01	1.432E-01	1.508E-01
9.650E-02	2.942E-01	1.431E-01	1.511E-01
9.750E-02	2.943E-01	1.429E-01	1.514E-01
9.850E-02	2.943E-01	1.427E-01	1.516E-01
9.950E-02	2.944E-01	1.425E-01	1.519E-01
1.005E-01	2.944E-01	1.423E-01	1.521E-01
1.015E-01	2.945E-01	1.421E-01	1.523E-01
1.025E-01	2.945E-01	1.419E-01	1.526E-01
1.035E-01	2.945E-01	1.417E-01	1.528E-01
1.045E-01	2.945E-01	1.415E-01	1.530E-01
1.055E-01	2.945E-01	1.413E-01	1.532E-01
1.065E-01	2.945E-01	1.411E-01	1.534E-01
1.075E-01	2.945E-01	1.408E-01	1.536E-01
1.085E-01	2.944E-01	1.406E-01	1.538E-01
1.095E-01	2.944E-01	1.404E-01	1.540E-01
1.105E-01	2.943E-01	1.401E-01	1.542E-01
1.115E-01	2.942E-01	1.399E-01	1.544E-01
1.125E-01	2.942E-01	1.396E-01	1.545E-01
1.135E-01	2.941E-01	1.394E-01	1.547E-01
1.145E-01	2.940E-01	1.391E-01	1.549E-01
1.155E-01	2.939E-01	1.389E-01	1.550E-01
1.165E-01	2.938E-01	1.386E-01	1.552E-01
1.175E-01	2.937E-01	1.383E-01	1.553E-01
1.185E-01	2.935E-01	1.380E-01	1.555E-01
1.195E-01	2.934E-01	1.378E-01	1.556E-01
1.205E-01	2.932E-01	1.375E-01	1.557E-01
1.215E-01	2.931E-01	1.372E-01	1.559E-01
1.225E-01	2.929E-01	1.369E-01	1.560E-01
1.235E-01	2.927E-01	1.366E-01	1.561E-01
1.245E-01	2.926E-01	1.363E-01	1.562E-01
1.255E-01	2.924E-01	1.360E-01	1.563E-01
1.265E-01	2.922E-01	1.357E-01	1.564E-01
1.275E-01	2.920E-01	1.354E-01	1.566E-01
1.285E-01	2.918E-01	1.351E-01	1.566E-01
1.295E-01	2.916E-01	1.348E-01	1.567E-01
