Q0 = 3.2 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	2.906E-02	1.709E-02	1.198E-02
1.500E-03	5.022E-02	2.950E-02	2.073E-02
2.500E-03	6.469E-02	3.795E-02	2.674E-02
3.500E-03	7.636E-02	4.475E-02	3.161E-02
4.500E-03	8.639E-02	5.057E-02	3.581E-02
5.500E-03	9.528E-02	5.572E-02	3.956E-02
6.500E-03	1.033E-01	6.037E-02	4.297E-02
7.500E-03	1.107E-01	6.463E-02	4.612E-02
8.500E-03	1.176E-01	6.857E-02	4.906E-02
9.500E-03	1.241E-01	7.224E-02	5.182E-02
1.050E-02	1.301E-01	7.569E-02	5.443E-02
1.150E-02	1.359E-01	7.894E-02	5.692E-02
1.250E-02	1.413E-01	8.202E-02	5.929E-02
1.350E-02	1.465E-01	8.495E-02	6.157E-02
1.450E-02	1.515E-01	8.774E-02	6.375E-02
1.550E-02	1.563E-01	9.040E-02	6.586E-02
1.650E-02	1.608E-01	9.296E-02	6.789E-02
1.750E-02	1.653E-01	9.540E-02	6.985E-02
1.850E-02	1.695E-01	9.775E-02	7.176E-02
1.950E-02	1.736E-01	1.000E-01	7.361E-02
2.050E-02	1.776E-01	1.022E-01	7.541E-02
2.150E-02	1.815E-01	1.043E-01	7.716E-02
2.250E-02	1.852E-01	1.063E-01	7.886E-02
2.350E-02	1.888E-01	1.083E-01	8.052E-02
2.450E-02	1.923E-01	1.102E-01	8.215E-02
2.550E-02	1.958E-01	1.120E-01	8.373E-02
2.650E-02	1.991E-01	1.138E-01	8.528E-02
2.750E-02	2.023E-01	1.155E-01	8.680E-02
2.850E-02	2.055E-01	1.172E-01	8.828E-02
2.950E-02	2.086E-01	1.188E-01	8.973E-02
3.050E-02	2.116E-01	1.204E-01	9.116E-02
3.150E-02	2.145E-01	1.219E-01	9.256E-02
3.250E-02	2.174E-01	1.234E-01	9.393E-02
3.350E-02	2.202E-01	1.249E-01	9.527E-02
3.450E-02	2.229E-01	1.263E-01	9.660E-02
3.550E-02	2.256E-01	1.277E-01	9.789E-02
3.650E-02	2.282E-01	1.290E-01	9.917E-02
3.750E-02	2.307E-01	1.303E-01	1.004E-01
3.850E-02	2.332E-01	1.316E-01	1.017E-01
3.950E-02	2.357E-01	1.328E-01	1.029E-01
4.050E-02	2.380E-01	1.340E-01	1.041E-01
4.150E-02	2.404E-01	1.351E-01	1.052E-01
4.250E-02	2.427E-01	1.363E-01	1.064E-01
4.350E-02	2.449E-01	1.374E-01	1.075E-01
4.450E-02	2.471E-01	1.385E-01	1.087E-01
4.550E-02	2.493E-01	1.395E-01	1.098E-01
4.650E-02	2.514E-01	1.406E-01	1.109E-01
4.750E-02	2.535E-01	1.416E-01	1.119E-01
4.850E-02	2.555E-01	1.425E-01	1.130E-01
4.950E-02	2.575E-01	1.435E-01	1.141E-01
5.050E-02	2.595E-01	1.444E-01	1.151E-01
5.150E-02	2.614E-01	1.453E-01	1.161E-01
5.250E-02	2.633E-01	1.462E-01	1.171E-01
5.350E-02	2.652E-01	1.471E-01	1.181E-01
5.450E-02	2.670E-01	1.479E-01	1.191E-01
5.550E-02	2.688E-01	1.487E-01	1.201E-01
5.650E-02	2.705E-01	1.495E-01	1.210E-01
5.750E-02	2.722E-01	1.503E-01	1.220E-01
5.850E-02	2.739E-01	1.510E-01	1.229E-01
5.950E-02	2.756E-01	1.518E-01	1.238E-01
6.050E-02	2.772E-01	1.525E-01	1.247E-01
6.150E-02	2.788E-01	1.532E-01	1.256E-01
6.250E-02	2.804E-01	1.539E-01	1.265E-01
6.350E-02	2.819E-01	1.546E-01	1.274E-01
6.450E-02	2.835E-01	1.552E-01	1.282E-01
6.550E-02	2.849E-01	1.558E-01	1.291E-01
