Q0 = 0.8 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	2.842E-02	1.679E-02	1.163E-02
1.009E-04	2.854E-02	1.686E-02	1.168E-02
1.019E-04	2.866E-02	1.693E-02	1.173E-02
1.028E-04	2.878E-02	1.700E-02	1.178E-02
1.038E-04	2.891E-02	1.707E-02	1.183E-02
1.047E-04	2.903E-02	1.714E-02	1.189E-02
1.057E-04	2.915E-02	1.721E-02	1.194E-02
1.067E-04	2.928E-02	1.729E-02	1.199E-02
1.076E-04	2.940E-02	1.736E-02	1.204E-02
1.086E-04	2.953E-02	1.743E-02	1.210E-02
1.096E-04	2.965E-02	1.750E-02	1.215E-02
1.107E-04	2.978E-02	1.758E-02	1.220E-02
1.117E-04	2.991E-02	1.765E-02	1.226E-02
1.127E-04	3.003E-02	1.772E-02	1.231E-02
1.138E-04	3.016E-02	1.780E-02	1.236E-02
1.148E-04	3.029E-02	1.787E-02	1.242E-02
1.159E-04	3.042E-02	1.795E-02	1.247E-02
1.169E-04	3.055E-02	1.802E-02	1.253E-02
1.180E-04	3.068E-02	1.810E-02	1.258E-02
1.191E-04	3.081E-02	1.817E-02	1.264E-02
1.202E-04	3.094E-02	1.825E-02	1.269E-02
1.213E-04	3.107E-02	1.832E-02	1.275E-02
1.225E-04	3.120E-02	1.840E-02	1.281E-02
1.236E-04	3.134E-02	1.848E-02	1.286E-02
1.247E-04	3.147E-02	1.855E-02	1.292E-02
1.259E-04	3.160E-02	1.863E-02	1.297E-02
1.271E-04	3.174E-02	1.871E-02	1.303E-02
1.282E-04	3.187E-02	1.879E-02	1.309E-02
1.294E-04	3.201E-02	1.886E-02	1.315E-02
1.306E-04	3.215E-02	1.894E-02	1.320E-02
1.318E-04	3.228E-02	1.902E-02	1.326E-02
1.330E-04	3.242E-02	1.910E-02	1.332E-02
1.343E-04	3.256E-02	1.918E-02	1.338E-02
1.355E-04	3.270E-02	1.926E-02	1.344E-02
1.368E-04	3.283E-02	1.934E-02	1.350E-02
1.380E-04	3.297E-02	1.942E-02	1.355E-02
1.393E-04	3.311E-02	1.950E-02	1.361E-02
1.406E-04	3.326E-02	1.958E-02	1.367E-02
1.419E-04	3.340E-02	1.966E-02	1.373E-02
1.432E-04	3.354E-02	1.974E-02	1.379E-02
1.445E-04	3.368E-02	1.983E-02	1.385E-02
1.459E-04	3.382E-02	1.991E-02	1.391E-02
1.472E-04	3.397E-02	1.999E-02	1.398E-02
1.486E-04	3.411E-02	2.008E-02	1.404E-02
1.500E-04	3.426E-02	2.016E-02	1.410E-02
1.514E-04	3.440E-02	2.024E-02	1.416E-02
1.528E-04	3.455E-02	2.033E-02	1.422E-02
1.542E-04	3.470E-02	2.041E-02	1.428E-02
1.556E-04	3.484E-02	2.050E-02	1.435E-02
1.570E-04	3.499E-02	2.058E-02	1.441E-02
1.585E-04	3.514E-02	2.067E-02	1.447E-02
1.600E-04	3.529E-02	2.075E-02	1.454E-02
1.614E-04	3.544E-02	2.084E-02	1.460E-02
1.629E-04	3.559E-02	2.092E-02	1.466E-02
1.644E-04	3.574E-02	2.101E-02	1.473E-02
1.660E-04	3.589E-02	2.110E-02	1.479E-02
1.675E-04	3.604E-02	2.119E-02	1.486E-02
1.690E-04	3.620E-02	2.127E-02	1.492E-02
1.706E-04	3.635E-02	2.136E-02	1.499E-02
1.722E-04	3.650E-02	2.145E-02	1.505E-02
1.738E-04	3.666E-02	2.154E-02	1.512E-02
1.754E-04	3.681E-02	2.163E-02	1.518E-02
1.770E-04	3.697E-02	2.172E-02	1.525E-02
1.786E-04	3.713E-02	2.181E-02	1.532E-02
1.803E-04	3.728E-02	2.190E-02	1.538E-02
1.820E-04	3.744E-02	2.199E-02	1.545E-02
1.837E-04	3.760E-02	2.208E-02	1.552E-02
1.854E-04	3.776E-02	2.217E-02	1.559E-02
