Q0 = 0.8 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	2.119E-02	1.258E-02	8.603E-03
1.009E-04	2.128E-02	1.264E-02	8.642E-03
1.019E-04	2.137E-02	1.269E-02	8.681E-03
1.028E-04	2.146E-02	1.274E-02	8.720E-03
1.038E-04	2.156E-02	1.280E-02	8.759E-03
1.047E-04	2.165E-02	1.285E-02	8.798E-03
1.057E-04	2.174E-02	1.291E-02	8.838E-03
1.067E-04	2.184E-02	1.296E-02	8.877E-03
1.076E-04	2.193E-02	1.302E-02	8.917E-03
1.086E-04	2.203E-02	1.307E-02	8.957E-03
1.096E-04	2.212E-02	1.313E-02	8.997E-03
1.107E-04	2.222E-02	1.318E-02	9.038E-03
1.117E-04	2.232E-02	1.324E-02	9.078E-03
1.127E-04	2.241E-02	1.329E-02	9.119E-03
1.138E-04	2.251E-02	1.335E-02	9.160E-03
1.148E-04	2.261E-02	1.341E-02	9.201E-03
1.159E-04	2.270E-02	1.346E-02	9.242E-03
1.169E-04	2.280E-02	1.352E-02	9.284E-03
1.180E-04	2.290E-02	1.358E-02	9.325E-03
1.191E-04	2.300E-02	1.363E-02	9.367E-03
1.202E-04	2.310E-02	1.369E-02	9.409E-03
1.213E-04	2.320E-02	1.375E-02	9.451E-03
1.225E-04	2.330E-02	1.381E-02	9.494E-03
1.236E-04	2.340E-02	1.387E-02	9.536E-03
1.247E-04	2.350E-02	1.392E-02	9.579E-03
1.259E-04	2.361E-02	1.398E-02	9.622E-03
1.271E-04	2.371E-02	1.404E-02	9.665E-03
1.282E-04	2.381E-02	1.410E-02	9.708E-03
1.294E-04	2.391E-02	1.416E-02	9.752E-03
1.306E-04	2.402E-02	1.422E-02	9.796E-03
1.318E-04	2.412E-02	1.428E-02	9.840E-03
1.330E-04	2.423E-02	1.434E-02	9.884E-03
1.343E-04	2.433E-02	1.440E-02	9.928E-03
1.355E-04	2.444E-02	1.446E-02	9.972E-03
1.368E-04	2.454E-02	1.452E-02	1.002E-02
1.380E-04	2.465E-02	1.459E-02	1.006E-02
1.393E-04	2.475E-02	1.465E-02	1.011E-02
1.406E-04	2.486E-02	1.471E-02	1.015E-02
1.419E-04	2.497E-02	1.477E-02	1.020E-02
1.432E-04	2.508E-02	1.483E-02	1.024E-02
1.445E-04	2.519E-02	1.490E-02	1.029E-02
1.459E-04	2.529E-02	1.496E-02	1.034E-02
1.472E-04	2.540E-02	1.502E-02	1.038E-02
1.486E-04	2.551E-02	1.509E-02	1.043E-02
1.500E-04	2.562E-02	1.515E-02	1.047E-02
1.514E-04	2.573E-02	1.521E-02	1.052E-02
1.528E-04	2.585E-02	1.528E-02	1.057E-02
1.542E-04	2.596E-02	1.534E-02	1.062E-02
1.556E-04	2.607E-02	1.541E-02	1.066E-02
1.570E-04	2.618E-02	1.547E-02	1.071E-02
1.585E-04	2.630E-02	1.554E-02	1.076E-02
1.600E-04	2.641E-02	1.560E-02	1.081E-02
1.614E-04	2.652E-02	1.567E-02	1.086E-02
1.629E-04	2.664E-02	1.573E-02	1.090E-02
1.644E-04	2.675E-02	1.580E-02	1.095E-02
1.660E-04	2.687E-02	1.587E-02	1.100E-02
1.675E-04	2.699E-02	1.593E-02	1.105E-02
1.690E-04	2.710E-02	1.600E-02	1.110E-02
1.706E-04	2.722E-02	1.607E-02	1.115E-02
1.722E-04	2.734E-02	1.614E-02	1.120E-02
1.738E-04	2.746E-02	1.620E-02	1.125E-02
1.754E-04	2.757E-02	1.627E-02	1.130E-02
1.770E-04	2.769E-02	1.634E-02	1.135E-02
1.786E-04	2.781E-02	1.641E-02	1.140E-02
1.803E-04	2.793E-02	1.648E-02	1.145E-02
1.820E-04	2.805E-02	1.655E-02	1.150E-02
1.837E-04	2.817E-02	1.662E-02	1.156E-02
1.854E-04	2.830E-02	1.669E-02	1.161E-02
1.871E-04	2.842E-02	1.676E-02	1.166E-02
1.888E-04	2.854E-02	1.683E-02	1.171E-02
1.905E-04	2.867E-02	1.690E-02	1.176E-02
1.923E-04	2.879E-02	1.697E-02	1.182E-02
1.941E-04	2.891E-02	1.704E-02	1.187E-02
1.959E-04	2.904E-02	1.711E-02	1.192E-02
1.977E-04	2.916E-02	1.719E-02	1.198E-02
1.995E-04	2.929E-02	1.726E-02	1.203E-02
2.014E-04	2.942E-02	1.733E-02	1.208E-02
2.032E-04	2.954E-02	1.741E-02	1.214E-02
2.051E-04	2.967E-02	1.748E-02	1.219E-02
2.070E-04	2.980E-02	1.755E-02	1.225E-02
2.089E-04	2.993E-02	1.763E-02	1.230E-02
2.109E-04	3.006E-02	1.770E-02	1.236E-02
2.128E-04	3.019E-02	1.777E-02	1.241E-02
2.148E-04	3.032E-02	1.785E-02	1.247E-02
2.168E-04	3.045E-02	1.792E-02	1.252E-02
2.188E-04	3.058E-02	1.800E-02	1.258E-02
2.208E-04	3.071E-02	1.808E-02	1.264E-02
2.228E-04	3.084E-02	1.815E-02	1.269E-02
2.249E-04	3.098E-02	1.823E-02	1.275E-02
2.270E-04	3.111E-02	1.830E-02	1.281E-02
2.291E-04	3.124E-02	1.838E-02	1.286E-02
2.312E-04	3.138E-02	1.846E-02	1.292E-02
2.333E-04	3.151E-02	1.854E-02	1.298E-02
2.355E-04	3.165E-02	1.861E-02	1.304E-02
