Q0 = 0.8 GeV	 Q = 0.8 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.128E-02	6.632E-03	4.643E-03
1.009E-04	1.133E-02	6.663E-03	4.665E-03
1.019E-04	1.138E-02	6.694E-03	4.686E-03
1.028E-04	1.143E-02	6.725E-03	4.708E-03
1.038E-04	1.149E-02	6.756E-03	4.730E-03
1.047E-04	1.154E-02	6.787E-03	4.751E-03
1.057E-04	1.159E-02	6.818E-03	4.773E-03
1.067E-04	1.165E-02	6.850E-03	4.795E-03
1.076E-04	1.170E-02	6.882E-03	4.818E-03
1.086E-04	1.175E-02	6.913E-03	4.840E-03
1.096E-04	1.181E-02	6.945E-03	4.862E-03
1.107E-04	1.186E-02	6.977E-03	4.885E-03
1.117E-04	1.192E-02	7.010E-03	4.907E-03
1.127E-04	1.197E-02	7.042E-03	4.930E-03
1.138E-04	1.203E-02	7.075E-03	4.953E-03
1.148E-04	1.208E-02	7.107E-03	4.976E-03
1.159E-04	1.214E-02	7.140E-03	4.999E-03
1.169E-04	1.219E-02	7.173E-03	5.022E-03
1.180E-04	1.225E-02	7.206E-03	5.045E-03
1.191E-04	1.231E-02	7.240E-03	5.068E-03
1.202E-04	1.236E-02	7.273E-03	5.092E-03
1.213E-04	1.242E-02	7.307E-03	5.115E-03
1.225E-04	1.248E-02	7.340E-03	5.139E-03
1.236E-04	1.254E-02	7.374E-03	5.163E-03
1.247E-04	1.259E-02	7.408E-03	5.186E-03
1.259E-04	1.265E-02	7.443E-03	5.210E-03
1.271E-04	1.271E-02	7.477E-03	5.235E-03
1.282E-04	1.277E-02	7.512E-03	5.259E-03
1.294E-04	1.283E-02	7.546E-03	5.283E-03
1.306E-04	1.289E-02	7.581E-03	5.307E-03
1.318E-04	1.295E-02	7.616E-03	5.332E-03
1.330E-04	1.301E-02	7.651E-03	5.357E-03
1.343E-04	1.307E-02	7.687E-03	5.381E-03
1.355E-04	1.313E-02	7.722E-03	5.406E-03
1.368E-04	1.319E-02	7.758E-03	5.431E-03
1.380E-04	1.325E-02	7.794E-03	5.456E-03
1.393E-04	1.331E-02	7.830E-03	5.482E-03
1.406E-04	1.337E-02	7.866E-03	5.507E-03
1.419E-04	1.343E-02	7.902E-03	5.532E-03
1.432E-04	1.350E-02	7.939E-03	5.558E-03
1.445E-04	1.356E-02	7.976E-03	5.584E-03
1.459E-04	1.362E-02	8.013E-03	5.610E-03
1.472E-04	1.369E-02	8.050E-03	5.635E-03
1.486E-04	1.375E-02	8.087E-03	5.662E-03
1.500E-04	1.381E-02	8.124E-03	5.688E-03
1.514E-04	1.388E-02	8.162E-03	5.714E-03
1.528E-04	1.394E-02	8.200E-03	5.740E-03
1.542E-04	1.400E-02	8.237E-03	5.767E-03
1.556E-04	1.407E-02	8.275E-03	5.794E-03
1.570E-04	1.413E-02	8.314E-03	5.820E-03
1.585E-04	1.420E-02	8.352E-03	5.847E-03
1.600E-04	1.427E-02	8.391E-03	5.874E-03
1.614E-04	1.433E-02	8.430E-03	5.902E-03
1.629E-04	1.440E-02	8.469E-03	5.929E-03
1.644E-04	1.446E-02	8.508E-03	5.956E-03
1.660E-04	1.453E-02	8.547E-03	5.984E-03
1.675E-04	1.460E-02	8.587E-03	6.011E-03
1.690E-04	1.467E-02	8.626E-03	6.039E-03
1.706E-04	1.473E-02	8.666E-03	6.067E-03
1.722E-04	1.480E-02	8.706E-03	6.095E-03
