Q0 = 0.8 GeV	 Q = 0.8 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	2.253E-02	1.325E-02	9.280E-03
1.009E-04	2.264E-02	1.331E-02	9.322E-03
1.019E-04	2.274E-02	1.337E-02	9.365E-03
1.028E-04	2.284E-02	1.344E-02	9.409E-03
1.038E-04	2.295E-02	1.350E-02	9.452E-03
1.047E-04	2.306E-02	1.356E-02	9.496E-03
1.057E-04	2.316E-02	1.362E-02	9.539E-03
1.067E-04	2.327E-02	1.369E-02	9.583E-03
1.076E-04	2.338E-02	1.375E-02	9.628E-03
1.086E-04	2.348E-02	1.381E-02	9.672E-03
1.096E-04	2.359E-02	1.388E-02	9.717E-03
1.107E-04	2.370E-02	1.394E-02	9.762E-03
1.117E-04	2.381E-02	1.400E-02	9.807E-03
1.127E-04	2.392E-02	1.407E-02	9.852E-03
1.138E-04	2.403E-02	1.413E-02	9.897E-03
1.148E-04	2.414E-02	1.420E-02	9.943E-03
1.159E-04	2.425E-02	1.426E-02	9.989E-03
1.169E-04	2.436E-02	1.433E-02	1.003E-02
1.180E-04	2.448E-02	1.440E-02	1.008E-02
1.191E-04	2.459E-02	1.446E-02	1.013E-02
1.202E-04	2.470E-02	1.453E-02	1.017E-02
1.213E-04	2.482E-02	1.460E-02	1.022E-02
1.225E-04	2.493E-02	1.466E-02	1.027E-02
1.236E-04	2.505E-02	1.473E-02	1.032E-02
1.247E-04	2.516E-02	1.480E-02	1.036E-02
1.259E-04	2.528E-02	1.487E-02	1.041E-02
1.271E-04	2.540E-02	1.494E-02	1.046E-02
1.282E-04	2.551E-02	1.500E-02	1.051E-02
1.294E-04	2.563E-02	1.507E-02	1.056E-02
1.306E-04	2.575E-02	1.514E-02	1.060E-02
1.318E-04	2.587E-02	1.521E-02	1.065E-02
1.330E-04	2.599E-02	1.528E-02	1.070E-02
1.343E-04	2.611E-02	1.535E-02	1.075E-02
1.355E-04	2.623E-02	1.542E-02	1.080E-02
1.368E-04	2.635E-02	1.550E-02	1.085E-02
1.380E-04	2.647E-02	1.557E-02	1.090E-02
1.393E-04	2.659E-02	1.564E-02	1.095E-02
1.406E-04	2.671E-02	1.571E-02	1.100E-02
1.419E-04	2.684E-02	1.578E-02	1.105E-02
1.432E-04	2.696E-02	1.586E-02	1.110E-02
1.445E-04	2.708E-02	1.593E-02	1.116E-02
1.459E-04	2.721E-02	1.600E-02	1.121E-02
1.472E-04	2.734E-02	1.608E-02	1.126E-02
1.486E-04	2.746E-02	1.615E-02	1.131E-02
1.500E-04	2.759E-02	1.622E-02	1.136E-02
1.514E-04	2.772E-02	1.630E-02	1.142E-02
1.528E-04	2.784E-02	1.637E-02	1.147E-02
1.542E-04	2.797E-02	1.645E-02	1.152E-02
1.556E-04	2.810E-02	1.653E-02	1.157E-02
1.570E-04	2.823E-02	1.660E-02	1.163E-02
1.585E-04	2.836E-02	1.668E-02	1.168E-02
1.600E-04	2.849E-02	1.676E-02	1.174E-02
1.614E-04	2.862E-02	1.683E-02	1.179E-02
1.629E-04	2.875E-02	1.691E-02	1.184E-02
1.644E-04	2.889E-02	1.699E-02	1.190E-02
1.660E-04	2.902E-02	1.707E-02	1.195E-02
1.675E-04	2.915E-02	1.715E-02	1.201E-02
1.690E-04	2.929E-02	1.722E-02	1.206E-02
1.706E-04	2.942E-02	1.730E-02	1.212E-02
1.722E-04	2.956E-02	1.738E-02	1.218E-02
1.738E-04	2.969E-02	1.746E-02	1.223E-02
1.754E-04	2.983E-02	1.754E-02	1.229E-02
1.770E-04	2.997E-02	1.762E-02	1.234E-02
1.786E-04	3.011E-02	1.771E-02	1.240E-02
1.803E-04	3.025E-02	1.779E-02	1.246E-02
1.820E-04	3.039E-02	1.787E-02	1.252E-02
1.837E-04	3.053E-02	1.795E-02	1.257E-02
1.854E-04	3.067E-02	1.803E-02	1.263E-02
1.871E-04	3.081E-02	1.812E-02	1.269E-02
1.888E-04	3.095E-02	1.820E-02	1.275E-02
1.905E-04	3.109E-02	1.828E-02	1.281E-02
1.923E-04	3.124E-02	1.837E-02	1.287E-02
1.941E-04	3.138E-02	1.845E-02	1.293E-02
1.959E-04	3.152E-02	1.854E-02	1.299E-02
1.977E-04	3.167E-02	1.862E-02	1.305E-02
1.995E-04	3.182E-02	1.871E-02	1.311E-02
2.014E-04	3.196E-02	1.880E-02	1.317E-02
2.032E-04	3.211E-02	1.888E-02	1.323E-02
2.051E-04	3.226E-02	1.897E-02	1.329E-02
2.070E-04	3.241E-02	1.906E-02	1.335E-02
2.089E-04	3.256E-02	1.914E-02	1.341E-02
2.109E-04	3.271E-02	1.923E-02	1.347E-02
2.128E-04	3.286E-02	1.932E-02	1.354E-02
2.148E-04	3.301E-02	1.941E-02	1.360E-02
2.168E-04	3.316E-02	1.950E-02	1.366E-02
2.188E-04	3.331E-02	1.959E-02	1.372E-02
2.208E-04	3.347E-02	1.968E-02	1.379E-02
2.228E-04	3.362E-02	1.977E-02	1.385E-02
2.249E-04	3.378E-02	1.986E-02	1.391E-02
