Q0 = 1.1 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.271E-02	7.535E-03	5.170E-03
1.009E-04	1.277E-02	7.574E-03	5.198E-03
1.019E-04	1.284E-02	7.613E-03	5.225E-03
1.028E-04	1.291E-02	7.652E-03	5.253E-03
1.038E-04	1.297E-02	7.691E-03	5.281E-03
1.047E-04	1.304E-02	7.731E-03	5.310E-03
1.057E-04	1.311E-02	7.771E-03	5.338E-03
1.067E-04	1.318E-02	7.811E-03	5.367E-03
1.076E-04	1.325E-02	7.851E-03	5.395E-03
1.086E-04	1.332E-02	7.891E-03	5.424E-03
1.096E-04	1.338E-02	7.932E-03	5.453E-03
1.107E-04	1.345E-02	7.972E-03	5.482E-03
1.117E-04	1.352E-02	8.013E-03	5.512E-03
1.127E-04	1.360E-02	8.054E-03	5.541E-03
1.138E-04	1.367E-02	8.096E-03	5.571E-03
1.148E-04	1.374E-02	8.137E-03	5.601E-03
1.159E-04	1.381E-02	8.179E-03	5.630E-03
1.169E-04	1.388E-02	8.221E-03	5.661E-03
1.180E-04	1.395E-02	8.263E-03	5.691E-03
1.191E-04	1.403E-02	8.306E-03	5.721E-03
1.202E-04	1.410E-02	8.349E-03	5.752E-03
1.213E-04	1.417E-02	8.391E-03	5.783E-03
1.225E-04	1.425E-02	8.435E-03	5.813E-03
1.236E-04	1.432E-02	8.478E-03	5.845E-03
1.247E-04	1.440E-02	8.521E-03	5.876E-03
1.259E-04	1.447E-02	8.565E-03	5.907E-03
1.271E-04	1.455E-02	8.609E-03	5.939E-03
1.282E-04	1.462E-02	8.653E-03	5.970E-03
1.294E-04	1.470E-02	8.698E-03	6.002E-03
1.306E-04	1.478E-02	8.743E-03	6.034E-03
1.318E-04	1.485E-02	8.787E-03	6.067E-03
1.330E-04	1.493E-02	8.833E-03	6.099E-03
1.343E-04	1.501E-02	8.878E-03	6.132E-03
1.355E-04	1.509E-02	8.924E-03	6.164E-03
1.368E-04	1.517E-02	8.969E-03	6.197E-03
1.380E-04	1.525E-02	9.016E-03	6.231E-03
1.393E-04	1.533E-02	9.062E-03	6.264E-03
1.406E-04	1.541E-02	9.108E-03	6.297E-03
1.419E-04	1.549E-02	9.155E-03	6.331E-03
1.432E-04	1.557E-02	9.202E-03	6.365E-03
1.445E-04	1.565E-02	9.249E-03	6.399E-03
1.459E-04	1.573E-02	9.297E-03	6.433E-03
1.472E-04	1.581E-02	9.345E-03	6.467E-03
1.486E-04	1.589E-02	9.393E-03	6.502E-03
1.500E-04	1.598E-02	9.441E-03	6.536E-03
1.514E-04	1.606E-02	9.489E-03	6.571E-03
1.528E-04	1.614E-02	9.538E-03	6.606E-03
1.542E-04	1.623E-02	9.587E-03	6.642E-03
1.556E-04	1.631E-02	9.636E-03	6.677E-03
1.570E-04	1.640E-02	9.686E-03	6.713E-03
1.585E-04	1.648E-02	9.736E-03	6.749E-03
1.600E-04	1.657E-02	9.786E-03	6.785E-03
1.614E-04	1.666E-02	9.836E-03	6.821E-03
1.629E-04	1.674E-02	9.886E-03	6.857E-03
1.644E-04	1.683E-02	9.937E-03	6.894E-03
1.660E-04	1.692E-02	9.988E-03	6.931E-03
1.675E-04	1.701E-02	1.004E-02	6.968E-03
1.690E-04	1.710E-02	1.009E-02	7.005E-03
1.706E-04	1.719E-02	1.014E-02	7.042E-03
1.722E-04	1.727E-02	1.019E-02	7.080E-03
1.738E-04	1.736E-02	1.025E-02	7.118E-03
1.754E-04	1.746E-02	1.030E-02	7.156E-03
1.770E-04	1.755E-02	1.035E-02	7.194E-03
1.786E-04	1.764E-02	1.041E-02	7.232E-03
1.803E-04	1.773E-02	1.046E-02	7.271E-03
1.820E-04	1.782E-02	1.051E-02	7.310E-03
1.837E-04	1.792E-02	1.057E-02	7.349E-03
1.854E-04	1.801E-02	1.062E-02	7.388E-03
1.871E-04	1.810E-02	1.068E-02	7.427E-03
1.888E-04	1.820E-02	1.073E-02	7.467E-03
1.905E-04	1.829E-02	1.079E-02	7.507E-03
1.923E-04	1.839E-02	1.084E-02	7.547E-03
1.941E-04	1.848E-02	1.090E-02	7.587E-03
1.959E-04	1.858E-02	1.095E-02	7.628E-03
1.977E-04	1.868E-02	1.101E-02	7.668E-03
1.995E-04	1.877E-02	1.107E-02	7.709E-03
2.014E-04	1.887E-02	1.112E-02	7.750E-03
2.032E-04	1.897E-02	1.118E-02	7.792E-03
2.051E-04	1.907E-02	1.124E-02	7.833E-03
2.070E-04	1.917E-02	1.129E-02	7.875E-03
2.089E-04	1.927E-02	1.135E-02	7.917E-03
2.109E-04	1.937E-02	1.141E-02	7.959E-03
2.128E-04	1.947E-02	1.147E-02	8.002E-03
2.148E-04	1.957E-02	1.153E-02	8.044E-03
2.168E-04	1.967E-02	1.159E-02	8.087E-03
2.188E-04	1.978E-02	1.165E-02	8.130E-03
2.208E-04	1.988E-02	1.171E-02	8.174E-03
2.228E-04	1.998E-02	1.177E-02	8.217E-03
2.249E-04	2.009E-02	1.183E-02	8.261E-03
2.270E-04	2.019E-02	1.189E-02	8.305E-03
2.291E-04	2.030E-02	1.195E-02	8.350E-03
