Q0 = 0.9 GeV	 Q = 0.9 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	2.394E-03	1.408E-03	9.859E-04
1.009E-04	2.411E-03	1.418E-03	9.927E-04
1.019E-04	2.428E-03	1.428E-03	9.996E-04
1.028E-04	2.444E-03	1.438E-03	1.007E-03
1.038E-04	2.461E-03	1.448E-03	1.014E-03
1.047E-04	2.479E-03	1.458E-03	1.021E-03
1.057E-04	2.496E-03	1.468E-03	1.028E-03
1.067E-04	2.513E-03	1.478E-03	1.035E-03
1.076E-04	2.531E-03	1.489E-03	1.042E-03
1.086E-04	2.548E-03	1.499E-03	1.049E-03
1.096E-04	2.566E-03	1.509E-03	1.057E-03
1.107E-04	2.584E-03	1.520E-03	1.064E-03
1.117E-04	2.602E-03	1.530E-03	1.071E-03
1.127E-04	2.620E-03	1.541E-03	1.079E-03
1.138E-04	2.638E-03	1.552E-03	1.086E-03
1.148E-04	2.656E-03	1.562E-03	1.094E-03
1.159E-04	2.675E-03	1.573E-03	1.101E-03
1.169E-04	2.693E-03	1.584E-03	1.109E-03
1.180E-04	2.712E-03	1.595E-03	1.117E-03
1.191E-04	2.731E-03	1.606E-03	1.124E-03
1.202E-04	2.750E-03	1.617E-03	1.132E-03
1.213E-04	2.769E-03	1.629E-03	1.140E-03
1.225E-04	2.788E-03	1.640E-03	1.148E-03
1.236E-04	2.807E-03	1.651E-03	1.156E-03
1.247E-04	2.827E-03	1.663E-03	1.164E-03
1.259E-04	2.847E-03	1.674E-03	1.172E-03
1.271E-04	2.866E-03	1.686E-03	1.180E-03
1.282E-04	2.886E-03	1.698E-03	1.188E-03
1.294E-04	2.906E-03	1.710E-03	1.197E-03
1.306E-04	2.926E-03	1.721E-03	1.205E-03
1.318E-04	2.947E-03	1.733E-03	1.213E-03
1.330E-04	2.967E-03	1.745E-03	1.222E-03
1.343E-04	2.988E-03	1.758E-03	1.230E-03
1.355E-04	3.009E-03	1.770E-03	1.239E-03
1.368E-04	3.030E-03	1.782E-03	1.247E-03
1.380E-04	3.051E-03	1.794E-03	1.256E-03
1.393E-04	3.072E-03	1.807E-03	1.265E-03
1.406E-04	3.093E-03	1.819E-03	1.274E-03
1.419E-04	3.115E-03	1.832E-03	1.282E-03
1.432E-04	3.136E-03	1.845E-03	1.291E-03
1.445E-04	3.158E-03	1.858E-03	1.300E-03
1.459E-04	3.180E-03	1.871E-03	1.309E-03
1.472E-04	3.202E-03	1.884E-03	1.319E-03
1.486E-04	3.224E-03	1.897E-03	1.328E-03
1.500E-04	3.247E-03	1.910E-03	1.337E-03
1.514E-04	3.269E-03	1.923E-03	1.346E-03
1.528E-04	3.292E-03	1.936E-03	1.356E-03
1.542E-04	3.315E-03	1.950E-03	1.365E-03
1.556E-04	3.338E-03	1.963E-03	1.374E-03
1.570E-04	3.361E-03	1.977E-03	1.384E-03
1.585E-04	3.385E-03	1.991E-03	1.394E-03
1.600E-04	3.408E-03	2.005E-03	1.403E-03
1.614E-04	3.432E-03	2.019E-03	1.413E-03
1.629E-04	3.456E-03	2.033E-03	1.423E-03
1.644E-04	3.480E-03	2.047E-03	1.433E-03
1.660E-04	3.504E-03	2.061E-03	1.443E-03
1.675E-04	3.528E-03	2.075E-03	1.453E-03
1.690E-04	3.553E-03	2.090E-03	1.463E-03
1.706E-04	3.577E-03	2.104E-03	1.473E-03
1.722E-04	3.602E-03	2.119E-03	1.483E-03
1.738E-04	3.627E-03	2.134E-03	1.494E-03
1.754E-04	3.652E-03	2.149E-03	1.504E-03
1.770E-04	3.678E-03	2.163E-03	1.514E-03
1.786E-04	3.703E-03	2.178E-03	1.525E-03
1.803E-04	3.729E-03	2.194E-03	1.536E-03
1.820E-04	3.755E-03	2.209E-03	1.546E-03
1.837E-04	3.781E-03	2.224E-03	1.557E-03
1.854E-04	3.807E-03	2.240E-03	1.568E-03
1.871E-04	3.834E-03	2.255E-03	1.579E-03
1.888E-04	3.861E-03	2.271E-03	1.590E-03
1.905E-04	3.887E-03	2.287E-03	1.601E-03
1.923E-04	3.915E-03	2.303E-03	1.612E-03
1.941E-04	3.942E-03	2.319E-03	1.623E-03
1.959E-04	3.969E-03	2.335E-03	1.634E-03
1.977E-04	3.997E-03	2.351E-03	1.646E-03
1.995E-04	4.025E-03	2.367E-03	1.657E-03
2.014E-04	4.053E-03	2.384E-03	1.669E-03
2.032E-04	4.081E-03	2.400E-03	1.680E-03
2.051E-04	4.109E-03	2.417E-03	1.692E-03
2.070E-04	4.138E-03	2.434E-03	1.704E-03
2.089E-04	4.166E-03	2.451E-03	1.716E-03
2.109E-04	4.195E-03	2.468E-03	1.728E-03
2.128E-04	4.225E-03	2.485E-03	1.740E-03
2.148E-04	4.254E-03	2.502E-03	1.752E-03
2.168E-04	4.284E-03	2.520E-03	1.764E-03
2.188E-04	4.313E-03	2.537E-03	1.776E-03
2.208E-04	4.343E-03	2.555E-03	1.788E-03
2.228E-04	4.374E-03	2.573E-03	1.801E-03
2.249E-04	4.404E-03	2.591E-03	1.813E-03
2.270E-04	4.435E-03	2.609E-03	1.826E-03
2.291E-04	4.465E-03	2.627E-03	1.839E-03
2.312E-04	4.497E-03	2.645E-03	1.852E-03
2.333E-04	4.528E-03	2.663E-03	1.864E-03
