Q0 = 1.087 GeV	 Q = 3.162 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.751E-02	1.024E-02	7.269E-03
1.009E-04	1.759E-02	1.028E-02	7.302E-03
1.019E-04	1.767E-02	1.033E-02	7.336E-03
1.028E-04	1.775E-02	1.038E-02	7.370E-03
1.038E-04	1.783E-02	1.042E-02	7.403E-03
1.047E-04	1.791E-02	1.047E-02	7.437E-03
1.057E-04	1.799E-02	1.052E-02	7.472E-03
1.067E-04	1.807E-02	1.057E-02	7.506E-03
1.076E-04	1.816E-02	1.062E-02	7.540E-03
1.086E-04	1.824E-02	1.066E-02	7.575E-03
1.096E-04	1.832E-02	1.071E-02	7.610E-03
1.107E-04	1.841E-02	1.076E-02	7.645E-03
1.117E-04	1.849E-02	1.081E-02	7.680E-03
1.127E-04	1.857E-02	1.086E-02	7.715E-03
1.138E-04	1.866E-02	1.091E-02	7.750E-03
1.148E-04	1.874E-02	1.096E-02	7.786E-03
1.159E-04	1.883E-02	1.101E-02	7.822E-03
1.169E-04	1.892E-02	1.106E-02	7.858E-03
1.180E-04	1.900E-02	1.111E-02	7.894E-03
1.191E-04	1.909E-02	1.116E-02	7.930E-03
1.202E-04	1.918E-02	1.121E-02	7.966E-03
1.213E-04	1.926E-02	1.126E-02	8.003E-03
1.225E-04	1.935E-02	1.131E-02	8.040E-03
1.236E-04	1.944E-02	1.136E-02	8.076E-03
1.247E-04	1.953E-02	1.142E-02	8.113E-03
1.259E-04	1.962E-02	1.147E-02	8.151E-03
1.271E-04	1.971E-02	1.152E-02	8.188E-03
1.282E-04	1.980E-02	1.157E-02	8.226E-03
1.294E-04	1.989E-02	1.162E-02	8.263E-03
1.306E-04	1.998E-02	1.168E-02	8.301E-03
1.318E-04	2.007E-02	1.173E-02	8.339E-03
1.330E-04	2.016E-02	1.178E-02	8.378E-03
1.343E-04	2.025E-02	1.184E-02	8.416E-03
1.355E-04	2.035E-02	1.189E-02	8.455E-03
1.368E-04	2.044E-02	1.195E-02	8.494E-03
1.380E-04	2.053E-02	1.200E-02	8.533E-03
1.393E-04	2.063E-02	1.205E-02	8.572E-03
1.406E-04	2.072E-02	1.211E-02	8.611E-03
1.419E-04	2.082E-02	1.216E-02	8.651E-03
1.432E-04	2.091E-02	1.222E-02	8.690E-03
1.445E-04	2.101E-02	1.228E-02	8.730E-03
1.459E-04	2.110E-02	1.233E-02	8.770E-03
1.472E-04	2.120E-02	1.239E-02	8.811E-03
1.486E-04	2.129E-02	1.244E-02	8.851E-03
1.500E-04	2.139E-02	1.250E-02	8.892E-03
1.514E-04	2.149E-02	1.256E-02	8.932E-03
1.528E-04	2.159E-02	1.261E-02	8.973E-03
1.542E-04	2.169E-02	1.267E-02	9.015E-03
1.556E-04	2.179E-02	1.273E-02	9.056E-03
1.570E-04	2.188E-02	1.279E-02	9.098E-03
1.585E-04	2.198E-02	1.285E-02	9.139E-03
1.600E-04	2.208E-02	1.290E-02	9.181E-03
1.614E-04	2.219E-02	1.296E-02	9.223E-03
1.629E-04	2.229E-02	1.302E-02	9.266E-03
1.644E-04	2.239E-02	1.308E-02	9.308E-03
1.660E-04	2.249E-02	1.314E-02	9.351E-03
1.675E-04	2.259E-02	1.320E-02	9.394E-03
1.690E-04	2.270E-02	1.326E-02	9.437E-03
1.706E-04	2.280E-02	1.332E-02	9.480E-03
1.722E-04	2.290E-02	1.338E-02	9.524E-03
1.738E-04	2.301E-02	1.344E-02	9.568E-03
1.754E-04	2.311E-02	1.350E-02	9.612E-03
1.770E-04	2.322E-02	1.356E-02	9.656E-03
1.786E-04	2.333E-02	1.363E-02	9.700E-03
1.803E-04	2.343E-02	1.369E-02	9.744E-03
1.820E-04	2.354E-02	1.375E-02	9.789E-03
1.837E-04	2.365E-02	1.381E-02	9.834E-03
1.854E-04	2.375E-02	1.387E-02	9.879E-03
1.871E-04	2.386E-02	1.394E-02	9.925E-03
1.888E-04	2.397E-02	1.400E-02	9.970E-03
1.905E-04	2.408E-02	1.406E-02	1.002E-02
1.923E-04	2.419E-02	1.413E-02	1.006E-02
1.941E-04	2.430E-02	1.419E-02	1.011E-02
1.959E-04	2.441E-02	1.426E-02	1.015E-02
1.977E-04	2.452E-02	1.432E-02	1.020E-02
1.995E-04	2.464E-02	1.439E-02	1.025E-02
2.014E-04	2.475E-02	1.445E-02	1.030E-02
2.032E-04	2.486E-02	1.452E-02	1.034E-02
2.051E-04	2.497E-02	1.458E-02	1.039E-02
2.070E-04	2.509E-02	1.465E-02	1.044E-02
2.089E-04	2.520E-02	1.472E-02	1.049E-02
2.109E-04	2.532E-02	1.478E-02	1.053E-02
2.128E-04	2.543E-02	1.485E-02	1.058E-02
2.148E-04	2.555E-02	1.492E-02	1.063E-02
2.168E-04	2.567E-02	1.499E-02	1.068E-02
2.188E-04	2.578E-02	1.505E-02	1.073E-02
2.208E-04	2.590E-02	1.512E-02	1.078E-02
2.228E-04	2.602E-02	1.519E-02	1.083E-02
2.249E-04	2.614E-02	1.526E-02	1.088E-02
2.270E-04	2.626E-02	1.533E-02	1.093E-02
2.291E-04	2.638E-02	1.540E-02	1.098E-02
2.312E-04	2.650E-02	1.547E-02	1.103E-02
2.333E-04	2.662E-02	1.554E-02	1.108E-02
2.355E-04	2.674E-02	1.561E-02	1.113E-02
2.377E-04	2.686E-02	1.568E-02	1.118E-02
2.399E-04	2.698E-02	1.575E-02	1.123E-02
2.421E-04	2.711E-02	1.582E-02	1.128E-02
2.443E-04	2.723E-02	1.590E-02	1.133E-02
