Q0 = 0.9 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.948E-02	1.156E-02	7.921E-03
1.009E-04	1.957E-02	1.161E-02	7.957E-03
1.019E-04	1.966E-02	1.166E-02	7.993E-03
1.028E-04	1.974E-02	1.171E-02	8.030E-03
1.038E-04	1.983E-02	1.176E-02	8.066E-03
1.047E-04	1.992E-02	1.181E-02	8.103E-03
1.057E-04	2.000E-02	1.186E-02	8.139E-03
1.067E-04	2.009E-02	1.192E-02	8.176E-03
1.076E-04	2.018E-02	1.197E-02	8.213E-03
1.086E-04	2.027E-02	1.202E-02	8.251E-03
1.096E-04	2.036E-02	1.207E-02	8.288E-03
1.107E-04	2.045E-02	1.212E-02	8.325E-03
1.117E-04	2.054E-02	1.217E-02	8.363E-03
1.127E-04	2.063E-02	1.223E-02	8.401E-03
1.138E-04	2.072E-02	1.228E-02	8.439E-03
1.148E-04	2.081E-02	1.233E-02	8.477E-03
1.159E-04	2.090E-02	1.239E-02	8.516E-03
1.169E-04	2.099E-02	1.244E-02	8.554E-03
1.180E-04	2.109E-02	1.249E-02	8.593E-03
1.191E-04	2.118E-02	1.255E-02	8.632E-03
1.202E-04	2.127E-02	1.260E-02	8.671E-03
1.213E-04	2.137E-02	1.265E-02	8.710E-03
1.225E-04	2.146E-02	1.271E-02	8.750E-03
1.236E-04	2.155E-02	1.276E-02	8.790E-03
1.247E-04	2.165E-02	1.282E-02	8.829E-03
1.259E-04	2.174E-02	1.287E-02	8.869E-03
1.271E-04	2.184E-02	1.293E-02	8.910E-03
1.282E-04	2.193E-02	1.298E-02	8.950E-03
1.294E-04	2.203E-02	1.304E-02	8.991E-03
1.306E-04	2.213E-02	1.310E-02	9.031E-03
1.318E-04	2.223E-02	1.315E-02	9.072E-03
1.330E-04	2.232E-02	1.321E-02	9.113E-03
1.343E-04	2.242E-02	1.327E-02	9.155E-03
1.355E-04	2.252E-02	1.332E-02	9.196E-03
