Q0 = 0.9 GeV	 Q = 0.9 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.124E-02	6.609E-03	4.627E-03
1.009E-04	1.129E-02	6.640E-03	4.648E-03
1.019E-04	1.134E-02	6.670E-03	4.670E-03
1.028E-04	1.139E-02	6.701E-03	4.691E-03
1.038E-04	1.145E-02	6.732E-03	4.713E-03
1.047E-04	1.150E-02	6.763E-03	4.735E-03
1.057E-04	1.155E-02	6.795E-03	4.757E-03
1.067E-04	1.160E-02	6.826E-03	4.779E-03
1.076E-04	1.166E-02	6.858E-03	4.801E-03
1.086E-04	1.171E-02	6.889E-03	4.823E-03
1.096E-04	1.177E-02	6.921E-03	4.845E-03
1.107E-04	1.182E-02	6.953E-03	4.868E-03
1.117E-04	1.188E-02	6.986E-03	4.890E-03
1.127E-04	1.193E-02	7.018E-03	4.913E-03
1.138E-04	1.199E-02	7.050E-03	4.936E-03
1.148E-04	1.204E-02	7.083E-03	4.959E-03
1.159E-04	1.210E-02	7.116E-03	4.982E-03
1.169E-04	1.215E-02	7.149E-03	5.005E-03
1.180E-04	1.221E-02	7.182E-03	5.028E-03
1.191E-04	1.227E-02	7.215E-03	5.051E-03
1.202E-04	1.232E-02	7.248E-03	5.074E-03
1.213E-04	1.238E-02	7.282E-03	5.098E-03
1.225E-04	1.244E-02	7.316E-03	5.122E-03
1.236E-04	1.249E-02	7.350E-03	5.145E-03
1.247E-04	1.255E-02	7.384E-03	5.169E-03
1.259E-04	1.261E-02	7.418E-03	5.193E-03
1.271E-04	1.267E-02	7.452E-03	5.217E-03
1.282E-04	1.273E-02	7.487E-03	5.241E-03
1.294E-04	1.279E-02	7.521E-03	5.266E-03
1.306E-04	1.285E-02	7.556E-03	5.290E-03
1.318E-04	1.291E-02	7.591E-03	5.314E-03
1.330E-04	1.297E-02	7.626E-03	5.339E-03
1.343E-04	1.303E-02	7.662E-03	5.364E-03
1.355E-04	1.309E-02	7.697E-03	5.389E-03
1.368E-04	1.315E-02	7.733E-03	5.414E-03
1.380E-04	1.321E-02	7.769E-03	5.439E-03
1.393E-04	1.327E-02	7.805E-03	5.464E-03
1.406E-04	1.333E-02	7.841E-03	5.489E-03
1.419E-04	1.339E-02	7.877E-03	5.515E-03
1.432E-04	1.345E-02	7.913E-03	5.540E-03
1.445E-04	1.352E-02	7.950E-03	5.566E-03
1.459E-04	1.358E-02	7.987E-03	5.592E-03
1.472E-04	1.364E-02	8.024E-03	5.617E-03
1.486E-04	1.370E-02	8.061E-03	5.643E-03
1.500E-04	1.377E-02	8.098E-03	5.670E-03
1.514E-04	1.383E-02	8.136E-03	5.696E-03
1.528E-04	1.390E-02	8.174E-03	5.722E-03
1.542E-04	1.396E-02	8.212E-03	5.749E-03
1.556E-04	1.402E-02	8.250E-03	5.775E-03
1.570E-04	1.409E-02	8.288E-03	5.802E-03
1.585E-04	1.416E-02	8.326E-03	5.829E-03
1.600E-04	1.422E-02	8.365E-03	5.856E-03
1.614E-04	1.429E-02	8.403E-03	5.883E-03
1.629E-04	1.435E-02	8.442E-03	5.911E-03
1.644E-04	1.442E-02	8.482E-03	5.938E-03
1.660E-04	1.449E-02	8.521E-03	5.965E-03
1.675E-04	1.455E-02	8.560E-03	5.993E-03
1.690E-04	1.462E-02	8.600E-03	6.021E-03
1.706E-04	1.469E-02	8.640E-03	6.049E-03
1.722E-04	1.476E-02	8.680E-03	6.077E-03
1.738E-04	1.483E-02	8.720E-03	6.105E-03
1.754E-04	1.489E-02	8.761E-03	6.133E-03
1.770E-04	1.496E-02	8.801E-03	6.162E-03
1.786E-04	1.503E-02	8.842E-03	6.190E-03
1.803E-04	1.510E-02	8.883E-03	6.219E-03
1.820E-04	1.517E-02	8.924E-03	6.248E-03
1.837E-04	1.524E-02	8.965E-03	6.277E-03
1.854E-04	1.531E-02	9.007E-03	6.306E-03
1.871E-04	1.538E-02	9.049E-03	6.335E-03
1.888E-04	1.546E-02	9.091E-03	6.365E-03
1.905E-04	1.553E-02	9.133E-03	6.394E-03
1.923E-04	1.560E-02	9.175E-03	6.424E-03
1.941E-04	1.567E-02	9.218E-03	6.453E-03
1.959E-04	1.574E-02	9.260E-03	6.483E-03
1.977E-04	1.582E-02	9.303E-03	6.513E-03
1.995E-04	1.589E-02	9.347E-03	6.544E-03
2.014E-04	1.596E-02	9.390E-03	6.574E-03
2.032E-04	1.604E-02	9.433E-03	6.605E-03
