Q0 = 1.057 GeV	 Q = 3.162 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.830E-02	1.083E-02	7.472E-03
1.009E-04	1.838E-02	1.088E-02	7.506E-03
1.019E-04	1.846E-02	1.092E-02	7.540E-03
1.028E-04	1.855E-02	1.097E-02	7.575E-03
1.038E-04	1.863E-02	1.102E-02	7.609E-03
1.047E-04	1.871E-02	1.107E-02	7.644E-03
1.057E-04	1.880E-02	1.112E-02	7.679E-03
1.067E-04	1.888E-02	1.117E-02	7.714E-03
1.076E-04	1.896E-02	1.122E-02	7.749E-03
1.086E-04	1.905E-02	1.126E-02	7.784E-03
1.096E-04	1.913E-02	1.131E-02	7.820E-03
1.107E-04	1.922E-02	1.136E-02	7.856E-03
1.117E-04	1.931E-02	1.141E-02	7.891E-03
1.127E-04	1.939E-02	1.146E-02	7.927E-03
1.138E-04	1.948E-02	1.152E-02	7.963E-03
1.148E-04	1.957E-02	1.157E-02	8.000E-03
1.159E-04	1.965E-02	1.162E-02	8.036E-03
1.169E-04	1.974E-02	1.167E-02	8.073E-03
1.180E-04	1.983E-02	1.172E-02	8.110E-03
1.191E-04	1.992E-02	1.177E-02	8.147E-03
1.202E-04	2.001E-02	1.182E-02	8.184E-03
1.213E-04	2.010E-02	1.187E-02	8.221E-03
1.225E-04	2.019E-02	1.193E-02	8.259E-03
1.236E-04	2.028E-02	1.198E-02	8.296E-03
1.247E-04	2.037E-02	1.203E-02	8.334E-03
1.259E-04	2.046E-02	1.208E-02	8.372E-03
1.271E-04	2.055E-02	1.214E-02	8.410E-03
1.282E-04	2.064E-02	1.219E-02	8.449E-03
1.294E-04	2.073E-02	1.225E-02	8.487E-03
1.306E-04	2.082E-02	1.230E-02	8.526E-03
1.318E-04	2.092E-02	1.235E-02	8.565E-03
1.330E-04	2.101E-02	1.241E-02	8.604E-03
1.343E-04	2.110E-02	1.246E-02	8.643E-03
1.355E-04	2.120E-02	1.252E-02	8.682E-03
1.368E-04	2.129E-02	1.257E-02	8.722E-03
1.380E-04	2.139E-02	1.263E-02	8.762E-03
1.393E-04	2.148E-02	1.268E-02	8.802E-03
1.406E-04	2.158E-02	1.274E-02	8.842E-03
1.419E-04	2.168E-02	1.279E-02	8.882E-03
1.432E-04	2.177E-02	1.285E-02	8.922E-03
1.445E-04	2.187E-02	1.291E-02	8.963E-03
1.459E-04	2.197E-02	1.296E-02	9.004E-03
1.472E-04	2.207E-02	1.302E-02	9.045E-03
1.486E-04	2.216E-02	1.308E-02	9.086E-03
1.500E-04	2.226E-02	1.314E-02	9.128E-03
1.514E-04	2.236E-02	1.319E-02	9.169E-03
1.528E-04	2.246E-02	1.325E-02	9.211E-03
1.542E-04	2.256E-02	1.331E-02	9.253E-03
1.556E-04	2.266E-02	1.337E-02	9.295E-03
1.570E-04	2.276E-02	1.343E-02	9.338E-03
1.585E-04	2.287E-02	1.349E-02	9.380E-03
1.600E-04	2.297E-02	1.355E-02	9.423E-03
1.614E-04	2.307E-02	1.360E-02	9.466E-03
1.629E-04	2.317E-02	1.366E-02	9.509E-03
1.644E-04	2.328E-02	1.372E-02	9.552E-03
1.660E-04	2.338E-02	1.379E-02	9.596E-03
1.675E-04	2.349E-02	1.385E-02	9.640E-03
1.690E-04	2.359E-02	1.391E-02	9.684E-03
1.706E-04	2.370E-02	1.397E-02	9.728E-03
