Q0 = 0.8 GeV	 Q = 3.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	1.178E-02	7.074E-03	4.706E-03
1.009E-04	1.184E-02	7.111E-03	4.732E-03
1.019E-04	1.191E-02	7.148E-03	4.759E-03
1.028E-04	1.197E-02	7.185E-03	4.786E-03
1.038E-04	1.204E-02	7.222E-03	4.813E-03
1.047E-04	1.210E-02	7.260E-03	4.841E-03
1.057E-04	1.217E-02	7.297E-03	4.868E-03
1.067E-04	1.223E-02	7.335E-03	4.896E-03
1.076E-04	1.230E-02	7.373E-03	4.923E-03
1.086E-04	1.236E-02	7.412E-03	4.951E-03
1.096E-04	1.243E-02	7.450E-03	4.979E-03
1.107E-04	1.250E-02	7.489E-03	5.008E-03
1.117E-04	1.256E-02	7.528E-03	5.036E-03
1.127E-04	1.263E-02	7.567E-03	5.065E-03
1.138E-04	1.270E-02	7.606E-03	5.093E-03
1.148E-04	1.277E-02	7.646E-03	5.122E-03
1.159E-04	1.284E-02	7.686E-03	5.151E-03
1.169E-04	1.291E-02	7.725E-03	5.180E-03
1.180E-04	1.298E-02	7.766E-03	5.210E-03
1.191E-04	1.305E-02	7.806E-03	5.239E-03
1.202E-04	1.312E-02	7.847E-03	5.269E-03
1.213E-04	1.319E-02	7.887E-03	5.299E-03
1.225E-04	1.326E-02	7.928E-03	5.329E-03
1.236E-04	1.333E-02	7.969E-03	5.359E-03
1.247E-04	1.340E-02	8.011E-03	5.389E-03
1.259E-04	1.347E-02	8.052E-03	5.420E-03
1.271E-04	1.354E-02	8.094E-03	5.451E-03
1.282E-04	1.362E-02	8.136E-03	5.481E-03
1.294E-04	1.369E-02	8.179E-03	5.513E-03
1.306E-04	1.376E-02	8.221E-03	5.544E-03
1.318E-04	1.384E-02	8.264E-03	5.575E-03
1.330E-04	1.391E-02	8.307E-03	5.607E-03
1.343E-04	1.399E-02	8.350E-03	5.638E-03
1.355E-04	1.406E-02	8.393E-03	5.670E-03
1.368E-04	1.414E-02	8.437E-03	5.702E-03
1.380E-04	1.422E-02	8.481E-03	5.735E-03
1.393E-04	1.429E-02	8.525E-03	5.767E-03
1.406E-04	1.437E-02	8.569E-03	5.800E-03
1.419E-04	1.445E-02	8.614E-03	5.833E-03
1.432E-04	1.452E-02	8.659E-03	5.866E-03
1.445E-04	1.460E-02	8.704E-03	5.899E-03
1.459E-04	1.468E-02	8.749E-03	5.932E-03
1.472E-04	1.476E-02	8.794E-03	5.966E-03
1.486E-04	1.484E-02	8.840E-03	6.000E-03
1.500E-04	1.492E-02	8.886E-03	6.033E-03
1.514E-04	1.500E-02	8.932E-03	6.068E-03
1.528E-04	1.508E-02	8.979E-03	6.102E-03
1.542E-04	1.516E-02	9.025E-03	6.136E-03
1.556E-04	1.524E-02	9.072E-03	6.171E-03
1.570E-04	1.533E-02	9.119E-03	6.206E-03
1.585E-04	1.541E-02	9.167E-03	6.241E-03
1.600E-04	1.549E-02	9.215E-03	6.276E-03
1.614E-04	1.557E-02	9.262E-03	6.312E-03
1.629E-04	1.566E-02	9.311E-03	6.348E-03
1.644E-04	1.574E-02	9.359E-03	6.383E-03
1.660E-04	1.583E-02	9.408E-03	6.420E-03
1.675E-04	1.591E-02	9.457E-03	6.456E-03
1.690E-04	1.600E-02	9.506E-03	6.492E-03
1.706E-04	1.608E-02	9.555E-03	6.529E-03
1.722E-04	1.617E-02	9.605E-03	6.566E-03
1.738E-04	1.626E-02	9.655E-03	6.603E-03
1.754E-04	1.635E-02	9.705E-03	6.640E-03
1.770E-04	1.643E-02	9.756E-03	6.678E-03
1.786E-04	1.652E-02	9.806E-03	6.716E-03
1.803E-04	1.661E-02	9.858E-03	6.753E-03
1.820E-04	1.670E-02	9.909E-03	6.792E-03
1.837E-04	1.679E-02	9.960E-03	6.830E-03
1.854E-04	1.688E-02	1.001E-02	6.869E-03
1.871E-04	1.697E-02	1.006E-02	6.907E-03
1.888E-04	1.706E-02	1.012E-02	6.946E-03
1.905E-04	1.715E-02	1.017E-02	6.986E-03
1.923E-04	1.725E-02	1.022E-02	7.025E-03
1.941E-04	1.734E-02	1.028E-02	7.065E-03
1.959E-04	1.743E-02	1.033E-02	7.105E-03
1.977E-04	1.753E-02	1.038E-02	7.145E-03
1.995E-04	1.762E-02	1.044E-02	7.185E-03
2.014E-04	1.772E-02	1.049E-02	7.226E-03
2.032E-04	1.781E-02	1.055E-02	7.266E-03
2.051E-04	1.791E-02	1.060E-02	7.307E-03
2.070E-04	1.800E-02	1.066E-02	7.349E-03
2.089E-04	1.810E-02	1.071E-02	7.390E-03
