Q0 = 1.057 GeV	 Q = 3.162 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	2.012E-02	1.190E-02	8.227E-03
1.009E-04	2.021E-02	1.195E-02	8.265E-03
1.019E-04	2.030E-02	1.200E-02	8.302E-03
1.028E-04	2.039E-02	1.205E-02	8.339E-03
1.038E-04	2.048E-02	1.210E-02	8.377E-03
1.047E-04	2.057E-02	1.216E-02	8.415E-03
1.057E-04	2.066E-02	1.221E-02	8.453E-03
1.067E-04	2.076E-02	1.226E-02	8.491E-03
1.076E-04	2.085E-02	1.232E-02	8.530E-03
1.086E-04	2.094E-02	1.237E-02	8.568E-03
1.096E-04	2.103E-02	1.243E-02	8.607E-03
1.107E-04	2.113E-02	1.248E-02	8.646E-03
1.117E-04	2.122E-02	1.253E-02	8.685E-03
1.127E-04	2.131E-02	1.259E-02	8.724E-03
1.138E-04	2.141E-02	1.264E-02	8.764E-03
1.148E-04	2.150E-02	1.270E-02	8.803E-03
1.159E-04	2.160E-02	1.276E-02	8.843E-03
1.169E-04	2.169E-02	1.281E-02	8.883E-03
1.180E-04	2.179E-02	1.287E-02	8.923E-03
1.191E-04	2.189E-02	1.292E-02	8.963E-03
1.202E-04	2.198E-02	1.298E-02	9.004E-03
1.213E-04	2.208E-02	1.304E-02	9.044E-03
1.225E-04	2.218E-02	1.309E-02	9.085E-03
1.236E-04	2.228E-02	1.315E-02	9.126E-03
1.247E-04	2.238E-02	1.321E-02	9.168E-03
1.259E-04	2.247E-02	1.327E-02	9.209E-03
1.271E-04	2.257E-02	1.332E-02	9.251E-03
1.282E-04	2.267E-02	1.338E-02	9.292E-03
1.294E-04	2.277E-02	1.344E-02	9.334E-03
1.306E-04	2.288E-02	1.350E-02	9.376E-03
1.318E-04	2.298E-02	1.356E-02	9.419E-03
1.330E-04	2.308E-02	1.362E-02	9.461E-03
1.343E-04	2.318E-02	1.368E-02	9.504E-03
1.355E-04	2.328E-02	1.374E-02	9.547E-03
1.368E-04	2.339E-02	1.380E-02	9.590E-03
1.380E-04	2.349E-02	1.386E-02	9.633E-03
1.393E-04	2.359E-02	1.392E-02	9.677E-03
1.406E-04	2.370E-02	1.398E-02	9.720E-03
1.419E-04	2.380E-02	1.404E-02	9.764E-03
1.432E-04	2.391E-02	1.410E-02	9.808E-03
1.445E-04	2.401E-02	1.416E-02	9.853E-03
1.459E-04	2.412E-02	1.422E-02	9.897E-03
1.472E-04	2.423E-02	1.429E-02	9.942E-03
1.486E-04	2.434E-02	1.435E-02	9.987E-03
1.500E-04	2.444E-02	1.441E-02	1.003E-02
