DSSV 2008, Q = 1.000 GeV
x	 x(u-d)	 error	 xu+	 error	 xd+	 error	 xs+	 error	 xu	 error	 xd	 error	 xs	 error	 xub	 error	 xdb	 error	 xsb	 er    ror
1.000000E-04	 5.301690E-03	 1.689725E-03	 1.128590E-03	 1.001581E-03	 -4.173100E-03	 1.353864E-03	 -1.110680E-02	 3.441650E-03	 6.274200E-04	 6.200973E-04	 -1.525500E-03	 5.712492E-03	 -5.553400E-03	 1.720825E-03	 5.011700E-04	 4.848209E-04	 -2.647600E-03	 5.805688E-03	 -5.553400E-03	 1.720825E-03
1.009253E-04	 5.318230E-03	 1.691276E-03	 1.135785E-03	 1.007012E-03	 -4.182445E-03	 1.354796E-03	 -1.112502E-02	 3.459910E-03	 6.313904E-04	 6.235432E-04	 -1.530167E-03	 5.730595E-03	 -5.562512E-03	 1.729955E-03	 5.043943E-04	 4.875777E-04	 -2.652278E-03	 5.816536E-03	 -5.562512E-03	 1.729955E-03
1.018591E-04	 5.334881E-03	 1.693021E-03	 1.143021E-03	 1.012469E-03	 -4.191860E-03	 1.355767E-03	 -1.114318E-02	 3.478323E-03	 6.353829E-04	 6.270047E-04	 -1.534917E-03	 5.748280E-03	 -5.571589E-03	 1.739162E-03	 5.076377E-04	 4.903497E-04	 -2.656943E-03	 5.827361E-03	 -5.571589E-03	 1.739162E-03
1.028016E-04	 5.351643E-03	 1.694962E-03	 1.150298E-03	 1.017953E-03	 -4.201345E-03	 1.356771E-03	 -1.116126E-02	 3.496890E-03	 6.393975E-04	 6.304817E-04	 -1.539750E-03	 5.765537E-03	 -5.580632E-03	 1.748445E-03	 5.109003E-04	 4.931372E-04	 -2.661595E-03	 5.838163E-03	 -5.580632E-03	 1.748445E-03
1.037528E-04	 5.368519E-03	 1.697100E-03	 1.157616E-03	 1.023463E-03	 -4.210902E-03	 1.357803E-03	 -1.117928E-02	 3.515611E-03	 6.434344E-04	 6.339743E-04	 -1.544670E-03	 5.782355E-03	 -5.589639E-03	 1.757805E-03	 5.141820E-04	 4.959400E-04	 -2.666232E-03	 5.848941E-03	 -5.589639E-03	 1.757805E-03
1.047129E-04	 5.385509E-03	 1.699437E-03	 1.164977E-03	 1.028999E-03	 -4.220532E-03	 1.358857E-03	 -1.119722E-02	 3.534488E-03	 6.474936E-04	 6.374825E-04	 -1.549676E-03	 5.798724E-03	 -5.598610E-03	 1.767244E-03	 5.174832E-04	 4.987584E-04	 -2.670856E-03	 5.859694E-03	 -5.598610E-03	 1.767244E-03
1.056818E-04	 5.402616E-03	 1.701974E-03	 1.172379E-03	 1.034561E-03	 -4.230237E-03	 1.359926E-03	 -1.121509E-02	 3.553523E-03	 6.515752E-04	 6.410063E-04	 -1.554772E-03	 5.814632E-03	 -5.607545E-03	 1.776762E-03	 5.208038E-04	 5.015925E-04	 -2.675466E-03	 5.870423E-03	 -5.607545E-03	 1.776762E-03
1.066596E-04	 5.419842E-03	 1.704715E-03	 1.179823E-03	 1.040150E-03	 -4.240019E-03	 1.361006E-03	 -1.123289E-02	 3.572716E-03	 6.556793E-04	 6.445457E-04	 -1.559958E-03	 5.830071E-03	 -5.616443E-03	 1.786358E-03	 5.241440E-04	 5.044422E-04	 -2.680061E-03	 5.881126E-03	 -5.616443E-03	 1.786358E-03
1.076465E-04	 5.437187E-03	 1.707661E-03	 1.187310E-03	 1.045766E-03	 -4.249877E-03	 1.362092E-03	 -1.125061E-02	 3.592069E-03	 6.598061E-04	 6.481007E-04	 -1.565236E-03	 5.845027E-03	 -5.625304E-03	 1.796035E-03	 5.275039E-04	 5.073077E-04	 -2.684641E-03	 5.891804E-03	 -5.625304E-03	 1.796035E-03
1.086426E-04	 5.454654E-03	 1.710815E-03	 1.194839E-03	 1.051409E-03	 -4.259815E-03	 1.363178E-03	 -1.126825E-02	 3.611583E-03	 6.639555E-04	 6.516713E-04	 -1.570608E-03	 5.859491E-03	 -5.634126E-03	 1.805791E-03	 5.308835E-04	 5.101891E-04	 -2.689207E-03	 5.902456E-03	 -5.634126E-03	 1.805791E-03
1.096478E-04	 5.472244E-03	 1.714182E-03	 1.202411E-03	 1.057078E-03	 -4.269833E-03	 1.364261E-03	 -1.128582E-02	 3.631258E-03	 6.681279E-04	 6.552576E-04	 -1.576075E-03	 5.873450E-03	 -5.642910E-03	 1.815629E-03	 5.342831E-04	 5.130864E-04	 -2.693757E-03	 5.913081E-03	 -5.642910E-03	 1.815629E-03
1.106624E-04	 5.489959E-03	 1.717764E-03	 1.210026E-03	 1.062774E-03	 -4.279933E-03	 1.365337E-03	 -1.130331E-02	 3.651097E-03	 6.723231E-04	 6.588595E-04	 -1.581640E-03	 5.886894E-03	 -5.651655E-03	 1.825549E-03	 5.377027E-04	 5.159998E-04	 -2.698293E-03	 5.923679E-03	 -5.651655E-03	 1.825549E-03
1.116863E-04	 5.507800E-03	 1.721566E-03	 1.217684E-03	 1.068497E-03	 -4.290117E-03	 1.366402E-03	 -1.132072E-02	 3.671100E-03	 6.765414E-04	 6.624771E-04	 -1.587304E-03	 5.899810E-03	 -5.660360E-03	 1.835550E-03	 5.411424E-04	 5.189293E-04	 -2.702812E-03	 5.934250E-03	 -5.660360E-03	 1.835550E-03
