NNPDFpol 1.1, Q = 1.087 GeV
x	 x(u-d)	 error	 xu+	 error	 xd+	 error	 xs+	 error	 xu	 error	 xd	 error	 xs	 error	 xub	 error	 xdb	 error	 xsb	 error
1.000000E-04	 1.341668E-02	 7.431460E-03	 6.311785E-03	 7.097937E-03	 -7.104899E-03	 6.797451E-03	 -1.480027E-03	 7.009757E-03	 4.151599E-03	 8.439646E-03	 -2.751491E-03	 8.110616E-03	 -7.400134E-04	 3.504878E-03	 2.160187E-03	 4.074048E-03	 -4.353408E-03	 4.520449E-03	 -7.400134E-04	 3.504878E-03
1.009253E-04	 1.345420E-02	 7.448034E-03	 6.326497E-03	 7.114577E-03	 -7.127701E-03	 6.814577E-03	 -1.488483E-03	 7.029130E-03	 4.164562E-03	 8.458299E-03	 -2.766116E-03	 8.130615E-03	 -7.442417E-04	 3.514565E-03	 2.161935E-03	 4.082431E-03	 -4.361585E-03	 4.530045E-03	 -7.442417E-04	 3.514565E-03
1.018591E-04	 1.349175E-02	 7.464563E-03	 6.341215E-03	 7.131074E-03	 -7.150533E-03	 6.831588E-03	 -1.496973E-03	 7.048371E-03	 4.177546E-03	 8.476788E-03	 -2.780791E-03	 8.150518E-03	 -7.484866E-04	 3.524185E-03	 2.163669E-03	 4.090785E-03	 -4.369742E-03	 4.539604E-03	 -7.484866E-04	 3.524185E-03
1.028016E-04	 1.352933E-02	 7.481034E-03	 6.355937E-03	 7.147416E-03	 -7.173393E-03	 6.848469E-03	 -1.505497E-03	 7.067468E-03	 4.190548E-03	 8.495101E-03	 -2.795516E-03	 8.170308E-03	 -7.527484E-04	 3.533734E-03	 2.165390E-03	 4.099102E-03	 -4.377877E-03	 4.549119E-03	 -7.527484E-04	 3.533734E-03
1.037528E-04	 1.356694E-02	 7.497432E-03	 6.370663E-03	 7.163591E-03	 -7.196281E-03	 6.865208E-03	 -1.514055E-03	 7.086412E-03	 4.203564E-03	 8.513226E-03	 -2.810290E-03	 8.189969E-03	 -7.570275E-04	 3.543206E-03	 2.167099E-03	 4.107375E-03	 -4.385992E-03	 4.558586E-03	 -7.570275E-04	 3.543206E-03
1.047129E-04	 1.360459E-02	 7.513745E-03	 6.385391E-03	 7.179586E-03	 -7.219197E-03	 6.881792E-03	 -1.522649E-03	 7.105191E-03	 4.216594E-03	 8.531154E-03	 -2.825111E-03	 8.209486E-03	 -7.613243E-04	 3.552595E-03	 2.168797E-03	 4.115595E-03	 -4.394086E-03	 4.567996E-03	 -7.613243E-04	 3.552595E-03
1.056818E-04	 1.364226E-02	 7.529960E-03	 6.400119E-03	 7.195391E-03	 -7.242140E-03	 6.898207E-03	 -1.531278E-03	 7.123794E-03	 4.229633E-03	 8.548871E-03	 -2.839981E-03	 8.228841E-03	 -7.656391E-04	 3.561897E-03	 2.170486E-03	 4.123755E-03	 -4.402159E-03	 4.577344E-03	 -7.656391E-04	 3.561897E-03
1.066596E-04	 1.367996E-02	 7.546063E-03	 6.414847E-03	 7.210993E-03	 -7.265109E-03	 6.914441E-03	 -1.539945E-03	 7.142211E-03	 4.242679E-03	 8.566367E-03	 -2.854896E-03	 8.248021E-03	 -7.699724E-04	 3.571105E-03	 2.172168E-03	 4.131845E-03	 -4.410213E-03	 4.586622E-03	 -7.699724E-04	 3.571105E-03
1.076465E-04	 1.371767E-02	 7.562041E-03	 6.429572E-03	 7.226380E-03	 -7.288102E-03	 6.930480E-03	 -1.548649E-03	 7.160431E-03	 4.255730E-03	 8.583630E-03	 -2.869857E-03	 8.267007E-03	 -7.743244E-04	 3.580215E-03	 2.173843E-03	 4.139858E-03	 -4.418246E-03	 4.595825E-03	 -7.743244E-04	 3.580215E-03
1.086426E-04	 1.375542E-02	 7.577879E-03	 6.444294E-03	 7.241541E-03	 -7.311121E-03	 6.946311E-03	 -1.557391E-03	 7.178443E-03	 4.268782E-03	 8.600649E-03	 -2.884862E-03	 8.285785E-03	 -7.786957E-04	 3.589221E-03	 2.175512E-03	 4.147786E-03	 -4.426259E-03	 4.604946E-03	 -7.786957E-04	 3.589221E-03
