NNPDFpol 1.1, Q = 1.581 GeV
x	 x(uv-dv)	 error	 x(u+-d+)	 error
1.000000E-04	 9.735883E-04	 1.499191E-02	 1.441942E-02	 1.457396E-02
1.009253E-04	 9.936549E-04	 1.502010E-02	 1.445916E-02	 1.459898E-02
1.018591E-04	 1.013823E-03	 1.504805E-02	 1.449895E-02	 1.462395E-02
1.028016E-04	 1.034087E-03	 1.507571E-02	 1.453878E-02	 1.464886E-02
1.037528E-04	 1.054441E-03	 1.510308E-02	 1.457865E-02	 1.467371E-02
1.047129E-04	 1.074881E-03	 1.513010E-02	 1.461856E-02	 1.469848E-02
1.056818E-04	 1.095401E-03	 1.515674E-02	 1.465851E-02	 1.472319E-02
1.066596E-04	 1.115995E-03	 1.518298E-02	 1.469849E-02	 1.474782E-02
1.076465E-04	 1.136658E-03	 1.520877E-02	 1.473850E-02	 1.477236E-02
1.086426E-04	 1.157386E-03	 1.523409E-02	 1.477855E-02	 1.479682E-02
1.096478E-04	 1.178171E-03	 1.525889E-02	 1.481862E-02	 1.482118E-02
1.106624E-04	 1.199034E-03	 1.528333E-02	 1.485874E-02	 1.484548E-02
1.116863E-04	 1.219993E-03	 1.530756E-02	 1.489889E-02	 1.486973E-02
1.127197E-04	 1.241049E-03	 1.533156E-02	 1.493909E-02	 1.489393E-02
1.137627E-04	 1.262198E-03	 1.535531E-02	 1.497933E-02	 1.491808E-02
1.148154E-04	 1.283441E-03	 1.537879E-02	 1.501962E-02	 1.494218E-02
1.158777E-04	 1.304774E-03	 1.540199E-02	 1.505994E-02	 1.496621E-02
1.169499E-04	 1.326198E-03	 1.542490E-02	 1.510031E-02	 1.499019E-02
1.180321E-04	 1.347710E-03	 1.544748E-02	 1.514071E-02	 1.501411E-02
1.191242E-04	 1.369309E-03	 1.546973E-02	 1.518116E-02	 1.503795E-02
1.202264E-04	 1.390993E-03	 1.549163E-02	 1.522164E-02	 1.506173E-02
1.213389E-04	 1.412761E-03	 1.551315E-02	 1.526216E-02	 1.508544E-02
1.224616E-04	 1.434611E-03	 1.553429E-02	 1.530272E-02	 1.510908E-02
1.235947E-04	 1.456543E-03	 1.555502E-02	 1.534332E-02	 1.513263E-02
1.247384E-04	 1.478553E-03	 1.557533E-02	 1.538395E-02	 1.515611E-02
1.258925E-04	 1.500642E-03	 1.559519E-02	 1.542461E-02	 1.517950E-02
1.270574E-04	 1.522807E-03	 1.561460E-02	 1.546531E-02	 1.520281E-02
1.282331E-04	 1.545047E-03	 1.563353E-02	 1.550605E-02	 1.522603E-02
1.294196E-04	 1.567360E-03	 1.565197E-02	 1.554682E-02	 1.524916E-02
1.306171E-04	 1.589746E-03	 1.566990E-02	 1.558762E-02	 1.527220E-02
1.318257E-04	 1.612201E-03	 1.568731E-02	 1.562845E-02	 1.529514E-02
1.330454E-04	 1.634757E-03	 1.570432E-02	 1.566932E-02	 1.531801E-02
1.342765E-04	 1.657438E-03	 1.572108E-02	 1.571024E-02	 1.534082E-02
1.355189E-04	 1.680236E-03	 1.573755E-02	 1.575120E-02	 1.536358E-02
1.367729E-04	 1.703143E-03	 1.575373E-02	 1.579220E-02	 1.538628E-02
1.380384E-04	 1.726150E-03	 1.576958E-02	 1.583325E-02	 1.540891E-02
1.393157E-04	 1.749250E-03	 1.578509E-02	 1.587433E-02	 1.543147E-02
1.406048E-04	 1.772435E-03	 1.580024E-02	 1.591545E-02	 1.545397E-02
1.419058E-04	 1.795695E-03	 1.581500E-02	 1.595661E-02	 1.547640E-02
1.432188E-04	 1.819024E-03	 1.582935E-02	 1.599780E-02	 1.549875E-02
1.445440E-04	 1.842412E-03	 1.584326E-02	 1.603902E-02	 1.552102E-02
1.458814E-04	 1.865852E-03	 1.585672E-02	 1.608026E-02	 1.554320E-02
1.472313E-04	 1.889336E-03	 1.586969E-02	 1.612154E-02	 1.556531E-02
1.485936E-04	 1.912855E-03	 1.588216E-02	 1.616285E-02	 1.558733E-02
1.499685E-04	 1.936401E-03	 1.589410E-02	 1.620417E-02	 1.560925E-02
1.513561E-04	 1.959966E-03	 1.590547E-02	 1.624553E-02	 1.563109E-02
1.527566E-04	 1.983543E-03	 1.591626E-02	 1.628690E-02	 1.565282E-02
1.541700E-04	 2.007122E-03	 1.592645E-02	 1.632829E-02	 1.567446E-02
1.555966E-04	 2.030695E-03	 1.593599E-02	 1.636970E-02	 1.569600E-02
1.570363E-04	 2.054255E-03	 1.594487E-02	 1.641112E-02	 1.571743E-02
