NNPDFpol 1.1, Q = 3.162 GeV
x	 x(uv-dv)	 error
1.000000E-04	 1.846707E-03	 1.478600E-02
1.009253E-04	 1.870330E-03	 1.480693E-02
1.018591E-04	 1.894058E-03	 1.482758E-02
1.028016E-04	 1.917886E-03	 1.484793E-02
1.037528E-04	 1.941809E-03	 1.486795E-02
1.047129E-04	 1.965825E-03	 1.488761E-02
1.056818E-04	 1.989929E-03	 1.490689E-02
1.066596E-04	 2.014116E-03	 1.492576E-02
1.076465E-04	 2.038384E-03	 1.494419E-02
1.086426E-04	 2.062727E-03	 1.496216E-02
1.096478E-04	 2.087142E-03	 1.497964E-02
1.106624E-04	 2.111642E-03	 1.499674E-02
1.116863E-04	 2.136244E-03	 1.501357E-02
1.127197E-04	 2.160946E-03	 1.503012E-02
1.137627E-04	 2.185747E-03	 1.504639E-02
1.148154E-04	 2.210646E-03	 1.506236E-02
1.158777E-04	 2.235641E-03	 1.507803E-02
1.169499E-04	 2.260732E-03	 1.509339E-02
1.180321E-04	 2.285917E-03	 1.510842E-02
1.191242E-04	 2.311195E-03	 1.512313E-02
1.202264E-04	 2.336565E-03	 1.513749E-02
1.213389E-04	 2.362026E-03	 1.515151E-02
1.224616E-04	 2.387576E-03	 1.516517E-02
1.235947E-04	 2.413215E-03	 1.517847E-02
1.247384E-04	 2.438941E-03	 1.519138E-02
1.258925E-04	 2.464754E-03	 1.520392E-02
1.270574E-04	 2.490651E-03	 1.521605E-02
1.282331E-04	 2.516632E-03	 1.522779E-02
1.294196E-04	 2.542695E-03	 1.523912E-02
1.306171E-04	 2.568840E-03	 1.525002E-02
1.318257E-04	 2.595065E-03	 1.526050E-02
1.330454E-04	 2.621392E-03	 1.527065E-02
1.342765E-04	 2.647838E-03	 1.528057E-02
1.355189E-04	 2.674399E-03	 1.529023E-02
1.367729E-04	 2.701067E-03	 1.529963E-02
1.380384E-04	 2.727838E-03	 1.530874E-02
1.393157E-04	 2.754705E-03	 1.531756E-02
1.406048E-04	 2.781664E-03	 1.532606E-02
1.419058E-04	 2.808707E-03	 1.533424E-02
1.432188E-04	 2.835829E-03	 1.534206E-02
1.445440E-04	 2.863024E-03	 1.534952E-02
1.458814E-04	 2.890287E-03	 1.535659E-02
1.472313E-04	 2.917612E-03	 1.536326E-02
1.485936E-04	 2.944993E-03	 1.536952E-02
1.499685E-04	 2.972424E-03	 1.537533E-02
1.513561E-04	 2.999899E-03	 1.538069E-02
1.527566E-04	 3.027412E-03	 1.538558E-02
1.541700E-04	 3.054959E-03	 1.538997E-02
1.555966E-04	 3.082532E-03	 1.539384E-02
1.570363E-04	 3.110127E-03	 1.539719E-02
1.584893E-04	 3.137736E-03	 1.539998E-02
1.599558E-04	 3.165379E-03	 1.540230E-02
1.614359E-04	 3.193075E-03	 1.540424E-02
1.629296E-04	 3.220823E-03	 1.540580E-02
1.644372E-04	 3.248624E-03	 1.540699E-02
1.659587E-04	 3.276474E-03	 1.540779E-02
1.674943E-04	 3.304375E-03	 1.540822E-02
1.690441E-04	 3.332324E-03	 1.540826E-02
1.706082E-04	 3.360322E-03	 1.540793E-02
1.721869E-04	 3.388366E-03	 1.540721E-02
1.737801E-04	 3.416456E-03	 1.540612E-02
1.753881E-04	 3.444592E-03	 1.540465E-02
1.770109E-04	 3.472771E-03	 1.540280E-02
1.786488E-04	 3.500994E-03	 1.540057E-02
1.803018E-04	 3.529259E-03	 1.539796E-02
1.819701E-04	 3.557565E-03	 1.539498E-02
1.836538E-04	 3.585912E-03	 1.539161E-02
1.853532E-04	 3.614298E-03	 1.538786E-02
1.870682E-04	 3.642722E-03	 1.538374E-02
1.887991E-04	 3.671185E-03	 1.537924E-02
1.905461E-04	 3.699683E-03	 1.537435E-02
1.923092E-04	 3.728204E-03	 1.536905E-02
1.940886E-04	 3.756734E-03	 1.536330E-02
1.958845E-04	 3.785281E-03	 1.535713E-02
1.976970E-04	 3.813849E-03	 1.535059E-02
1.995262E-04	 3.842445E-03	 1.534371E-02
2.013724E-04	 3.871073E-03	 1.533653E-02
2.032357E-04	 3.899739E-03	 1.532906E-02
2.051162E-04	 3.928449E-03	 1.532136E-02
2.070141E-04	 3.957209E-03	 1.531343E-02
2.089296E-04	 3.986023E-03	 1.530533E-02
2.108628E-04	 4.014898E-03	 1.529706E-02
2.128139E-04	 4.043839E-03	 1.528867E-02
2.147830E-04	 4.072852E-03	 1.528017E-02
2.167704E-04	 4.101942E-03	 1.527159E-02
2.187762E-04	 4.131114E-03	 1.526295E-02
2.208005E-04	 4.160375E-03	 1.525428E-02
2.228435E-04	 4.189730E-03	 1.524559E-02
2.249055E-04	 4.219184E-03	 1.523691E-02
2.269865E-04	 4.248743E-03	 1.522825E-02
2.290868E-04	 4.278412E-03	 1.521963E-02
2.312065E-04	 4.308166E-03	 1.521098E-02
2.333458E-04	 4.337978E-03	 1.520225E-02
2.355049E-04	 4.367852E-03	 1.519344E-02
2.376840E-04	 4.397790E-03	 1.518458E-02
2.398833E-04	 4.427798E-03	 1.517567E-02
2.421029E-04	 4.457878E-03	 1.516674E-02
2.443431E-04	 4.488035E-03	 1.515780E-02
2.466039E-04	 4.518272E-03	 1.514887E-02
2.488857E-04	 4.548593E-03	 1.513995E-02
2.511886E-04	 4.579002E-03	 1.513106E-02
2.535129E-04	 4.609502E-03	 1.512221E-02
2.558586E-04	 4.640098E-03	 1.511343E-02
2.582260E-04	 4.670793E-03	 1.510470E-02
2.606154E-04	 4.701591E-03	 1.509606E-02
2.630268E-04	 4.732496E-03	 1.508751E-02
2.654606E-04	 4.763511E-03	 1.507905E-02
2.679168E-04	 4.794640E-03	 1.507070E-02
2.703958E-04	 4.825888E-03	 1.506247E-02
2.728978E-04	 4.857257E-03	 1.505436E-02
2.754229E-04	 4.888752E-03	 1.504639E-02
2.779713E-04	 4.920313E-03	 1.503842E-02
2.805434E-04	 4.951891E-03	 1.503036E-02
2.831392E-04	 4.983501E-03	 1.502226E-02
2.857591E-04	 5.015157E-03	 1.501417E-02
2.884032E-04	 5.046876E-03	 1.500613E-02
2.910717E-04	 5.078674E-03	 1.499819E-02
2.937650E-04	 5.110565E-03	 1.499039E-02
2.964831E-04	 5.142566E-03	 1.498277E-02
2.992265E-04	 5.174692E-03	 1.497538E-02
3.019952E-04	 5.206958E-03	 1.496824E-02
3.047895E-04	 5.239380E-03	 1.496141E-02
3.076097E-04	 5.271974E-03	 1.495490E-02
3.104560E-04	 5.304755E-03	 1.494875E-02
3.133286E-04	 5.337739E-03	 1.494299E-02
3.162278E-04	 5.370940E-03	 1.493764E-02
3.191538E-04	 5.404376E-03	 1.493274E-02
3.221069E-04	 5.438061E-03	 1.492831E-02
3.250873E-04	 5.472010E-03	 1.492436E-02
3.280953E-04	 5.506241E-03	 1.492092E-02
3.311311E-04	 5.540767E-03	 1.491801E-02
3.341950E-04	 5.575527E-03	 1.491551E-02
3.372873E-04	 5.610453E-03	 1.491331E-02
3.404082E-04	 5.645553E-03	 1.491143E-02
3.435579E-04	 5.680834E-03	 1.490987E-02
3.467369E-04	 5.716303E-03	 1.490865E-02
3.499452E-04	 5.751968E-03	 1.490777E-02
3.531832E-04	 5.787836E-03	 1.490723E-02
3.564511E-04	 5.823914E-03	 1.490705E-02
3.597493E-04	 5.860209E-03	 1.490723E-02
3.630781E-04	 5.896730E-03	 1.490777E-02
3.664376E-04	 5.933483E-03	 1.490869E-02
3.698282E-04	 5.970476E-03	 1.490997E-02
3.732502E-04	 6.007715E-03	 1.491162E-02
3.767038E-04	 6.045209E-03	 1.491365E-02
3.801894E-04	 6.082965E-03	 1.491606E-02
3.837072E-04	 6.120989E-03	 1.491884E-02
3.872576E-04	 6.159290E-03	 1.492200E-02
3.908409E-04	 6.197874E-03	 1.492553E-02
3.944573E-04	 6.236750E-03	 1.492942E-02
3.981072E-04	 6.275923E-03	 1.493369E-02
4.017908E-04	 6.315337E-03	 1.493832E-02
4.055085E-04	 6.354935E-03	 1.494330E-02
4.092607E-04	 6.394731E-03	 1.494862E-02
4.130475E-04	 6.434736E-03	 1.495428E-02
4.168694E-04	 6.474965E-03	 1.496027E-02
4.207266E-04	 6.515429E-03	 1.496657E-02
4.246196E-04	 6.556141E-03	 1.497319E-02
4.285485E-04	 6.597115E-03	 1.498010E-02
4.325138E-04	 6.638362E-03	 1.498731E-02
4.365158E-04	 6.679895E-03	 1.499479E-02
4.405549E-04	 6.721728E-03	 1.500255E-02
4.446313E-04	 6.763872E-03	 1.501055E-02
4.487454E-04	 6.806341E-03	 1.501881E-02
4.528976E-04	 6.849148E-03	 1.502730E-02
4.570882E-04	 6.892304E-03	 1.503600E-02
4.613176E-04	 6.935823E-03	 1.504492E-02
4.655861E-04	 6.979717E-03	 1.505402E-02
4.698941E-04	 7.023999E-03	 1.506331E-02
4.742420E-04	 7.068683E-03	 1.507277E-02
4.786301E-04	 7.113779E-03	 1.508237E-02
4.830588E-04	 7.159241E-03	 1.509215E-02
4.875285E-04	 7.205015E-03	 1.510214E-02
4.920395E-04	 7.251105E-03	 1.511232E-02
4.965923E-04	 7.297518E-03	 1.512269E-02
5.011872E-04	 7.344258E-03	 1.513323E-02
5.058247E-04	 7.391332E-03	 1.514396E-02
5.105050E-04	 7.438743E-03	 1.515485E-02
5.152286E-04	 7.486497E-03	 1.516590E-02
5.199960E-04	 7.534600E-03	 1.517710E-02
5.248075E-04	 7.583056E-03	 1.518845E-02
5.296634E-04	 7.631872E-03	 1.519993E-02
5.345644E-04	 7.681052E-03	 1.521155E-02
5.395106E-04	 7.730601E-03	 1.522329E-02
5.445027E-04	 7.780525E-03	 1.523514E-02
5.495409E-04	 7.830829E-03	 1.524711E-02
5.546257E-04	 7.881518E-03	 1.525917E-02
5.597576E-04	 7.932598E-03	 1.527133E-02
5.649370E-04	 7.984074E-03	 1.528357E-02
5.701643E-04	 8.035951E-03	 1.529589E-02
5.754399E-04	 8.088234E-03	 1.530828E-02
5.807644E-04	 8.140954E-03	 1.532080E-02
5.861382E-04	 8.194132E-03	 1.533350E-02
5.915616E-04	 8.247752E-03	 1.534637E-02
5.970353E-04	 8.301801E-03	 1.535939E-02
6.025596E-04	 8.356263E-03	 1.537253E-02
6.081350E-04	 8.411126E-03	 1.538579E-02
6.137620E-04	 8.466375E-03	 1.539915E-02
6.194411E-04	 8.521996E-03	 1.541258E-02
6.251727E-04	 8.577974E-03	 1.542608E-02
6.309573E-04	 8.634296E-03	 1.543963E-02
6.367955E-04	 8.690947E-03	 1.545322E-02
6.426877E-04	 8.747913E-03	 1.546682E-02
6.486344E-04	 8.805180E-03	 1.548042E-02
6.546362E-04	 8.862735E-03	 1.549401E-02
6.606934E-04	 8.920561E-03	 1.550758E-02
