Q0 = 0.500 GeV	 Q = 1.087 GeV
x	 x*(uv-dv)
1.000E-04	1.794E-03
1.009E-04	1.806E-03
1.019E-04	1.818E-03
1.028E-04	1.830E-03
1.038E-04	1.842E-03
1.047E-04	1.855E-03
1.057E-04	1.867E-03
1.067E-04	1.880E-03
1.076E-04	1.892E-03
1.086E-04	1.905E-03
1.096E-04	1.918E-03
1.107E-04	1.931E-03
1.117E-04	1.943E-03
1.127E-04	1.956E-03
1.138E-04	1.970E-03
1.148E-04	1.983E-03
1.159E-04	1.996E-03
1.169E-04	2.009E-03
1.180E-04	2.023E-03
1.191E-04	2.036E-03
1.202E-04	2.050E-03
1.213E-04	2.064E-03
1.225E-04	2.078E-03
1.236E-04	2.092E-03
1.247E-04	2.106E-03
1.259E-04	2.120E-03
1.271E-04	2.134E-03
1.282E-04	2.148E-03
1.294E-04	2.163E-03
1.306E-04	2.177E-03
1.318E-04	2.192E-03
1.330E-04	2.206E-03
1.343E-04	2.221E-03
1.355E-04	2.236E-03
1.368E-04	2.251E-03
1.380E-04	2.266E-03
1.393E-04	2.281E-03
1.406E-04	2.297E-03
1.419E-04	2.312E-03
1.432E-04	2.328E-03
1.445E-04	2.343E-03
1.459E-04	2.359E-03
1.472E-04	2.375E-03
1.486E-04	2.391E-03
1.500E-04	2.407E-03
1.514E-04	2.423E-03
1.528E-04	2.439E-03
1.542E-04	2.455E-03
1.556E-04	2.472E-03
1.570E-04	2.488E-03
1.585E-04	2.505E-03
1.600E-04	2.522E-03
1.614E-04	2.539E-03
1.629E-04	2.556E-03
1.644E-04	2.573E-03
1.660E-04	2.590E-03
1.675E-04	2.607E-03
1.690E-04	2.625E-03
1.706E-04	2.642E-03
1.722E-04	2.660E-03
1.738E-04	2.678E-03
1.754E-04	2.696E-03
1.770E-04	2.714E-03
1.786E-04	2.732E-03
1.803E-04	2.751E-03
1.820E-04	2.769E-03
1.837E-04	2.788E-03
1.854E-04	2.806E-03
1.871E-04	2.825E-03
1.888E-04	2.844E-03
1.905E-04	2.863E-03
1.923E-04	2.882E-03
1.941E-04	2.902E-03
1.959E-04	2.921E-03
1.977E-04	2.941E-03
1.995E-04	2.960E-03
2.014E-04	2.980E-03
2.032E-04	3.000E-03
2.051E-04	3.020E-03
2.070E-04	3.040E-03
2.089E-04	3.061E-03
2.109E-04	3.081E-03
2.128E-04	3.102E-03
2.148E-04	3.123E-03
2.168E-04	3.144E-03
2.188E-04	3.165E-03
2.208E-04	3.186E-03
2.228E-04	3.207E-03
2.249E-04	3.229E-03
2.270E-04	3.251E-03
2.291E-04	3.272E-03
2.312E-04	3.294E-03
2.333E-04	3.316E-03
2.355E-04	3.339E-03
2.377E-04	3.361E-03
2.399E-04	3.384E-03
2.421E-04	3.406E-03
2.443E-04	3.429E-03
2.466E-04	3.452E-03
2.489E-04	3.475E-03
2.512E-04	3.498E-03
2.535E-04	3.522E-03
2.559E-04	3.546E-03
2.582E-04	3.569E-03
2.606E-04	3.593E-03
2.630E-04	3.617E-03
2.655E-04	3.642E-03
2.679E-04	3.666E-03
2.704E-04	3.691E-03
2.729E-04	3.715E-03
2.754E-04	3.740E-03
2.780E-04	3.765E-03
2.805E-04	3.791E-03
2.831E-04	3.816E-03
2.858E-04	3.842E-03
2.884E-04	3.867E-03
2.911E-04	3.893E-03
2.938E-04	3.919E-03
2.965E-04	3.946E-03
2.992E-04	3.972E-03
3.020E-04	3.999E-03
3.048E-04	4.026E-03
3.076E-04	4.053E-03
3.105E-04	4.080E-03
3.133E-04	4.107E-03
3.162E-04	4.135E-03
3.192E-04	4.162E-03
3.221E-04	4.190E-03
3.251E-04	4.218E-03
3.281E-04	4.247E-03
3.311E-04	4.275E-03
3.342E-04	4.304E-03
3.373E-04	4.333E-03
3.404E-04	4.362E-03
3.436E-04	4.391E-03
3.467E-04	4.421E-03
3.499E-04	4.450E-03
3.532E-04	4.480E-03
3.565E-04	4.510E-03
3.597E-04	4.540E-03
3.631E-04	4.571E-03
3.664E-04	4.601E-03
3.698E-04	4.632E-03
3.733E-04	4.663E-03
3.767E-04	4.695E-03
3.802E-04	4.726E-03
3.837E-04	4.758E-03
3.873E-04	4.790E-03
3.908E-04	4.822E-03
3.945E-04	4.854E-03
3.981E-04	4.887E-03
4.018E-04	4.920E-03
4.055E-04	4.953E-03
4.093E-04	4.986E-03
4.130E-04	5.019E-03
4.169E-04	5.053E-03
4.207E-04	5.087E-03
4.246E-04	5.121E-03
4.285E-04	5.155E-03
4.325E-04	5.190E-03
4.365E-04	5.225E-03
4.406E-04	5.260E-03
4.446E-04	5.295E-03
4.487E-04	5.331E-03
4.529E-04	5.367E-03
4.571E-04	5.403E-03
4.613E-04	5.439E-03
4.656E-04	5.475E-03
4.699E-04	5.512E-03
4.742E-04	5.549E-03
4.786E-04	5.586E-03
4.831E-04	5.624E-03
4.875E-04	5.662E-03
4.920E-04	5.700E-03
4.966E-04	5.738E-03
5.012E-04	5.776E-03
5.058E-04	5.815E-03
5.105E-04	5.854E-03
5.152E-04	5.893E-03
5.200E-04	5.933E-03
5.248E-04	5.973E-03
5.297E-04	6.013E-03
5.346E-04	6.053E-03
5.395E-04	6.094E-03
5.445E-04	6.135E-03
5.495E-04	6.176E-03
5.546E-04	6.218E-03
5.598E-04	6.259E-03
5.649E-04	6.301E-03
5.702E-04	6.344E-03
5.754E-04	6.386E-03
5.808E-04	6.429E-03
5.861E-04	6.472E-03
5.916E-04	6.516E-03
5.970E-04	6.559E-03
6.026E-04	6.603E-03
6.081E-04	6.648E-03
6.138E-04	6.692E-03
6.194E-04	6.737E-03
6.252E-04	6.783E-03
6.310E-04	6.828E-03
6.368E-04	6.874E-03
6.427E-04	6.920E-03
6.486E-04	6.967E-03
6.546E-04	7.014E-03
6.607E-04	7.061E-03
6.668E-04	7.108E-03
6.730E-04	7.156E-03
6.792E-04	7.204E-03
6.855E-04	7.252E-03
6.918E-04	7.301E-03
6.982E-04	7.350E-03
7.047E-04	7.399E-03
7.112E-04	7.449E-03
7.178E-04	7.499E-03
7.244E-04	7.549E-03
7.311E-04	7.600E-03
7.379E-04	7.651E-03
7.447E-04	7.703E-03
7.516E-04	7.754E-03
7.586E-04	7.807E-03
7.656E-04	7.859E-03
7.727E-04	7.912E-03
7.798E-04	7.965E-03
7.870E-04	8.018E-03
7.943E-04	8.072E-03
8.017E-04	8.127E-03
8.091E-04	8.181E-03
8.166E-04	8.236E-03
8.241E-04	8.291E-03
8.318E-04	8.347E-03
8.395E-04	8.403E-03
8.472E-04	8.460E-03
8.551E-04	8.517E-03
8.630E-04	8.574E-03
8.710E-04	8.632E-03
8.790E-04	8.690E-03
8.872E-04	8.748E-03
8.954E-04	8.807E-03
9.036E-04	8.866E-03
9.120E-04	8.926E-03
9.204E-04	8.986E-03
9.290E-04	9.046E-03
9.376E-04	9.107E-03
9.462E-04	9.168E-03
9.550E-04	9.230E-03
9.638E-04	9.292E-03
9.727E-04	9.354E-03
9.817E-04	9.417E-03
