Q0 = 1.087 GeV	 Q = 1.581 GeV
x	 x*(uv-dv)
1.000E-04	3.040E-04	3.367E-04
1.009E-04	3.065E-04	3.394E-04
1.019E-04	3.090E-04	3.421E-04
1.028E-04	3.115E-04	3.447E-04
1.038E-04	3.140E-04	3.475E-04
1.047E-04	3.166E-04	3.502E-04
1.057E-04	3.191E-04	3.530E-04
1.067E-04	3.217E-04	3.557E-04
1.076E-04	3.244E-04	3.585E-04
1.086E-04	3.270E-04	3.614E-04
1.096E-04	3.297E-04	3.642E-04
1.107E-04	3.323E-04	3.671E-04
1.117E-04	3.350E-04	3.700E-04
1.127E-04	3.378E-04	3.729E-04
1.138E-04	3.405E-04	3.758E-04
1.148E-04	3.433E-04	3.788E-04
1.159E-04	3.461E-04	3.818E-04
1.169E-04	3.489E-04	3.848E-04
1.180E-04	3.517E-04	3.878E-04
1.191E-04	3.546E-04	3.909E-04
1.202E-04	3.575E-04	3.940E-04
1.213E-04	3.604E-04	3.971E-04
1.225E-04	3.633E-04	4.002E-04
1.236E-04	3.663E-04	4.033E-04
1.247E-04	3.693E-04	4.065E-04
1.259E-04	3.723E-04	4.097E-04
1.271E-04	3.753E-04	4.130E-04
1.282E-04	3.784E-04	4.162E-04
1.294E-04	3.815E-04	4.195E-04
1.306E-04	3.846E-04	4.228E-04
1.318E-04	3.877E-04	4.262E-04
1.330E-04	3.909E-04	4.295E-04
1.343E-04	3.941E-04	4.329E-04
1.355E-04	3.973E-04	4.363E-04
1.368E-04	4.005E-04	4.398E-04
1.380E-04	4.038E-04	4.433E-04
1.393E-04	4.071E-04	4.468E-04
1.406E-04	4.104E-04	4.503E-04
1.419E-04	4.137E-04	4.539E-04
1.432E-04	4.171E-04	4.574E-04
1.445E-04	4.205E-04	4.611E-04
1.459E-04	4.239E-04	4.647E-04
1.472E-04	4.274E-04	4.684E-04
1.486E-04	4.309E-04	4.721E-04
1.500E-04	4.344E-04	4.758E-04
1.514E-04	4.380E-04	4.796E-04
1.528E-04	4.415E-04	4.834E-04
1.542E-04	4.451E-04	4.872E-04
1.556E-04	4.488E-04	4.910E-04
1.570E-04	4.524E-04	4.949E-04
1.585E-04	4.561E-04	4.988E-04
1.600E-04	4.599E-04	5.028E-04
1.614E-04	4.636E-04	5.068E-04
1.629E-04	4.674E-04	5.108E-04
1.644E-04	4.712E-04	5.148E-04
1.660E-04	4.751E-04	5.189E-04
1.675E-04	4.789E-04	5.230E-04
1.690E-04	4.829E-04	5.272E-04
1.706E-04	4.868E-04	5.313E-04
1.722E-04	4.908E-04	5.355E-04
