Q0 = 0.590 GeV	 Q = 0.590 GeV
x	 x*(uv-dv)
1.000E-04	1.178E-04	1.178E-04
1.009E-04	1.189E-04	1.189E-04
1.019E-04	1.200E-04	1.200E-04
1.028E-04	1.211E-04	1.211E-04
1.038E-04	1.223E-04	1.223E-04
1.047E-04	1.234E-04	1.234E-04
1.057E-04	1.245E-04	1.245E-04
1.067E-04	1.257E-04	1.257E-04
1.076E-04	1.269E-04	1.269E-04
1.086E-04	1.280E-04	1.280E-04
1.096E-04	1.292E-04	1.292E-04
1.107E-04	1.304E-04	1.304E-04
1.117E-04	1.316E-04	1.316E-04
1.127E-04	1.328E-04	1.328E-04
1.138E-04	1.341E-04	1.341E-04
1.148E-04	1.353E-04	1.353E-04
1.159E-04	1.366E-04	1.366E-04
1.169E-04	1.378E-04	1.378E-04
1.180E-04	1.391E-04	1.391E-04
1.191E-04	1.404E-04	1.404E-04
1.202E-04	1.417E-04	1.417E-04
1.213E-04	1.430E-04	1.430E-04
1.225E-04	1.443E-04	1.443E-04
1.236E-04	1.457E-04	1.457E-04
1.247E-04	1.470E-04	1.470E-04
1.259E-04	1.484E-04	1.484E-04
1.271E-04	1.498E-04	1.498E-04
1.282E-04	1.512E-04	1.512E-04
1.294E-04	1.526E-04	1.526E-04
1.306E-04	1.540E-04	1.540E-04
1.318E-04	1.554E-04	1.554E-04
1.330E-04	1.568E-04	1.568E-04
1.343E-04	1.583E-04	1.583E-04
1.355E-04	1.598E-04	1.598E-04
1.368E-04	1.613E-04	1.613E-04
1.380E-04	1.627E-04	1.627E-04
1.393E-04	1.643E-04	1.643E-04
1.406E-04	1.658E-04	1.658E-04
1.419E-04	1.673E-04	1.673E-04
1.432E-04	1.689E-04	1.689E-04
1.445E-04	1.704E-04	1.704E-04
1.459E-04	1.720E-04	1.720E-04
1.472E-04	1.736E-04	1.736E-04
1.486E-04	1.752E-04	1.752E-04
1.500E-04	1.768E-04	1.768E-04
1.514E-04	1.785E-04	1.785E-04
1.528E-04	1.801E-04	1.801E-04
1.542E-04	1.818E-04	1.818E-04
1.556E-04	1.835E-04	1.835E-04
1.570E-04	1.852E-04	1.852E-04
1.585E-04	1.869E-04	1.869E-04
1.600E-04	1.887E-04	1.887E-04
1.614E-04	1.904E-04	1.904E-04
1.629E-04	1.922E-04	1.922E-04
1.644E-04	1.940E-04	1.940E-04
1.660E-04	1.958E-04	1.958E-04
1.675E-04	1.976E-04	1.976E-04
1.690E-04	1.994E-04	1.994E-04
1.706E-04	2.013E-04	2.013E-04
1.722E-04	2.031E-04	2.031E-04
1.738E-04	2.050E-04	2.050E-04
1.754E-04	2.069E-04	2.069E-04
1.770E-04	2.088E-04	2.088E-04
1.786E-04	2.108E-04	2.108E-04
1.803E-04	2.127E-04	2.127E-04
1.820E-04	2.147E-04	2.147E-04
1.837E-04	2.167E-04	2.167E-04
1.854E-04	2.187E-04	2.187E-04
1.871E-04	2.207E-04	2.207E-04
1.888E-04	2.228E-04	2.228E-04
1.905E-04	2.248E-04	2.248E-04
1.923E-04	2.269E-04	2.269E-04
1.941E-04	2.290E-04	2.290E-04
1.959E-04	2.312E-04	2.312E-04
1.977E-04	2.333E-04	2.333E-04
1.995E-04	2.355E-04	2.355E-04
2.014E-04	2.377E-04	2.377E-04
2.032E-04	2.399E-04	2.399E-04
2.051E-04	2.421E-04	2.421E-04
2.070E-04	2.443E-04	2.443E-04
2.089E-04	2.466E-04	2.466E-04
2.109E-04	2.489E-04	2.489E-04
2.128E-04	2.512E-04	2.512E-04
2.148E-04	2.535E-04	2.535E-04
2.168E-04	2.559E-04	2.559E-04
2.188E-04	2.583E-04	2.583E-04
2.208E-04	2.607E-04	2.607E-04
2.228E-04	2.631E-04	2.631E-04
2.249E-04	2.655E-04	2.655E-04
