Q0 = 0.560 GeV	 Q = 1.581 GeV
x	 x*(uv-dv)
1.000E-04	1.849E-03	2.139E-03
1.009E-04	1.861E-03	2.153E-03
1.019E-04	1.874E-03	2.167E-03
1.028E-04	1.887E-03	2.181E-03
1.038E-04	1.900E-03	2.195E-03
1.047E-04	1.913E-03	2.209E-03
1.057E-04	1.926E-03	2.224E-03
1.067E-04	1.939E-03	2.238E-03
1.076E-04	1.952E-03	2.253E-03
1.086E-04	1.966E-03	2.267E-03
1.096E-04	1.979E-03	2.282E-03
1.107E-04	1.993E-03	2.297E-03
1.117E-04	2.006E-03	2.312E-03
1.127E-04	2.020E-03	2.327E-03
1.138E-04	2.034E-03	2.342E-03
1.148E-04	2.048E-03	2.357E-03
1.159E-04	2.062E-03	2.373E-03
1.169E-04	2.076E-03	2.388E-03
1.180E-04	2.090E-03	2.404E-03
1.191E-04	2.104E-03	2.419E-03
1.202E-04	2.119E-03	2.435E-03
1.213E-04	2.133E-03	2.451E-03
1.225E-04	2.148E-03	2.467E-03
1.236E-04	2.162E-03	2.483E-03
1.247E-04	2.177E-03	2.499E-03
1.259E-04	2.192E-03	2.516E-03
1.271E-04	2.207E-03	2.532E-03
1.282E-04	2.222E-03	2.548E-03
1.294E-04	2.237E-03	2.565E-03
1.306E-04	2.253E-03	2.582E-03
1.318E-04	2.268E-03	2.599E-03
1.330E-04	2.284E-03	2.615E-03
1.343E-04	2.299E-03	2.632E-03
1.355E-04	2.315E-03	2.650E-03
1.368E-04	2.331E-03	2.667E-03
1.380E-04	2.347E-03	2.684E-03
1.393E-04	2.363E-03	2.702E-03
1.406E-04	2.379E-03	2.719E-03
1.419E-04	2.395E-03	2.737E-03
1.432E-04	2.412E-03	2.755E-03
1.445E-04	2.428E-03	2.773E-03
1.459E-04	2.445E-03	2.791E-03
1.472E-04	2.461E-03	2.809E-03
1.486E-04	2.478E-03	2.827E-03
1.500E-04	2.495E-03	2.846E-03
1.514E-04	2.512E-03	2.864E-03
1.528E-04	2.529E-03	2.883E-03
1.542E-04	2.547E-03	2.902E-03
1.556E-04	2.564E-03	2.921E-03
1.570E-04	2.582E-03	2.940E-03
1.585E-04	2.599E-03	2.959E-03
1.600E-04	2.617E-03	2.978E-03
1.614E-04	2.635E-03	2.998E-03
1.629E-04	2.653E-03	3.017E-03
1.644E-04	2.671E-03	3.037E-03
1.660E-04	2.690E-03	3.057E-03
1.675E-04	2.708E-03	3.077E-03
1.690E-04	2.726E-03	3.097E-03
1.706E-04	2.745E-03	3.117E-03
1.722E-04	2.764E-03	3.137E-03
1.738E-04	2.783E-03	3.158E-03
1.754E-04	2.802E-03	3.178E-03
1.770E-04	2.821E-03	3.199E-03
1.786E-04	2.840E-03	3.220E-03
1.803E-04	2.860E-03	3.241E-03
1.820E-04	2.879E-03	3.262E-03
1.837E-04	2.899E-03	3.283E-03
1.854E-04	2.919E-03	3.304E-03
1.871E-04	2.939E-03	3.326E-03
1.888E-04	2.959E-03	3.348E-03
1.905E-04	2.979E-03	3.369E-03
1.923E-04	3.000E-03	3.391E-03
1.941E-04	3.020E-03	3.414E-03
1.959E-04	3.041E-03	3.436E-03
1.977E-04	3.062E-03	3.458E-03
1.995E-04	3.083E-03	3.481E-03
2.014E-04	3.104E-03	3.503E-03
2.032E-04	3.125E-03	3.526E-03
2.051E-04	3.146E-03	3.549E-03
2.070E-04	3.168E-03	3.572E-03
2.089E-04	3.189E-03	3.596E-03
2.109E-04	3.211E-03	3.619E-03
2.128E-04	3.233E-03	3.643E-03
2.148E-04	3.255E-03	3.666E-03
2.168E-04	3.278E-03	3.690E-03
2.188E-04	3.300E-03	3.714E-03
2.208E-04	3.323E-03	3.739E-03
2.228E-04	3.345E-03	3.763E-03
2.249E-04	3.368E-03	3.788E-03
2.270E-04	3.391E-03	3.812E-03
2.291E-04	3.415E-03	3.837E-03
2.312E-04	3.438E-03	3.862E-03
2.333E-04	3.461E-03	3.887E-03
2.355E-04	3.485E-03	3.913E-03
2.377E-04	3.509E-03	3.938E-03
2.399E-04	3.533E-03	3.964E-03
2.421E-04	3.557E-03	3.990E-03
2.443E-04	3.582E-03	4.016E-03
2.466E-04	3.606E-03	4.042E-03
2.489E-04	3.631E-03	4.068E-03
2.512E-04	3.656E-03	4.095E-03
2.535E-04	3.681E-03	4.122E-03
2.559E-04	3.706E-03	4.149E-03
2.582E-04	3.731E-03	4.176E-03
2.606E-04	3.757E-03	4.203E-03
2.630E-04	3.782E-03	4.230E-03
2.655E-04	3.808E-03	4.258E-03
2.679E-04	3.834E-03	4.286E-03
2.704E-04	3.861E-03	4.314E-03
2.729E-04	3.887E-03	4.342E-03
2.754E-04	3.914E-03	4.370E-03
2.780E-04	3.940E-03	4.399E-03
2.805E-04	3.967E-03	4.427E-03
2.831E-04	3.995E-03	4.456E-03
2.858E-04	4.022E-03	4.485E-03
2.884E-04	4.049E-03	4.515E-03
2.911E-04	4.077E-03	4.544E-03
2.938E-04	4.105E-03	4.574E-03
2.965E-04	4.133E-03	4.604E-03
2.992E-04	4.162E-03	4.634E-03
3.020E-04	4.190E-03	4.664E-03
3.048E-04	4.219E-03	4.694E-03
3.076E-04	4.248E-03	4.725E-03
3.105E-04	4.277E-03	4.756E-03
3.133E-04	4.306E-03	4.787E-03
3.162E-04	4.335E-03	4.818E-03
3.192E-04	4.365E-03	4.850E-03
3.221E-04	4.395E-03	4.881E-03
3.251E-04	4.425E-03	4.913E-03
3.281E-04	4.455E-03	4.945E-03
3.311E-04	4.486E-03	4.978E-03
3.342E-04	4.517E-03	5.010E-03
3.373E-04	4.548E-03	5.043E-03
3.404E-04	4.579E-03	5.076E-03
3.436E-04	4.610E-03	5.109E-03
3.467E-04	4.642E-03	5.142E-03
3.499E-04	4.673E-03	5.176E-03
3.532E-04	4.705E-03	5.210E-03
3.565E-04	4.738E-03	5.244E-03
3.597E-04	4.770E-03	5.278E-03
3.631E-04	4.803E-03	5.312E-03
3.664E-04	4.836E-03	5.347E-03
3.698E-04	4.869E-03	5.382E-03
3.733E-04	4.902E-03	5.417E-03
