Q0 = 1.000 GeV	 Q = 1.732 GeV
x	 x*(uv-dv)	 x*(u+-d+)	 xu+	 xd+	 xu	 xd	 xubar	 xdbar
1.000E-04	4.755E-04	7.447E-04	3.314E-04	-4.133E-04	3.403E-04	-2.698E-04	-8.954E-06	-1.435E-04
1.009E-04	4.793E-04	7.504E-04	3.343E-04	-4.161E-04	3.432E-04	-2.717E-04	-8.873E-06	-1.444E-04
1.019E-04	4.831E-04	7.562E-04	3.373E-04	-4.189E-04	3.460E-04	-2.736E-04	-8.791E-06	-1.453E-04
1.028E-04	4.869E-04	7.620E-04	3.402E-04	-4.217E-04	3.489E-04	-2.755E-04	-8.708E-06	-1.462E-04
1.038E-04	4.907E-04	7.678E-04	3.432E-04	-4.246E-04	3.518E-04	-2.774E-04	-8.623E-06	-1.472E-04
1.047E-04	4.946E-04	7.737E-04	3.462E-04	-4.275E-04	3.548E-04	-2.794E-04	-8.537E-06	-1.481E-04
1.057E-04	4.985E-04	7.796E-04	3.493E-04	-4.303E-04	3.577E-04	-2.813E-04	-8.449E-06	-1.490E-04
1.067E-04	5.025E-04	7.856E-04	3.524E-04	-4.332E-04	3.607E-04	-2.833E-04	-8.360E-06	-1.499E-04
1.076E-04	5.064E-04	7.916E-04	3.555E-04	-4.362E-04	3.637E-04	-2.853E-04	-8.270E-06	-1.509E-04
1.086E-04	5.104E-04	7.977E-04	3.586E-04	-4.391E-04	3.668E-04	-2.873E-04	-8.178E-06	-1.518E-04
1.096E-04	5.145E-04	8.038E-04	3.617E-04	-4.421E-04	3.698E-04	-2.893E-04	-8.085E-06	-1.528E-04
1.107E-04	5.186E-04	8.100E-04	3.649E-04	-4.451E-04	3.729E-04	-2.914E-04	-7.990E-06	-1.537E-04
1.117E-04	5.227E-04	8.162E-04	3.681E-04	-4.481E-04	3.760E-04	-2.934E-04	-7.894E-06	-1.547E-04
1.127E-04	5.268E-04	8.225E-04	3.713E-04	-4.511E-04	3.791E-04	-2.955E-04	-7.796E-06	-1.556E-04
1.138E-04	5.310E-04	8.288E-04	3.746E-04	-4.542E-04	3.823E-04	-2.976E-04	-7.697E-06	-1.566E-04
1.148E-04	5.352E-04	8.352E-04	3.779E-04	-4.573E-04	3.855E-04	-2.997E-04	-7.596E-06	-1.576E-04
1.159E-04	5.394E-04	8.416E-04	3.812E-04	-4.604E-04	3.887E-04	-3.018E-04	-7.493E-06	-1.586E-04
1.169E-04	5.437E-04	8.480E-04	3.846E-04	-4.635E-04	3.919E-04	-3.039E-04	-7.389E-06	-1.596E-04
1.180E-04	5.480E-04	8.545E-04	3.879E-04	-4.666E-04	3.952E-04	-3.061E-04	-7.284E-06	-1.606E-04
