MMHT2014nnlo68cl	10.00 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb
1.000000E-04  1.283900E-02  4.175000E-03  9.567999E-01  9.483799E-01  8.510299E-01  3.349599E-01  0.000000E+00  9.485298E+00  9.439609E-01  9.442049E-01  8.521795E-01  3.347382E-01  0.000000E+00  2.689322E-03  9.649316E-04  5.524935E-02  5.481159E-02  2.074228E-01  3.589854E-02  0.000000E+00  1.643503E+00  5.493289E-02  5.492808E-02  2.078785E-01  3.589847E-02  0.000000E+00
1.009253E-04  1.291708E-02  4.205331E-03  9.554906E-01  9.470242E-01  8.497341E-01  3.342986E-01  0.000000E+00  9.479381E+00  9.425736E-01  9.428189E-01  8.508862E-01  3.340766E-01  0.000000E+00  2.699693E-03  9.715431E-04  5.504451E-02  5.460184E-02  2.071573E-01  3.570638E-02  0.000000E+00  1.634139E+00  5.472497E-02  5.472006E-02  2.076136E-01  3.570631E-02  0.000000E+00
1.018591E-04  1.299518E-02  4.235644E-03  9.541812E-01  9.456682E-01  8.484380E-01  3.336373E-01  0.000000E+00  9.473436E+00  9.411860E-01  9.414326E-01  8.495926E-01  3.334151E-01  0.000000E+00  2.710082E-03  9.781635E-04  5.484122E-02  5.439362E-02  2.068921E-01  3.551510E-02  0.000000E+00  1.624822E+00  5.451858E-02  5.451357E-02  2.073491E-01  3.551504E-02  0.000000E+00
1.028016E-04  1.307332E-02  4.265946E-03  9.528715E-01  9.443121E-01  8.471419E-01  3.329761E-01  0.000000E+00  9.467462E+00  9.397982E-01  9.400461E-01  8.482990E-01  3.327538E-01  0.000000E+00  2.720488E-03  9.847936E-04  5.463947E-02  5.418693E-02  2.066272E-01  3.532470E-02  0.000000E+00  1.615554E+00  5.431371E-02  5.430862E-02  2.070849E-01  3.532464E-02  0.000000E+00
1.037528E-04  1.315151E-02  4.296245E-03  9.515618E-01  9.429557E-01  8.458456E-01  3.323150E-01  0.000000E+00  9.461460E+00  9.384103E-01  9.386595E-01  8.470052E-01  3.320925E-01  0.000000E+00  2.730913E-03  9.914340E-04  5.443928E-02  5.398176E-02  2.063627E-01  3.513518E-02  0.000000E+00  1.606334E+00  5.411038E-02  5.410521E-02  2.068210E-01  3.513513E-02  0.000000E+00
1.047129E-04  1.322977E-02  4.326547E-03  9.502519E-01  9.415992E-01  8.445493E-01  3.316541E-01  0.000000E+00  9.455430E+00  9.370222E-01  9.372727E-01  8.457114E-01  3.314314E-01  0.000000E+00  2.741356E-03  9.980854E-04  5.424063E-02  5.377811E-02  2.060985E-01  3.494656E-02  0.000000E+00  1.597162E+00  5.390857E-02  5.390334E-02  2.065575E-01  3.494650E-02  0.000000E+00
1.056818E-04  1.330810E-02  4.356861E-03  9.489420E-01  9.402426E-01  8.432528E-01  3.309934E-01  0.000000E+00  9.449371E+00  9.356339E-01  9.358857E-01  8.444174E-01  3.307704E-01  0.000000E+00  2.751816E-03  1.004749E-03  5.404354E-02  5.357598E-02  2.058345E-01  3.475882E-02  0.000000E+00  1.588038E+00  5.370829E-02  5.370301E-02  2.062942E-01  3.475877E-02  0.000000E+00
1.066596E-04  1.338651E-02  4.387193E-03  9.476320E-01  9.388858E-01  8.419562E-01  3.303328E-01  0.000000E+00  9.443284E+00  9.342455E-01  9.344986E-01  8.431233E-01  3.301096E-01  0.000000E+00  2.762293E-03  1.011424E-03  5.384800E-02  5.337538E-02  2.055709E-01  3.457198E-02  0.000000E+00  1.578963E+00  5.350955E-02  5.350422E-02  2.060312E-01  3.457194E-02  0.000000E+00
1.076465E-04  1.346503E-02  4.417550E-03  9.463220E-01  9.375289E-01  8.406595E-01  3.296724E-01  0.000000E+00  9.437168E+00  9.328570E-01  9.331114E-01  8.418292E-01  3.294490E-01  0.000000E+00  2.772787E-03  1.018113E-03  5.365400E-02  5.317630E-02  2.053076E-01  3.438604E-02  0.000000E+00  1.569936E+00  5.331233E-02  5.330697E-02  2.057686E-01  3.438600E-02  0.000000E+00
1.086426E-04  1.354365E-02  4.447941E-03  9.450120E-01  9.361720E-01  8.393628E-01  3.290122E-01  0.000000E+00  9.431024E+00  9.314683E-01  9.317240E-01  8.405350E-01  3.287886E-01  0.000000E+00  2.783298E-03  1.024816E-03  5.346156E-02  5.297875E-02  2.050446E-01  3.420101E-02  0.000000E+00  1.560959E+00  5.311665E-02  5.311126E-02  2.055062E-01  3.420096E-02  0.000000E+00
1.096478E-04  1.362239E-02  4.478371E-03  9.437020E-01  9.348149E-01  8.380660E-01  3.283522E-01  0.000000E+00  9.424851E+00  9.300796E-01  9.303365E-01  8.392407E-01  3.281285E-01  0.000000E+00  2.793826E-03  1.031533E-03  5.327067E-02  5.278271E-02  2.047818E-01  3.401688E-02  0.000000E+00  1.552030E+00  5.292249E-02  5.291708E-02  2.052441E-01  3.401684E-02  0.000000E+00
