model:2	Q0^2=1.12	Q^2=1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb
1.000000E-04  1.238554E-02  7.285304E-03  1.408535E-02  8.985106E-03  -5.066697E-10  0.000000E+00  0.000000E+00  -2.658262E-08  1.699801E-03  1.699801E-03  -4.844040E-10  0.000000E+00  0.000000E+00
1.009253E-04  1.244285E-02  7.319010E-03  1.415052E-02  9.026675E-03  -5.049736E-10  0.000000E+00  0.000000E+00  -2.653220E-08  1.707665E-03  1.707665E-03  -4.826196E-10  0.000000E+00  0.000000E+00
1.018591E-04  1.250043E-02  7.352873E-03  1.421599E-02  9.068437E-03  -5.032796E-10  0.000000E+00  0.000000E+00  -2.648122E-08  1.715565E-03  1.715565E-03  -4.808372E-10  0.000000E+00  0.000000E+00
1.028016E-04  1.255827E-02  7.386893E-03  1.428177E-02  9.110394E-03  -5.015877E-10  0.000000E+00  0.000000E+00  -2.642967E-08  1.723501E-03  1.723501E-03  -4.790568E-10  0.000000E+00  0.000000E+00
1.037528E-04  1.261638E-02  7.421071E-03  1.434785E-02  9.152545E-03  -4.998980E-10  0.000000E+00  0.000000E+00  -2.637755E-08  1.731474E-03  1.731474E-03  -4.772784E-10  0.000000E+00  0.000000E+00
1.047129E-04  1.267476E-02  7.455408E-03  1.441424E-02  9.194893E-03  -4.982104E-10  0.000000E+00  0.000000E+00  -2.632487E-08  1.739485E-03  1.739485E-03  -4.755018E-10  0.000000E+00  0.000000E+00
1.056818E-04  1.273341E-02  7.489904E-03  1.448094E-02  9.237437E-03  -4.965248E-10  0.000000E+00  0.000000E+00  -2.627163E-08  1.747532E-03  1.747532E-03  -4.737272E-10  0.000000E+00  0.000000E+00
1.066596E-04  1.279233E-02  7.524561E-03  1.454795E-02  9.280178E-03  -4.948414E-10  0.000000E+00  0.000000E+00  -2.621782E-08  1.755617E-03  1.755617E-03  -4.719546E-10  0.000000E+00  0.000000E+00
1.076465E-04  1.285153E-02  7.559379E-03  1.461527E-02  9.323119E-03  -4.931601E-10  0.000000E+00  0.000000E+00  -2.616346E-08  1.763740E-03  1.763740E-03  -4.701839E-10  0.000000E+00  0.000000E+00
1.086426E-04  1.291101E-02  7.594358E-03  1.468291E-02  9.366258E-03  -4.914809E-10  0.000000E+00  0.000000E+00  -2.610855E-08  1.771900E-03  1.771900E-03  -4.684151E-10  0.000000E+00  0.000000E+00
1.096478E-04  1.297076E-02  7.629500E-03  1.475085E-02  9.409599E-03  -4.898038E-10  0.000000E+00  0.000000E+00  -2.605309E-08  1.780099E-03  1.780099E-03  -4.666482E-10  0.000000E+00  0.000000E+00
1.106624E-04  1.303078E-02  7.664806E-03  1.481912E-02  9.453140E-03  -4.881287E-10  0.000000E+00  0.000000E+00  -2.599707E-08  1.788335E-03  1.788335E-03  -4.648833E-10  0.000000E+00  0.000000E+00
1.116863E-04  1.309109E-02  7.700275E-03  1.488770E-02  9.496885E-03  -4.864558E-10  0.000000E+00  0.000000E+00  -2.594051E-08  1.796609E-03  1.796609E-03  -4.631203E-10  0.000000E+00  0.000000E+00
1.127197E-04  1.315168E-02  7.735909E-03  1.495660E-02  9.540832E-03  -4.847849E-10  0.000000E+00  0.000000E+00  -2.588340E-08  1.804922E-03  1.804922E-03  -4.613592E-10  0.000000E+00  0.000000E+00
1.137627E-04  1.321255E-02  7.771710E-03  1.502582E-02  9.584984E-03  -4.831161E-10  0.000000E+00  0.000000E+00  -2.582575E-08  1.813274E-03  1.813274E-03  -4.596000E-10  0.000000E+00  0.000000E+00
1.148154E-04  1.327370E-02  7.807676E-03  1.509536E-02  9.629340E-03  -4.814494E-10  0.000000E+00  0.000000E+00  -2.576756E-08  1.821664E-03  1.821664E-03  -4.578428E-10  0.000000E+00  0.000000E+00
1.158777E-04  1.333513E-02  7.843810E-03  1.516523E-02  9.673903E-03  -4.797847E-10  0.000000E+00  0.000000E+00  -2.570884E-08  1.830094E-03  1.830094E-03  -4.560874E-10  0.000000E+00  0.000000E+00
1.169499E-04  1.339686E-02  7.880111E-03  1.523542E-02  9.718674E-03  -4.781221E-10  0.000000E+00  0.000000E+00  -2.564958E-08  1.838563E-03  1.838563E-03  -4.543340E-10  0.000000E+00  0.000000E+00
1.180321E-04  1.345887E-02  7.916582E-03  1.530594E-02  9.763652E-03  -4.764615E-10  0.000000E+00  0.000000E+00  -2.558978E-08  1.847070E-03  1.847070E-03  -4.525824E-10  0.000000E+00  0.000000E+00
1.191242E-04  1.352116E-02  7.953222E-03  1.537678E-02  9.808840E-03  -4.748030E-10  0.000000E+00  0.000000E+00  -2.552946E-08  1.855618E-03  1.855618E-03  -4.508328E-10  0.000000E+00  0.000000E+00
