Q0 = 0.5 GeV	 Q = 0.5 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	1.753E-02	-1.753E-02	3.505E-02
1.500E-03	3.031E-02	-3.031E-02	6.062E-02
2.500E-03	3.907E-02	-3.907E-02	7.813E-02
3.500E-03	4.615E-02	-4.615E-02	9.230E-02
4.500E-03	5.225E-02	-5.225E-02	1.045E-01
5.500E-03	5.767E-02	-5.767E-02	1.153E-01
6.500E-03	6.259E-02	-6.259E-02	1.252E-01
7.500E-03	6.713E-02	-6.713E-02	1.343E-01
8.500E-03	7.135E-02	-7.135E-02	1.427E-01
9.500E-03	7.531E-02	-7.531E-02	1.506E-01
1.050E-02	7.905E-02	-7.905E-02	1.581E-01
1.150E-02	8.260E-02	-8.260E-02	1.652E-01
1.250E-02	8.598E-02	-8.598E-02	1.720E-01
1.350E-02	8.921E-02	-8.921E-02	1.784E-01
1.450E-02	9.231E-02	-9.231E-02	1.846E-01
1.550E-02	9.529E-02	-9.529E-02	1.906E-01
1.650E-02	9.816E-02	-9.816E-02	1.963E-01
1.750E-02	1.009E-01	-1.009E-01	2.019E-01
1.850E-02	1.036E-01	-1.036E-01	2.072E-01
1.950E-02	1.062E-01	-1.062E-01	2.124E-01
2.050E-02	1.087E-01	-1.087E-01	2.174E-01
2.150E-02	1.112E-01	-1.112E-01	2.223E-01
2.250E-02	1.135E-01	-1.135E-01	2.271E-01
2.350E-02	1.159E-01	-1.159E-01	2.317E-01
2.450E-02	1.181E-01	-1.181E-01	2.362E-01
2.550E-02	1.203E-01	-1.203E-01	2.406E-01
2.650E-02	1.225E-01	-1.225E-01	2.449E-01
2.750E-02	1.245E-01	-1.245E-01	2.491E-01
2.850E-02	1.266E-01	-1.266E-01	2.532E-01
2.950E-02	1.286E-01	-1.286E-01	2.572E-01
3.050E-02	1.305E-01	-1.305E-01	2.611E-01
3.150E-02	1.325E-01	-1.325E-01	2.649E-01
3.250E-02	1.343E-01	-1.343E-01	2.687E-01
3.350E-02	1.362E-01	-1.362E-01	2.724E-01
3.450E-02	1.380E-01	-1.380E-01	2.760E-01
3.550E-02	1.397E-01	-1.397E-01	2.795E-01
3.650E-02	1.415E-01	-1.415E-01	2.830E-01
3.750E-02	1.432E-01	-1.432E-01	2.864E-01
3.850E-02	1.449E-01	-1.449E-01	2.897E-01
3.950E-02	1.465E-01	-1.465E-01	2.930E-01
4.050E-02	1.481E-01	-1.481E-01	2.962E-01
4.150E-02	1.497E-01	-1.497E-01	2.994E-01
4.250E-02	1.512E-01	-1.512E-01	3.025E-01
4.350E-02	1.528E-01	-1.528E-01	3.055E-01
4.450E-02	1.543E-01	-1.543E-01	3.086E-01
4.550E-02	1.558E-01	-1.558E-01	3.115E-01
4.650E-02	1.572E-01	-1.572E-01	3.144E-01
4.750E-02	1.587E-01	-1.587E-01	3.173E-01
4.850E-02	1.601E-01	-1.601E-01	3.201E-01
4.950E-02	1.615E-01	-1.615E-01	3.229E-01
5.050E-02	1.628E-01	-1.628E-01	3.257E-01
5.150E-02	1.642E-01	-1.642E-01	3.284E-01
5.250E-02	1.655E-01	-1.655E-01	3.310E-01
5.350E-02	1.668E-01	-1.668E-01	3.336E-01
5.450E-02	1.681E-01	-1.681E-01	3.362E-01
5.550E-02	1.694E-01	-1.694E-01	3.388E-01
5.650E-02	1.706E-01	-1.706E-01	3.413E-01
5.750E-02	1.719E-01	-1.719E-01	3.438E-01
5.850E-02	1.731E-01	-1.731E-01	3.462E-01
5.950E-02	1.743E-01	-1.743E-01	3.486E-01
6.050E-02	1.755E-01	-1.755E-01	3.510E-01
6.150E-02	1.767E-01	-1.767E-01	3.533E-01
6.250E-02	1.778E-01	-1.778E-01	3.556E-01
6.350E-02	1.790E-01	-1.790E-01	3.579E-01
6.450E-02	1.801E-01	-1.801E-01	3.602E-01
