Q0 = 0.8 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	4.809E-03	-4.809E-03	9.618E-03
1.009E-04	4.836E-03	-4.836E-03	9.671E-03
1.019E-04	4.863E-03	-4.863E-03	9.725E-03
1.028E-04	4.890E-03	-4.890E-03	9.780E-03
1.038E-04	4.917E-03	-4.917E-03	9.834E-03
1.047E-04	4.945E-03	-4.945E-03	9.889E-03
1.057E-04	4.972E-03	-4.972E-03	9.945E-03
1.067E-04	5.000E-03	-5.000E-03	1.000E-02
1.076E-04	5.028E-03	-5.028E-03	1.006E-02
1.086E-04	5.056E-03	-5.056E-03	1.011E-02
1.096E-04	5.084E-03	-5.084E-03	1.017E-02
1.107E-04	5.113E-03	-5.113E-03	1.023E-02
1.117E-04	5.141E-03	-5.141E-03	1.028E-02
1.127E-04	5.170E-03	-5.170E-03	1.034E-02
1.138E-04	5.199E-03	-5.199E-03	1.040E-02
1.148E-04	5.228E-03	-5.228E-03	1.046E-02
1.159E-04	5.257E-03	-5.257E-03	1.051E-02
1.169E-04	5.286E-03	-5.286E-03	1.057E-02
1.180E-04	5.316E-03	-5.316E-03	1.063E-02
1.191E-04	5.345E-03	-5.345E-03	1.069E-02
1.202E-04	5.375E-03	-5.375E-03	1.075E-02
1.213E-04	5.405E-03	-5.405E-03	1.081E-02
1.225E-04	5.435E-03	-5.435E-03	1.087E-02
1.236E-04	5.466E-03	-5.466E-03	1.093E-02
1.247E-04	5.496E-03	-5.496E-03	1.099E-02
1.259E-04	5.527E-03	-5.527E-03	1.105E-02
1.271E-04	5.558E-03	-5.558E-03	1.112E-02
1.282E-04	5.588E-03	-5.588E-03	1.118E-02
1.294E-04	5.620E-03	-5.620E-03	1.124E-02
1.306E-04	5.651E-03	-5.651E-03	1.130E-02
1.318E-04	5.682E-03	-5.682E-03	1.136E-02
1.330E-04	5.714E-03	-5.714E-03	1.143E-02
1.343E-04	5.746E-03	-5.746E-03	1.149E-02
1.355E-04	5.778E-03	-5.778E-03	1.156E-02
1.368E-04	5.810E-03	-5.810E-03	1.162E-02
1.380E-04	5.843E-03	-5.843E-03	1.169E-02
1.393E-04	5.875E-03	-5.875E-03	1.175E-02
1.406E-04	5.908E-03	-5.908E-03	1.182E-02
1.419E-04	5.941E-03	-5.941E-03	1.188E-02
1.432E-04	5.974E-03	-5.974E-03	1.195E-02
1.445E-04	6.007E-03	-6.007E-03	1.201E-02
1.459E-04	6.040E-03	-6.040E-03	1.208E-02
1.472E-04	6.074E-03	-6.074E-03	1.215E-02
1.486E-04	6.108E-03	-6.108E-03	1.222E-02
1.500E-04	6.142E-03	-6.142E-03	1.228E-02
1.514E-04	6.176E-03	-6.176E-03	1.235E-02
1.528E-04	6.210E-03	-6.210E-03	1.242E-02
1.542E-04	6.245E-03	-6.245E-03	1.249E-02
1.556E-04	6.280E-03	-6.280E-03	1.256E-02
1.570E-04	6.315E-03	-6.315E-03	1.263E-02
1.585E-04	6.350E-03	-6.350E-03	1.270E-02
1.600E-04	6.385E-03	-6.385E-03	1.277E-02
1.614E-04	6.421E-03	-6.421E-03	1.284E-02
1.629E-04	6.456E-03	-6.456E-03	1.291E-02
1.644E-04	6.492E-03	-6.492E-03	1.298E-02
1.660E-04	6.528E-03	-6.528E-03	1.306E-02
1.675E-04	6.565E-03	-6.565E-03	1.313E-02
1.690E-04	6.601E-03	-6.601E-03	1.320E-02
1.706E-04	6.638E-03	-6.638E-03	1.328E-02
1.722E-04	6.675E-03	-6.675E-03	1.335E-02
1.738E-04	6.712E-03	-6.712E-03	1.342E-02
1.754E-04	6.749E-03	-6.749E-03	1.350E-02
1.770E-04	6.787E-03	-6.787E-03	1.357E-02
1.786E-04	6.825E-03	-6.825E-03	1.365E-02
1.803E-04	6.862E-03	-6.862E-03	1.372E-02
1.820E-04	6.901E-03	-6.901E-03	1.380E-02
1.837E-04	6.939E-03	-6.939E-03	1.388E-02
1.854E-04	6.977E-03	-6.977E-03	1.395E-02
1.871E-04	7.016E-03	-7.016E-03	1.403E-02
1.888E-04	7.055E-03	-7.055E-03	1.411E-02
1.905E-04	7.094E-03	-7.094E-03	1.419E-02
1.923E-04	7.134E-03	-7.134E-03	1.427E-02
1.941E-04	7.173E-03	-7.173E-03	1.435E-02
1.959E-04	7.213E-03	-7.213E-03	1.443E-02
