Q0 = 0.9 GeV	 Q = 0.9 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
1.000E-04	8.333E-04	-8.333E-04	1.667E-03
1.009E-04	8.391E-04	-8.391E-04	1.678E-03
1.019E-04	8.449E-04	-8.449E-04	1.690E-03
1.028E-04	8.508E-04	-8.508E-04	1.702E-03
1.038E-04	8.567E-04	-8.567E-04	1.713E-03
1.047E-04	8.626E-04	-8.626E-04	1.725E-03
1.057E-04	8.686E-04	-8.686E-04	1.737E-03
1.067E-04	8.747E-04	-8.747E-04	1.749E-03
1.076E-04	8.807E-04	-8.807E-04	1.761E-03
1.086E-04	8.868E-04	-8.868E-04	1.774E-03
1.096E-04	8.930E-04	-8.930E-04	1.786E-03
1.107E-04	8.992E-04	-8.992E-04	1.798E-03
1.117E-04	9.054E-04	-9.054E-04	1.811E-03
1.127E-04	9.117E-04	-9.117E-04	1.823E-03
1.138E-04	9.181E-04	-9.181E-04	1.836E-03
1.148E-04	9.244E-04	-9.244E-04	1.849E-03
1.159E-04	9.309E-04	-9.309E-04	1.862E-03
1.169E-04	9.373E-04	-9.373E-04	1.875E-03
1.180E-04	9.438E-04	-9.438E-04	1.888E-03
1.191E-04	9.504E-04	-9.504E-04	1.901E-03
1.202E-04	9.570E-04	-9.570E-04	1.914E-03
1.213E-04	9.636E-04	-9.636E-04	1.927E-03
1.225E-04	9.703E-04	-9.703E-04	1.941E-03
1.236E-04	9.771E-04	-9.771E-04	1.954E-03
1.247E-04	9.839E-04	-9.839E-04	1.968E-03
1.259E-04	9.907E-04	-9.907E-04	1.981E-03
1.271E-04	9.976E-04	-9.976E-04	1.995E-03
1.282E-04	1.005E-03	-1.005E-03	2.009E-03
1.294E-04	1.011E-03	-1.011E-03	2.023E-03
1.306E-04	1.019E-03	-1.019E-03	2.037E-03
1.318E-04	1.026E-03	-1.026E-03	2.051E-03
1.330E-04	1.033E-03	-1.033E-03	2.065E-03
1.343E-04	1.040E-03	-1.040E-03	2.080E-03
1.355E-04	1.047E-03	-1.047E-03	2.094E-03
1.368E-04	1.054E-03	-1.054E-03	2.109E-03
1.380E-04	1.062E-03	-1.062E-03	2.123E-03
1.393E-04	1.069E-03	-1.069E-03	2.138E-03
1.406E-04	1.077E-03	-1.077E-03	2.153E-03
1.419E-04	1.084E-03	-1.084E-03	2.168E-03
1.432E-04	1.092E-03	-1.092E-03	2.183E-03
1.445E-04	1.099E-03	-1.099E-03	2.198E-03
1.459E-04	1.107E-03	-1.107E-03	2.214E-03
1.472E-04	1.114E-03	-1.114E-03	2.229E-03
1.486E-04	1.122E-03	-1.122E-03	2.244E-03
1.500E-04	1.130E-03	-1.130E-03	2.260E-03
1.514E-04	1.138E-03	-1.138E-03	2.276E-03
1.528E-04	1.146E-03	-1.146E-03	2.292E-03
1.542E-04	1.154E-03	-1.154E-03	2.307E-03
1.556E-04	1.162E-03	-1.162E-03	2.323E-03
1.570E-04	1.170E-03	-1.170E-03	2.340E-03
1.585E-04	1.178E-03	-1.178E-03	2.356E-03
1.600E-04	1.186E-03	-1.186E-03	2.372E-03
1.614E-04	1.194E-03	-1.194E-03	2.389E-03
1.629E-04	1.203E-03	-1.203E-03	2.405E-03
1.644E-04	1.211E-03	-1.211E-03	2.422E-03
1.660E-04	1.219E-03	-1.219E-03	2.439E-03
1.675E-04	1.228E-03	-1.228E-03	2.456E-03
1.690E-04	1.236E-03	-1.236E-03	2.473E-03
1.706E-04	1.245E-03	-1.245E-03	2.490E-03
1.722E-04	1.254E-03	-1.254E-03	2.507E-03
1.738E-04	1.262E-03	-1.262E-03	2.525E-03
1.754E-04	1.271E-03	-1.271E-03	2.542E-03
1.770E-04	1.280E-03	-1.280E-03	2.560E-03
1.786E-04	1.289E-03	-1.289E-03	2.578E-03
1.803E-04	1.298E-03	-1.298E-03	2.596E-03
1.820E-04	1.307E-03	-1.307E-03	2.614E-03
1.837E-04	1.316E-03	-1.316E-03	2.632E-03
1.854E-04	1.325E-03	-1.325E-03	2.650E-03
1.871E-04	1.334E-03	-1.334E-03	2.669E-03
1.888E-04	1.344E-03	-1.344E-03	2.687E-03
1.905E-04	1.353E-03	-1.353E-03	2.706E-03
1.923E-04	1.362E-03	-1.362E-03	2.725E-03
1.941E-04	1.372E-03	-1.372E-03	2.744E-03
1.959E-04	1.381E-03	-1.381E-03	2.763E-03
1.977E-04	1.391E-03	-1.391E-03	2.782E-03
1.995E-04	1.401E-03	-1.401E-03	2.801E-03
2.014E-04	1.410E-03	-1.410E-03	2.821E-03
2.032E-04	1.420E-03	-1.420E-03	2.840E-03
2.051E-04	1.430E-03	-1.430E-03	2.860E-03
2.070E-04	1.440E-03	-1.440E-03	2.880E-03
2.089E-04	1.450E-03	-1.450E-03	2.900E-03
2.109E-04	1.460E-03	-1.460E-03	2.920E-03
2.128E-04	1.470E-03	-1.470E-03	2.941E-03
2.148E-04	1.481E-03	-1.481E-03	2.961E-03
2.168E-04	1.491E-03	-1.491E-03	2.982E-03
2.188E-04	1.501E-03	-1.501E-03	3.002E-03
2.208E-04	1.512E-03	-1.512E-03	3.023E-03
2.228E-04	1.522E-03	-1.522E-03	3.044E-03
2.249E-04	1.533E-03	-1.533E-03	3.066E-03
2.270E-04	1.543E-03	-1.543E-03	3.087E-03
2.291E-04	1.554E-03	-1.554E-03	3.108E-03
2.312E-04	1.565E-03	-1.565E-03	3.130E-03
2.333E-04	1.576E-03	-1.576E-03	3.152E-03
2.355E-04	1.587E-03	-1.587E-03	3.174E-03
2.377E-04	1.598E-03	-1.598E-03	3.196E-03
2.399E-04	1.609E-03	-1.609E-03	3.218E-03
2.421E-04	1.620E-03	-1.620E-03	3.240E-03
2.443E-04	1.631E-03	-1.631E-03	3.263E-03
2.466E-04	1.643E-03	-1.643E-03	3.286E-03
2.489E-04	1.654E-03	-1.654E-03	3.308E-03
2.512E-04	1.666E-03	-1.666E-03	3.332E-03
2.535E-04	1.677E-03	-1.677E-03	3.355E-03
2.559E-04	1.689E-03	-1.689E-03	3.378E-03
2.582E-04	1.701E-03	-1.701E-03	3.402E-03
2.606E-04	1.713E-03	-1.713E-03	3.425E-03
