Q0 = 0.8 GeV	 Q = 5.2 GeV
x	 x*uv	 x*dv	 x*(uv-dv)
5.000E-04	3.083E-03	-3.083E-03	6.165E-03
1.500E-03	7.083E-03	-7.083E-03	1.417E-02
2.500E-03	1.052E-02	-1.052E-02	2.103E-02
3.500E-03	1.369E-02	-1.369E-02	2.739E-02
4.500E-03	1.671E-02	-1.671E-02	3.343E-02
5.500E-03	1.963E-02	-1.963E-02	3.925E-02
6.500E-03	2.245E-02	-2.245E-02	4.491E-02
7.500E-03	2.521E-02	-2.521E-02	5.043E-02
8.500E-03	2.792E-02	-2.792E-02	5.585E-02
9.500E-03	3.059E-02	-3.059E-02	6.117E-02
1.050E-02	3.321E-02	-3.321E-02	6.642E-02
1.150E-02	3.580E-02	-3.580E-02	7.159E-02
1.250E-02	3.836E-02	-3.836E-02	7.671E-02
1.350E-02	4.089E-02	-4.089E-02	8.177E-02
1.450E-02	4.339E-02	-4.339E-02	8.678E-02
1.550E-02	4.587E-02	-4.587E-02	9.175E-02
1.650E-02	4.834E-02	-4.834E-02	9.667E-02
1.750E-02	5.078E-02	-5.078E-02	1.016E-01
1.850E-02	5.320E-02	-5.320E-02	1.064E-01
1.950E-02	5.561E-02	-5.561E-02	1.112E-01
2.050E-02	5.800E-02	-5.800E-02	1.160E-01
2.150E-02	6.037E-02	-6.037E-02	1.207E-01
2.250E-02	6.273E-02	-6.273E-02	1.255E-01
2.350E-02	6.507E-02	-6.507E-02	1.301E-01
2.450E-02	6.741E-02	-6.741E-02	1.348E-01
2.550E-02	6.972E-02	-6.972E-02	1.394E-01
2.650E-02	7.203E-02	-7.203E-02	1.441E-01
2.750E-02	7.432E-02	-7.432E-02	1.486E-01
2.850E-02	7.660E-02	-7.660E-02	1.532E-01
2.950E-02	7.887E-02	-7.887E-02	1.577E-01
3.050E-02	8.113E-02	-8.113E-02	1.623E-01
3.150E-02	8.338E-02	-8.338E-02	1.668E-01
3.250E-02	8.562E-02	-8.562E-02	1.712E-01
3.350E-02	8.785E-02	-8.785E-02	1.757E-01
3.450E-02	9.006E-02	-9.006E-02	1.801E-01
3.550E-02	9.227E-02	-9.227E-02	1.845E-01
3.650E-02	9.447E-02	-9.447E-02	1.889E-01
